energy[GeV],xs[pb]
1.000000e+01,2.774586e-02
1.261360e+01,3.603067e-02
1.591040e+01,4.662101e-02
2.006880e+01,6.012145e-02
2.531400e+01,7.730827e-02
3.193020e+01,9.916129e-02
4.027560e+01,1.268995e-01
5.080220e+01,1.621053e-01
6.408000e+01,2.067252e-01
8.082820e+01,2.632490e-01
1.019540e+02,3.348164e-01
1.286010e+02,4.253640e-01
1.622120e+02,5.398731e-01
2.046090e+02,6.845795e-01
2.580860e+02,8.672394e-01
3.255410e+02,1.097675e+00
4.106250e+02,1.388059e+00
5.179470e+02,1.753659e+00
6.533200e+02,2.213189e+00
8.240740e+02,2.789933e+00
1.039460e+03,3.512443e+00
1.311130e+03,4.415590e+00
1.653820e+03,5.541605e+00
2.086060e+03,6.941190e+00
2.631290e+03,8.674746e+00
3.319010e+03,1.081347e+01
4.186480e+03,1.344002e+01
5.280670e+03,1.664907e+01
6.660850e+03,2.054812e+01
8.401750e+03,2.525659e+01
1.059770e+04,3.090606e+01
1.336750e+04,3.763875e+01
1.686130e+04,4.560674e+01
2.126820e+04,5.497044e+01
2.682700e+04,6.589801e+01
3.383860e+04,7.856453e+01
4.268270e+04,9.315089e+01
5.383840e+04,1.098460e+02
6.790990e+04,1.288487e+02
8.565900e+04,1.503628e+02
1.080470e+05,1.746111e+02
1.362870e+05,2.018312e+02
1.719070e+05,2.322787e+02
2.168380e+05,2.662342e+02
2.735110e+05,3.039982e+02
3.449970e+05,3.459062e+02
4.351670e+05,3.923177e+02
5.489030e+05,4.436397e+02
6.923670e+05,5.002937e+02
8.733260e+05,5.627769e+02
1.101580e+06,6.315964e+02
1.389500e+06,7.073167e+02
1.752660e+06,7.905514e+02
2.210740e+06,8.819851e+02
2.788550e+06,9.822753e+02
3.517370e+06,1.092191e+03
4.436690e+06,1.212531e+03
5.596280e+06,1.344238e+03
7.058940e+06,1.488232e+03
8.903890e+06,1.645534e+03
1.123100e+07,1.817211e+03
1.416640e+07,2.004438e+03
1.786900e+07,2.208457e+03
2.253930e+07,2.430596e+03
2.843030e+07,2.672166e+03
3.586100e+07,2.935233e+03
4.523370e+07,3.220672e+03
5.705620e+07,3.530540e+03
7.196860e+07,3.866650e+03
9.077850e+07,4.230853e+03
1.145050e+08,4.625651e+03
1.444320e+08,5.052953e+03
1.821810e+08,5.515161e+03
2.297970e+08,6.014910e+03
2.898580e+08,6.554853e+03
3.656160e+08,7.137820e+03
4.611750e+08,7.767035e+03
5.817090e+08,8.445644e+03
7.337470e+08,9.177173e+03
9.255220e+08,9.965315e+03
1.167420e+09,1.081395e+04
1.472540e+09,1.172724e+04
1.857410e+09,1.270951e+04
2.342870e+09,1.376576e+04
2.955210e+09,1.490071e+04
3.727590e+09,1.611986e+04
4.701850e+09,1.742864e+04
5.930740e+09,1.883315e+04
7.480830e+09,2.033966e+04
9.436040e+09,2.195476e+04
1.190230e+10,2.368568e+04
1.501310e+10,2.553998e+04
1.893700e+10,2.752536e+04
2.388640e+10,2.965062e+04
3.012950e+10,3.192399e+04
3.800420e+10,3.435564e+04
4.793720e+10,3.695536e+04
6.046620e+10,3.973341e+04
7.626990e+10,4.270139e+04
9.620400e+10,4.587064e+04
1.213480e+11,4.925391e+04
1.530640e+11,5.286429e+04
1.930700e+11,5.671560e+04
2.435310e+11,6.082265e+04
3.071810e+11,6.520117e+04
3.874680e+11,6.986728e+04
4.887370e+11,7.483806e+04
6.164760e+11,8.013247e+04
7.776000e+11,8.576949e+04
9.808370e+11,9.176921e+04
1.237190e+12,9.815368e+04
1.560550e+12,1.049453e+05
1.968420e+12,1.121680e+05
2.482890e+12,1.198450e+05
3.131830e+12,1.280103e+05
3.950380e+12,1.366848e+05
4.982860e+12,1.459010e+05
6.285200e+12,1.556903e+05
7.927930e+12,1.660847e+05
1.000000e+13,1.771205e+05
