energy[GeV],xs[pb]
1.000000e+01,1.886786e-02
1.261360e+01,2.469287e-02
1.591040e+01,3.221812e-02
2.006880e+01,4.191690e-02
2.531400e+01,5.439636e-02
3.193020e+01,7.039555e-02
4.027560e+01,9.088545e-02
5.080220e+01,1.170854e-01
6.408000e+01,1.505352e-01
8.082820e+01,1.931888e-01
1.019540e+02,2.475409e-01
1.286010e+02,3.167114e-01
1.622120e+02,4.046939e-01
2.046090e+02,5.164829e-01
2.580860e+02,6.583469e-01
3.255410e+02,8.381981e-01
4.106250e+02,1.065926e+00
5.179470e+02,1.354025e+00
6.533200e+02,1.717835e+00
8.240740e+02,2.176588e+00
1.039460e+03,2.753968e+00
1.311130e+03,3.479241e+00
1.653820e+03,4.387729e+00
2.086060e+03,5.522830e+00
2.631290e+03,6.936188e+00
3.319010e+03,8.689563e+00
4.186480e+03,1.085563e+01
5.280670e+03,1.351898e+01
6.660850e+03,1.677661e+01
8.401750e+03,2.073900e+01
1.059770e+04,2.552897e+01
1.336750e+04,3.128302e+01
1.686130e+04,3.814941e+01
2.126820e+04,4.628845e+01
2.682700e+04,5.587121e+01
3.383860e+04,6.707901e+01
4.268270e+04,8.010286e+01
5.383840e+04,9.514388e+01
6.790990e+04,1.124167e+02
8.565900e+04,1.321417e+02
1.080470e+05,1.545622e+02
1.362870e+05,1.799332e+02
1.719070e+05,2.085294e+02
2.168380e+05,2.406481e+02
2.735110e+05,2.766097e+02
3.449970e+05,3.167601e+02
4.351670e+05,3.614751e+02
5.489030e+05,4.111733e+02
6.923670e+05,4.662841e+02
8.733260e+05,5.273119e+02
1.101580e+06,5.947684e+02
1.389500e+06,6.692227e+02
1.752660e+06,7.512872e+02
2.210740e+06,8.416574e+02
2.788550e+06,9.409840e+02
3.517370e+06,1.050015e+03
4.436690e+06,1.169517e+03
5.596280e+06,1.300501e+03
7.058940e+06,1.443843e+03
8.903890e+06,1.600571e+03
1.123100e+07,1.771733e+03
1.416640e+07,1.958492e+03
1.786900e+07,2.162098e+03
2.253930e+07,2.383882e+03
2.843030e+07,2.625130e+03
3.586100e+07,2.887897e+03
4.523370e+07,3.173080e+03
5.705620e+07,3.482739e+03
7.196860e+07,3.818654e+03
9.077850e+07,4.182846e+03
1.145050e+08,4.577306e+03
1.444320e+08,5.004463e+03
1.821810e+08,5.466566e+03
2.297970e+08,5.966231e+03
2.898580e+08,6.506088e+03
3.656160e+08,7.088985e+03
4.611750e+08,7.718191e+03
5.817090e+08,8.396731e+03
7.337470e+08,9.128251e+03
9.255220e+08,9.916389e+03
1.167420e+09,1.076505e+04
1.472540e+09,1.167839e+04
1.857410e+09,1.266072e+04
2.342870e+09,1.371704e+04
2.955210e+09,1.485213e+04
3.727590e+09,1.607140e+04
4.701850e+09,1.738031e+04
5.930740e+09,1.878499e+04
7.480830e+09,2.029168e+04
9.436040e+09,2.190699e+04
1.190230e+10,2.363820e+04
1.501310e+10,2.549280e+04
1.893700e+10,2.747844e+04
2.388640e+10,2.960387e+04
3.012950e+10,3.187781e+04
3.800420e+10,3.430983e+04
4.793720e+10,3.690999e+04
6.046620e+10,3.968853e+04
7.626990e+10,4.265705e+04
9.620400e+10,4.582685e+04
1.213480e+11,4.921069e+04
1.530640e+11,5.282172e+04
1.930700e+11,5.667371e+04
2.435310e+11,6.078153e+04
3.071810e+11,6.516085e+04
3.874680e+11,6.982780e+04
4.887370e+11,7.479944e+04
6.164760e+11,8.009473e+04
7.776000e+11,8.573290e+04
9.808370e+11,9.173372e+04
1.237190e+12,9.811929e+04
1.560550e+12,1.049121e+05
1.968420e+12,1.121361e+05
2.482890e+12,1.198121e+05
3.131830e+12,1.279813e+05
3.950380e+12,1.366574e+05
4.982860e+12,1.458751e+05
6.285200e+12,1.556663e+05
7.927930e+12,1.660645e+05
1.000000e+13,1.770998e+05
