energy[GeV],xs[pb]
1.000000e+01,3.662385e-02
1.261360e+01,4.736847e-02
1.591040e+01,6.102389e-02
2.006880e+01,7.832601e-02
2.531400e+01,1.002202e-01
3.193020e+01,1.279270e-01
4.027560e+01,1.629135e-01
5.080220e+01,2.071253e-01
6.408000e+01,2.629152e-01
8.082820e+01,3.333092e-01
1.019540e+02,4.220919e-01
1.286010e+02,5.340166e-01
1.622120e+02,6.750522e-01
2.046090e+02,8.526761e-01
2.580860e+02,1.076132e+00
3.255410e+02,1.357152e+00
4.106250e+02,1.710191e+00
5.179470e+02,2.153294e+00
6.533200e+02,2.708542e+00
8.240740e+02,3.403278e+00
1.039460e+03,4.270918e+00
1.311130e+03,5.351940e+00
1.653820e+03,6.695480e+00
2.086060e+03,8.359549e+00
2.631290e+03,1.041330e+01
3.319010e+03,1.293738e+01
4.186480e+03,1.602440e+01
5.280670e+03,1.977916e+01
6.660850e+03,2.431963e+01
8.401750e+03,2.977418e+01
1.059770e+04,3.628315e+01
1.336750e+04,4.399449e+01
1.686130e+04,5.306406e+01
2.126820e+04,6.365243e+01
2.682700e+04,7.592482e+01
3.383860e+04,9.005005e+01
4.268270e+04,1.061989e+02
5.383840e+04,1.245481e+02
6.790990e+04,1.452807e+02
8.565900e+04,1.685839e+02
1.080470e+05,1.946599e+02
1.362870e+05,2.237291e+02
1.719070e+05,2.560281e+02
2.168380e+05,2.918203e+02
2.735110e+05,3.313867e+02
3.449970e+05,3.750523e+02
4.351670e+05,4.231602e+02
5.489030e+05,4.761061e+02
6.923670e+05,5.343033e+02
8.733260e+05,5.982419e+02
1.101580e+06,6.684243e+02
1.389500e+06,7.454108e+02
1.752660e+06,8.298156e+02
2.210740e+06,9.223129e+02
2.788550e+06,1.023567e+03
3.517370e+06,1.134368e+03
4.436690e+06,1.255544e+03
5.596280e+06,1.387975e+03
7.058940e+06,1.532621e+03
8.903890e+06,1.690496e+03
1.123100e+07,1.862689e+03
1.416640e+07,2.050385e+03
1.786900e+07,2.254816e+03
2.253930e+07,2.477309e+03
2.843030e+07,2.719201e+03
3.586100e+07,2.982569e+03
4.523370e+07,3.268263e+03
5.705620e+07,3.578341e+03
7.196860e+07,3.914646e+03
9.077850e+07,4.278860e+03
1.145050e+08,4.673997e+03
1.444320e+08,5.101443e+03
1.821810e+08,5.563755e+03
2.297970e+08,6.063590e+03
2.898580e+08,6.603617e+03
3.656160e+08,7.186655e+03
4.611750e+08,7.815880e+03
5.817090e+08,8.494557e+03
7.337470e+08,9.226096e+03
9.255220e+08,1.001424e+04
1.167420e+09,1.086285e+04
1.472540e+09,1.177609e+04
1.857410e+09,1.275830e+04
2.342870e+09,1.381447e+04
2.955210e+09,1.494929e+04
3.727590e+09,1.616833e+04
4.701850e+09,1.747697e+04
5.930740e+09,1.888131e+04
7.480830e+09,2.038764e+04
9.436040e+09,2.200253e+04
1.190230e+10,2.373317e+04
1.501310e+10,2.558716e+04
1.893700e+10,2.757228e+04
2.388640e+10,2.969738e+04
3.012950e+10,3.197017e+04
3.800420e+10,3.440144e+04
4.793720e+10,3.700073e+04
6.046620e+10,3.977829e+04
7.626990e+10,4.274573e+04
9.620400e+10,4.591443e+04
1.213480e+11,4.929712e+04
1.530640e+11,5.290685e+04
1.930700e+11,5.675750e+04
2.435310e+11,6.086377e+04
3.071810e+11,6.524149e+04
3.874680e+11,6.990676e+04
4.887370e+11,7.487668e+04
6.164760e+11,8.017021e+04
7.776000e+11,8.580608e+04
9.808370e+11,9.180469e+04
1.237190e+12,9.818807e+04
1.560550e+12,1.049785e+05
1.968420e+12,1.121999e+05
2.482890e+12,1.198779e+05
3.131830e+12,1.280393e+05
3.950380e+12,1.367122e+05
4.982860e+12,1.459268e+05
6.285200e+12,1.557143e+05
7.927930e+12,1.661048e+05
1.000000e+13,1.771411e+05
