energy[GeV],xs[pb]
1.000000e+01,6.357554e-02
1.261360e+01,8.114707e-02
1.591040e+01,1.033005e-01
2.006880e+01,1.312229e-01
2.531400e+01,1.663707e-01
3.193020e+01,2.106037e-01
4.027560e+01,2.662529e-01
5.080220e+01,3.361985e-01
6.408000e+01,4.240657e-01
8.082820e+01,5.344299e-01
1.019540e+02,6.729535e-01
1.286010e+02,8.466946e-01
1.622120e+02,1.064490e+00
2.046090e+02,1.337196e+00
2.580860e+02,1.678442e+00
3.255410e+02,2.104847e+00
4.106250e+02,2.636831e+00
5.179470e+02,3.299397e+00
6.533200e+02,4.122818e+00
8.240740e+02,5.143282e+00
1.039460e+03,6.404041e+00
1.311130e+03,7.955944e+00
1.653820e+03,9.857999e+00
2.086060e+03,1.217750e+01
2.631290e+03,1.499008e+01
3.319010e+03,1.837893e+01
4.186480e+03,2.243408e+01
5.280670e+03,2.725175e+01
6.660850e+03,3.293114e+01
8.401750e+03,3.957370e+01
1.059770e+04,4.728296e+01
1.336750e+04,5.616312e+01
1.686130e+04,6.631932e+01
2.126820e+04,7.785974e+01
2.682700e+04,9.089677e+01
3.383860e+04,1.055493e+02
4.268270e+04,1.219485e+02
5.383840e+04,1.402378e+02
6.790990e+04,1.605781e+02
8.565900e+04,1.831523e+02
1.080470e+05,2.081654e+02
1.362870e+05,2.358511e+02
1.719070e+05,2.664678e+02
2.168380e+05,3.003063e+02
2.735110e+05,3.376928e+02
3.449970e+05,3.789825e+02
4.351670e+05,4.245735e+02
5.489030e+05,4.748886e+02
6.923670e+05,5.304036e+02
8.733260e+05,5.915982e+02
1.101580e+06,6.590614e+02
1.389500e+06,7.333651e+02
1.752660e+06,8.151384e+02
2.210740e+06,9.050624e+02
2.788550e+06,1.003853e+03
3.517370e+06,1.112303e+03
4.436690e+06,1.231201e+03
5.596280e+06,1.361514e+03
7.058940e+06,1.504166e+03
8.903890e+06,1.660187e+03
1.123100e+07,1.830645e+03
1.416640e+07,2.016718e+03
1.786900e+07,2.219655e+03
2.253930e+07,2.440774e+03
2.843030e+07,2.681460e+03
3.586100e+07,2.943598e+03
4.523370e+07,3.228226e+03
5.705620e+07,3.537348e+03
7.196860e+07,3.872781e+03
9.077850e+07,4.236349e+03
1.145050e+08,4.630618e+03
1.444320e+08,5.057351e+03
1.821810e+08,5.519133e+03
2.297970e+08,6.018408e+03
2.898580e+08,6.557957e+03
3.656160e+08,7.140630e+03
4.611750e+08,7.769502e+03
5.817090e+08,8.447828e+03
7.337470e+08,9.179130e+03
9.255220e+08,9.966985e+03
1.167420e+09,1.081547e+04
1.472540e+09,1.172852e+04
1.857410e+09,1.271070e+04
2.342870e+09,1.376689e+04
2.955210e+09,1.490171e+04
3.727590e+09,1.612067e+04
4.701850e+09,1.742935e+04
5.930740e+09,1.883375e+04
7.480830e+09,2.034020e+04
9.436040e+09,2.195520e+04
1.190230e+10,2.368632e+04
1.501310e+10,2.554028e+04
1.893700e+10,2.752562e+04
2.388640e+10,2.965057e+04
3.012950e+10,3.192416e+04
3.800420e+10,3.435581e+04
4.793720e+10,3.695547e+04
6.046620e+10,3.973382e+04
7.626990e+10,4.270143e+04
9.620400e+10,4.587064e+04
1.213480e+11,4.925391e+04
1.530640e+11,5.286420e+04
1.930700e+11,5.671550e+04
2.435310e+11,6.082260e+04
3.071810e+11,6.520117e+04
3.874680e+11,6.986727e+04
4.887370e+11,7.483808e+04
6.164760e+11,8.013262e+04
7.776000e+11,8.577029e+04
9.808370e+11,9.177020e+04
1.237190e+12,9.815368e+04
1.560550e+12,1.049451e+05
1.968420e+12,1.121660e+05
2.482890e+12,1.198453e+05
3.131830e+12,1.280079e+05
3.950380e+12,1.366847e+05
4.982860e+12,1.459011e+05
6.285200e+12,1.556904e+05
7.927930e+12,1.660847e+05
1.000000e+13,1.771204e+05
