energy[GeV],xs[pb]
1.000000e+01,8.626759e-02
1.261360e+01,1.097610e-01
1.591040e+01,1.392839e-01
2.006880e+01,1.763860e-01
2.531400e+01,2.229662e-01
3.193020e+01,2.814146e-01
4.027560e+01,3.547645e-01
5.080220e+01,4.467413e-01
6.408000e+01,5.619859e-01
8.082820e+01,7.064038e-01
1.019540e+02,8.872301e-01
1.286010e+02,1.113498e+00
1.622120e+02,1.396487e+00
2.046090e+02,1.749980e+00
2.580860e+02,2.191209e+00
3.255410e+02,2.741270e+00
4.106250e+02,3.425753e+00
5.179470e+02,4.275896e+00
6.533200e+02,5.329357e+00
8.240740e+02,6.630858e+00
1.039460e+03,8.233345e+00
1.311130e+03,1.019841e+01
1.653820e+03,1.259686e+01
2.086060e+03,1.550775e+01
2.631290e+03,1.901898e+01
3.319010e+03,2.322468e+01
4.186480e+03,2.822486e+01
5.280670e+03,3.412169e+01
6.660850e+03,4.101816e+01
8.401750e+03,4.901418e+01
1.059770e+04,5.820829e+01
1.336750e+04,6.869409e+01
1.686130e+04,8.056238e+01
2.126820e+04,9.390440e+01
2.682700e+04,1.088110e+02
3.383860e+04,1.253812e+02
4.268270e+04,1.437252e+02
5.383840e+04,1.639665e+02
6.790990e+04,1.862473e+02
8.565900e+04,2.107350e+02
1.080470e+05,2.376191e+02
1.362870e+05,2.671235e+02
1.719070e+05,2.994985e+02
2.168380e+05,3.350315e+02
2.735110e+05,3.740393e+02
3.449970e+05,4.168771e+02
4.351670e+05,4.639389e+02
5.489030e+05,5.156549e+02
6.923670e+05,5.725043e+02
8.733260e+05,6.349588e+02
1.101580e+06,7.036224e+02
1.389500e+06,7.790413e+02
1.752660e+06,8.618676e+02
2.210740e+06,9.527780e+02
2.788550e+06,1.052508e+03
3.517370e+06,1.161839e+03
4.436690e+06,1.281601e+03
5.596280e+06,1.412692e+03
7.058940e+06,1.556072e+03
8.903890e+06,1.712765e+03
1.123100e+07,1.883853e+03
1.416640e+07,2.070509e+03
1.786900e+07,2.273978e+03
2.253930e+07,2.495592e+03
2.843030e+07,2.736778e+03
3.586100e+07,2.999271e+03
4.523370e+07,3.284287e+03
5.705620e+07,3.593741e+03
7.196860e+07,3.929464e+03
9.077850e+07,4.293136e+03
1.145050e+08,4.687856e+03
1.444320e+08,5.114821e+03
1.821810e+08,5.576782e+03
2.297970e+08,6.076220e+03
2.898580e+08,6.615947e+03
3.656160e+08,7.198841e+03
4.611750e+08,7.827864e+03
5.817090e+08,8.506293e+03
7.337470e+08,9.237723e+03
9.255220e+08,1.002571e+04
1.167420e+09,1.087438e+04
1.472540e+09,1.178751e+04
1.857410e+09,1.276991e+04
2.342870e+09,1.382635e+04
2.955210e+09,1.496113e+04
3.727590e+09,1.618037e+04
4.701850e+09,1.748926e+04
5.930740e+09,1.889389e+04
7.480830e+09,2.040062e+04
9.436040e+09,2.201589e+04
1.190230e+10,2.374721e+04
1.501310e+10,2.560150e+04
1.893700e+10,2.758715e+04
2.388640e+10,2.971241e+04
3.012950e+10,3.198643e+04
3.800420e+10,3.441852e+04
4.793720e+10,3.701864e+04
6.046620e+10,3.979768e+04
7.626990e+10,4.276555e+04
9.620400e+10,4.593542e+04
1.213480e+11,4.931935e+04
1.530640e+11,5.293024e+04
1.930700e+11,5.678219e+04
2.435310e+11,6.089014e+04
3.071810e+11,6.526944e+04
3.874680e+11,6.993641e+04
4.887370e+11,7.490796e+04
6.164760e+11,8.020353e+04
7.776000e+11,8.584140e+04
9.808370e+11,9.184242e+04
1.237190e+12,9.822779e+04
1.560550e+12,1.050203e+05
1.968420e+12,1.122447e+05
2.482890e+12,1.199252e+05
3.131830e+12,1.280894e+05
3.950380e+12,1.367655e+05
4.982860e+12,1.459836e+05
6.285200e+12,1.557746e+05
7.927930e+12,1.661686e+05
1.000000e+13,1.772086e+05
