energy[GeV],xs[pb]
1.000000e+01,4.088349e-02
1.261360e+01,5.253318e-02
1.591040e+01,6.731710e-02
2.006880e+01,8.605983e-02
2.531400e+01,1.097753e-01
3.193020e+01,1.397927e-01
4.027560e+01,1.777413e-01
5.080220e+01,2.256557e-01
6.408000e+01,2.861455e-01
8.082820e+01,3.624559e-01
1.019540e+02,4.586768e-01
1.286010e+02,5.798917e-01
1.622120e+02,7.324932e-01
2.046090e+02,9.244126e-01
2.580860e+02,1.165674e+00
3.255410e+02,1.468423e+00
4.106250e+02,1.847908e+00
5.179470e+02,2.322898e+00
6.533200e+02,2.916279e+00
8.240740e+02,3.655705e+00
1.039460e+03,4.574737e+00
1.311130e+03,5.713474e+00
1.653820e+03,7.119138e+00
2.086060e+03,8.847256e+00
2.631290e+03,1.096119e+01
3.319010e+03,1.353319e+01
4.186480e+03,1.664331e+01
5.280670e+03,2.038181e+01
6.660850e+03,2.484412e+01
8.401750e+03,3.013321e+01
1.059770e+04,3.635764e+01
1.336750e+04,4.363215e+01
1.686130e+04,5.207626e+01
2.126820e+04,6.181508e+01
2.682700e+04,7.298250e+01
3.383860e+04,8.571747e+01
4.268270e+04,1.001719e+02
5.383840e+04,1.165090e+02
6.790990e+04,1.349090e+02
8.565900e+04,1.555696e+02
1.080470e+05,1.787116e+02
1.362870e+05,2.045787e+02
1.719070e+05,2.334371e+02
2.168380e+05,2.655810e+02
2.735110e+05,3.013463e+02
3.449970e+05,3.410879e+02
4.351670e+05,3.852081e+02
5.489030e+05,4.341224e+02
6.923670e+05,4.883029e+02
8.733260e+05,5.482376e+02
1.101580e+06,6.145004e+02
1.389500e+06,6.876889e+02
1.752660e+06,7.684093e+02
2.210740e+06,8.573469e+02
2.788550e+06,9.551984e+02
3.517370e+06,1.062767e+03
4.436690e+06,1.180800e+03
5.596280e+06,1.310335e+03
7.058940e+06,1.452261e+03
8.903890e+06,1.607608e+03
1.123100e+07,1.777437e+03
1.416640e+07,1.962927e+03
1.786900e+07,2.165333e+03
2.253930e+07,2.385956e+03
2.843030e+07,2.626143e+03
3.586100e+07,2.887925e+03
4.523370e+07,3.172166e+03
5.705620e+07,3.480956e+03
7.196860e+07,3.816099e+03
9.077850e+07,4.179563e+03
1.145050e+08,4.573380e+03
1.444320e+08,4.999881e+03
1.821810e+08,5.461483e+03
2.297970e+08,5.960596e+03
2.898580e+08,6.499968e+03
3.656160e+08,7.082418e+03
4.611750e+08,7.711139e+03
5.817090e+08,8.389364e+03
7.337470e+08,9.120538e+03
9.255220e+08,9.908264e+03
1.167420e+09,1.075656e+04
1.472540e+09,1.166953e+04
1.857410e+09,1.265150e+04
2.342870e+09,1.370743e+04
2.955210e+09,1.484229e+04
3.727590e+09,1.606097e+04
4.701850e+09,1.736943e+04
5.930740e+09,1.877361e+04
7.480830e+09,2.027977e+04
9.436040e+09,2.189452e+04
1.190230e+10,2.362544e+04
1.501310e+10,2.547906e+04
1.893700e+10,2.746409e+04
2.388640e+10,2.958874e+04
3.012950e+10,3.186188e+04
3.800420e+10,3.429311e+04
4.793720e+10,3.689230e+04
6.046620e+10,3.966996e+04
7.626990e+10,4.263731e+04
9.620400e+10,4.580585e+04
1.213480e+11,4.918848e+04
1.530640e+11,5.279816e+04
1.930700e+11,5.664880e+04
2.435310e+11,6.075507e+04
3.071810e+11,6.513290e+04
3.874680e+11,6.979814e+04
4.887370e+11,7.476819e+04
6.164760e+11,8.006171e+04
7.776000e+11,8.569918e+04
9.808370e+11,9.169799e+04
1.237190e+12,9.807957e+04
1.560550e+12,1.048699e+05
1.968420e+12,1.120874e+05
2.482890e+12,1.197653e+05
3.131830e+12,1.279263e+05
3.950380e+12,1.366040e+05
4.982860e+12,1.458185e+05
6.285200e+12,1.556062e+05
7.927930e+12,1.660007e+05
1.000000e+13,1.770322e+05
