energy[GeV],xs[pb]
1.000000e+01,5.225641e-03
1.261360e+01,9.119303e-03
1.591040e+01,1.483574e-02
2.006880e+01,2.296115e-02
2.531400e+01,3.424827e-02
3.193020e+01,4.963889e-02
4.027560e+01,7.031919e-02
5.080220e+01,9.780346e-02
6.408000e+01,1.340066e-01
8.082820e+01,1.813265e-01
1.019540e+02,2.428653e-01
1.286010e+02,3.224737e-01
1.622120e+02,4.250585e-01
2.046090e+02,5.567820e-01
2.580860e+02,7.253602e-01
3.255410e+02,9.405480e-01
4.106250e+02,1.214385e+00
5.179470e+02,1.562059e+00
6.533200e+02,2.002231e+00
8.240740e+02,2.558230e+00
1.039460e+03,3.258254e+00
1.311130e+03,4.137131e+00
1.653820e+03,5.237271e+00
2.086060e+03,6.609206e+00
2.631290e+03,8.312947e+00
3.319010e+03,1.041954e+01
4.186480e+03,1.301206e+01
5.280670e+03,1.618531e+01
6.660850e+03,2.004557e+01
8.401750e+03,2.471338e+01
1.059770e+04,3.031901e+01
1.336750e+04,3.700548e+01
1.686130e+04,4.492363e+01
2.126820e+04,5.423572e+01
2.682700e+04,6.510858e+01
3.383860e+04,7.771513e+01
4.268270e+04,9.223946e+01
5.383840e+04,1.088704e+02
6.790990e+04,1.278039e+02
8.565900e+04,1.492474e+02
1.080470e+05,1.734234e+02
1.362870e+05,2.005637e+02
1.719070e+05,2.309227e+02
2.168380e+05,2.647714e+02
2.735110e+05,3.024537e+02
3.449970e+05,3.442380e+02
4.351670e+05,3.905398e+02
5.489030e+05,4.417398e+02
6.923670e+05,4.982812e+02
8.733260e+05,5.606314e+02
1.101580e+06,6.293207e+02
1.389500e+06,7.048934e+02
1.752660e+06,7.879658e+02
2.210740e+06,8.791984e+02
2.788550e+06,9.793000e+02
3.517370e+06,1.089018e+03
4.436690e+06,1.209180e+03
5.596280e+06,1.340676e+03
7.058940e+06,1.484452e+03
8.903890e+06,1.641502e+03
1.123100e+07,1.812946e+03
1.416640e+07,1.999953e+03
1.786900e+07,2.203752e+03
2.253930e+07,2.425458e+03
2.843030e+07,2.666821e+03
3.586100e+07,2.929212e+03
4.523370e+07,3.214409e+03
5.705620e+07,3.523866e+03
7.196860e+07,3.859548e+03
9.077850e+07,4.223475e+03
1.145050e+08,4.617855e+03
1.444320e+08,5.044643e+03
1.821810e+08,5.506352e+03
2.297970e+08,6.005564e+03
2.898580e+08,6.544952e+03
3.656160e+08,7.127790e+03
4.611750e+08,7.756372e+03
5.817090e+08,8.434364e+03
7.337470e+08,9.165208e+03
9.255220e+08,9.952626e+03
1.167420e+09,1.080057e+04
1.472540e+09,1.171308e+04
1.857410e+09,1.269460e+04
2.342870e+09,1.375007e+04
2.955210e+09,1.488423e+04
3.727590e+09,1.610232e+04
4.701850e+09,1.741008e+04
5.930740e+09,1.881370e+04
7.480830e+09,2.031882e+04
9.436040e+09,2.193291e+04
1.190230e+10,2.366254e+04
1.501310e+10,2.551578e+04
1.893700e+10,2.749903e+04
2.388640e+10,2.962317e+04
3.012950e+10,3.189539e+04
3.800420e+10,3.432554e+04
4.793720e+10,3.692298e+04
6.046620e+10,3.969939e+04
7.626990e+10,4.266307e+04
9.620400e+10,4.582937e+04
1.213480e+11,4.921317e+04
1.530640e+11,5.282209e+04
1.930700e+11,5.666821e+04
2.435310e+11,6.077350e+04
3.071810e+11,6.514911e+04
3.874680e+11,6.981399e+04
4.887370e+11,7.478240e+04
6.164760e+11,8.007409e+04
7.776000e+11,8.570796e+04
9.808370e+11,9.170447e+04
1.237190e+12,9.808524e+04
1.560550e+12,1.048733e+05
1.968420e+12,1.120919e+05
2.482890e+12,1.197707e+05
3.131830e+12,1.279297e+05
3.950380e+12,1.366003e+05
4.982860e+12,1.458099e+05
6.285200e+12,1.555871e+05
7.927930e+12,1.659784e+05
1.000000e+13,1.770117e+05
