energy[GeV],xs[pb]
1.000000e+01,2.695873e-03
1.261360e+01,4.939504e-03
1.591040e+01,8.373656e-03
2.006880e+01,1.343824e-02
2.531400e+01,2.070313e-02
3.193020e+01,3.088643e-02
4.027560e+01,4.491780e-02
5.080220e+01,6.394749e-02
6.408000e+01,8.948772e-02
8.082820e+01,1.234161e-01
1.019540e+02,1.681659e-01
1.286010e+02,2.267928e-01
1.622120e+02,3.031855e-01
2.046090e+02,4.023244e-01
2.580860e+02,5.302968e-01
3.255410e+02,6.950951e-01
4.106250e+02,9.063466e-01
5.179470e+02,1.176668e+00
6.533200e+02,1.521118e+00
8.240740e+02,1.959151e+00
1.039460e+03,2.513894e+00
1.311130e+03,3.214591e+00
1.653820e+03,4.097177e+00
2.086060e+03,5.204142e+00
2.631290e+03,6.587614e+00
3.319010e+03,8.308513e+00
4.186480e+03,1.044028e+01
5.280670e+03,1.306740e+01
6.660850e+03,1.628593e+01
8.401750e+03,2.020628e+01
1.059770e+04,2.495253e+01
1.336750e+04,3.065902e+01
1.686130e+04,3.747540e+01
2.126820e+04,4.556223e+01
2.682700e+04,5.508867e+01
3.383860e+04,6.623606e+01
4.268270e+04,7.919618e+01
5.383840e+04,9.417164e+01
6.790990e+04,1.113759e+02
8.565900e+04,1.310240e+02
1.080470e+05,1.533691e+02
1.362870e+05,1.786566e+02
1.719070e+05,2.071622e+02
2.168380e+05,2.391852e+02
2.735110e+05,2.750487e+02
3.449970e+05,3.150894e+02
4.351670e+05,3.596953e+02
5.489030e+05,4.092709e+02
6.923670e+05,4.642675e+02
8.733260e+05,5.251593e+02
1.101580e+06,5.924858e+02
1.389500e+06,6.667949e+02
1.752660e+06,7.486960e+02
2.210740e+06,8.388506e+02
2.788550e+06,9.379729e+02
3.517370e+06,1.046796e+03
4.436690e+06,1.166158e+03
5.596280e+06,1.296936e+03
7.058940e+06,1.440061e+03
8.903890e+06,1.596535e+03
1.123100e+07,1.767452e+03
1.416640e+07,1.954058e+03
1.786900e+07,2.157401e+03
2.253930e+07,2.378728e+03
2.843030e+07,2.619763e+03
3.586100e+07,2.881867e+03
4.523370e+07,3.166707e+03
5.705620e+07,3.475926e+03
7.196860e+07,3.811420e+03
9.077850e+07,4.175175e+03
1.145050e+08,4.569505e+03
1.444320e+08,4.996185e+03
1.821810e+08,5.457767e+03
2.297970e+08,5.956886e+03
2.898580e+08,6.496180e+03
3.656160e+08,7.078950e+03
4.611750e+08,7.707491e+03
5.817090e+08,8.385410e+03
7.337470e+08,9.116267e+03
9.255220e+08,9.903690e+03
1.167420e+09,1.075169e+04
1.472540e+09,1.166423e+04
1.857410e+09,1.264583e+04
2.342870e+09,1.370135e+04
2.955210e+09,1.483565e+04
3.727590e+09,1.605388e+04
4.701850e+09,1.736182e+04
5.930740e+09,1.876562e+04
7.480830e+09,2.027090e+04
9.436040e+09,2.188515e+04
1.190230e+10,2.361505e+04
1.501310e+10,2.546856e+04
1.893700e+10,2.745261e+04
2.388640e+10,2.957651e+04
3.012950e+10,3.184922e+04
3.800420e+10,3.427963e+04
4.793720e+10,3.687701e+04
6.046620e+10,3.965386e+04
7.626990e+10,4.261789e+04
9.620400e+10,4.578548e+04
1.213480e+11,4.916983e+04
1.530640e+11,5.277883e+04
1.930700e+11,5.662637e+04
2.435310e+11,6.073149e+04
3.071810e+11,6.510743e+04
3.874680e+11,6.977431e+04
4.887370e+11,7.474392e+04
6.164760e+11,8.003610e+04
7.776000e+11,8.567137e+04
9.808370e+11,9.166908e+04
1.237190e+12,9.805095e+04
1.560550e+12,1.048402e+05
1.968420e+12,1.120601e+05
2.482890e+12,1.197424e+05
3.131830e+12,1.279031e+05
3.950380e+12,1.365755e+05
4.982860e+12,1.457839e+05
6.285200e+12,1.555627e+05
7.927930e+12,1.659559e+05
1.000000e+13,1.769911e+05
