energy[GeV],xs[pb]
1.000000e+01,7.755409e-03
1.261360e+01,1.329910e-02
1.591040e+01,2.129782e-02
2.006880e+01,3.248407e-02
2.531400e+01,4.779341e-02
3.193020e+01,6.839134e-02
4.027560e+01,9.572058e-02
5.080220e+01,1.316594e-01
6.408000e+01,1.785255e-01
8.082820e+01,2.392369e-01
1.019540e+02,3.175646e-01
1.286010e+02,4.181545e-01
1.622120e+02,5.469315e-01
2.046090e+02,7.112395e-01
2.580860e+02,9.204236e-01
3.255410e+02,1.186001e+00
4.106250e+02,1.522423e+00
5.179470e+02,1.947449e+00
6.533200e+02,2.483344e+00
8.240740e+02,3.157308e+00
1.039460e+03,4.002614e+00
1.311130e+03,5.059671e+00
1.653820e+03,6.377365e+00
2.086060e+03,8.014270e+00
2.631290e+03,1.003828e+01
3.319010e+03,1.253058e+01
4.186480e+03,1.558385e+01
5.280670e+03,1.930323e+01
6.660850e+03,2.380521e+01
8.401750e+03,2.922049e+01
1.059770e+04,3.568549e+01
1.336750e+04,4.335194e+01
1.686130e+04,5.237186e+01
2.126820e+04,6.290921e+01
2.682700e+04,7.512848e+01
3.383860e+04,8.919419e+01
4.268270e+04,1.052827e+02
5.383840e+04,1.235691e+02
6.790990e+04,1.442319e+02
8.565900e+04,1.674708e+02
1.080470e+05,1.934777e+02
1.362870e+05,2.224708e+02
1.719070e+05,2.546833e+02
2.168380e+05,2.903576e+02
2.735110e+05,3.298587e+02
3.449970e+05,3.733866e+02
4.351670e+05,4.213844e+02
5.489030e+05,4.742087e+02
6.923670e+05,5.322949e+02
8.733260e+05,5.961035e+02
1.101580e+06,6.661556e+02
1.389500e+06,7.429919e+02
1.752660e+06,8.272356e+02
2.210740e+06,9.195462e+02
2.788550e+06,1.020627e+03
3.517370e+06,1.131240e+03
4.436690e+06,1.252202e+03
5.596280e+06,1.384416e+03
7.058940e+06,1.528844e+03
8.903890e+06,1.686470e+03
1.123100e+07,1.858439e+03
1.416640e+07,2.045848e+03
1.786900e+07,2.250102e+03
2.253930e+07,2.472187e+03
2.843030e+07,2.713878e+03
3.586100e+07,2.976557e+03
4.523370e+07,3.262112e+03
5.705620e+07,3.571806e+03
7.196860e+07,3.907676e+03
9.077850e+07,4.271774e+03
1.145050e+08,4.666206e+03
1.444320e+08,5.093101e+03
1.821810e+08,5.554936e+03
2.297970e+08,6.054242e+03
2.898580e+08,6.593724e+03
3.656160e+08,7.176629e+03
4.611750e+08,7.805252e+03
5.817090e+08,8.483318e+03
7.337470e+08,9.214149e+03
9.255220e+08,1.000156e+04
1.167420e+09,1.084944e+04
1.472540e+09,1.176193e+04
1.857410e+09,1.274337e+04
2.342870e+09,1.379880e+04
2.955210e+09,1.493281e+04
3.727590e+09,1.615075e+04
4.701850e+09,1.745834e+04
5.930740e+09,1.886177e+04
7.480830e+09,2.036675e+04
9.436040e+09,2.198066e+04
1.190230e+10,2.371003e+04
1.501310e+10,2.556301e+04
1.893700e+10,2.754545e+04
2.388640e+10,2.966982e+04
3.012950e+10,3.194157e+04
3.800420e+10,3.437145e+04
4.793720e+10,3.696896e+04
6.046620e+10,3.974493e+04
7.626990e+10,4.270826e+04
9.620400e+10,4.587325e+04
1.213480e+11,4.925650e+04
1.530640e+11,5.286536e+04
1.930700e+11,5.671006e+04
2.435310e+11,6.081552e+04
3.071810e+11,6.519079e+04
3.874680e+11,6.985367e+04
4.887370e+11,7.482088e+04
6.164760e+11,8.011208e+04
7.776000e+11,8.574454e+04
9.808370e+11,9.173986e+04
1.237190e+12,9.811953e+04
1.560550e+12,1.049065e+05
1.968420e+12,1.121238e+05
2.482890e+12,1.197991e+05
3.131830e+12,1.279564e+05
3.950380e+12,1.366252e+05
4.982860e+12,1.458360e+05
6.285200e+12,1.556115e+05
7.927930e+12,1.660010e+05
1.000000e+13,1.770323e+05
