energy[GeV],xs[pb]
1.000000e+01,1.175782e-02
1.261360e+01,2.049538e-02
1.591040e+01,3.327121e-02
2.006880e+01,5.131221e-02
2.531400e+01,7.614890e-02
3.193020e+01,1.096126e-01
4.027560e+01,1.540582e-01
5.080220e+01,2.123255e-01
6.408000e+01,2.880577e-01
8.082820e+01,3.857574e-01
1.019540e+02,5.109975e-01
1.286010e+02,6.707055e-01
1.622120e+02,8.739269e-01
2.046090e+02,1.131180e+00
2.580860e+02,1.456127e+00
3.255410e+02,1.865291e+00
4.106250e+02,2.378883e+00
5.179470e+02,3.022163e+00
6.533200e+02,3.824950e+00
8.240740e+02,4.824054e+00
1.039460e+03,6.061572e+00
1.311130e+03,7.589290e+00
1.653820e+03,9.465485e+00
2.086060e+03,1.175760e+01
2.631290e+03,1.454128e+01
3.319010e+03,1.789997e+01
4.186480e+03,2.192316e+01
5.280670e+03,2.670678e+01
6.660850e+03,3.235138e+01
8.401750e+03,3.895563e+01
1.059770e+04,4.662438e+01
1.336750e+04,5.546096e+01
1.686130e+04,6.557211e+01
2.126820e+04,7.706392e+01
2.682700e+04,9.004988e+01
3.383860e+04,1.046487e+02
4.268270e+04,1.209876e+02
5.383840e+04,1.392158e+02
6.790990e+04,1.594909e+02
8.565900e+04,1.819942e+02
1.080470e+05,2.069351e+02
1.362870e+05,2.345403e+02
1.719070e+05,2.650731e+02
2.168380e+05,2.988232e+02
2.735110e+05,3.361128e+02
3.449970e+05,3.772998e+02
4.351670e+05,4.227842e+02
5.489030e+05,4.729861e+02
6.923670e+05,5.283710e+02
8.733260e+05,5.894383e+02
1.101580e+06,6.567609e+02
1.389500e+06,7.309040e+02
1.752660e+06,8.125108e+02
2.210740e+06,9.022587e+02
2.788550e+06,1.000867e+03
3.517370e+06,1.109114e+03
4.436690e+06,1.227850e+03
5.596280e+06,1.357948e+03
7.058940e+06,1.500474e+03
8.903890e+06,1.656219e+03
1.123100e+07,1.826424e+03
1.416640e+07,2.012178e+03
1.786900e+07,2.214905e+03
2.253930e+07,2.435640e+03
2.843030e+07,2.676033e+03
3.586100e+07,2.937588e+03
4.523370e+07,3.222043e+03
5.705620e+07,3.530771e+03
7.196860e+07,3.865708e+03
9.077850e+07,4.229002e+03
1.145050e+08,4.622801e+03
1.444320e+08,5.049074e+03
1.821810e+08,5.510328e+03
2.297970e+08,6.009216e+03
2.898580e+08,6.548218e+03
3.656160e+08,7.130351e+03
4.611750e+08,7.758868e+03
5.817090e+08,8.436515e+03
7.337470e+08,9.167178e+03
9.255220e+08,9.954322e+03
1.167420e+09,1.080205e+04
1.472540e+09,1.171445e+04
1.857410e+09,1.269577e+04
2.342870e+09,1.375106e+04
2.955210e+09,1.488509e+04
3.727590e+09,1.610301e+04
4.701850e+09,1.741093e+04
5.930740e+09,1.881423e+04
7.480830e+09,2.031935e+04
9.436040e+09,2.193347e+04
1.190230e+10,2.366297e+04
1.501310e+10,2.551599e+04
1.893700e+10,2.749993e+04
2.388640e+10,2.962332e+04
3.012950e+10,3.189556e+04
3.800420e+10,3.432563e+04
4.793720e+10,3.692319e+04
6.046620e+10,3.969839e+04
7.626990e+10,4.266412e+04
9.620400e+10,4.583176e+04
1.213480e+11,4.921223e+04
1.530640e+11,5.282204e+04
1.930700e+11,5.667073e+04
2.435310e+11,6.077488e+04
3.071810e+11,6.515182e+04
3.874680e+11,6.981438e+04
4.887370e+11,7.478279e+04
6.164760e+11,8.007429e+04
7.776000e+11,8.570840e+04
9.808370e+11,9.170482e+04
1.237190e+12,9.808769e+04
1.560550e+12,1.048786e+05
1.968420e+12,1.120974e+05
2.482890e+12,1.197711e+05
3.131830e+12,1.279300e+05
3.950380e+12,1.366006e+05
4.982860e+12,1.458102e+05
6.285200e+12,1.555879e+05
7.927930e+12,1.659797e+05
1.000000e+13,1.770121e+05
