energy[GeV],xs[pb]
1.000000e+01,1.767084e-02
1.261360e+01,3.029783e-02
1.591040e+01,4.849156e-02
2.006880e+01,7.384391e-02
2.531400e+01,1.083587e-01
3.193020e+01,1.543913e-01
4.027560e+01,2.150031e-01
5.080220e+01,2.938667e-01
6.408000e+01,3.956701e-01
8.082820e+01,5.261929e-01
1.019540e+02,6.926569e-01
1.286010e+02,9.038680e-01
1.622120e+02,1.171435e+00
2.046090e+02,1.508613e+00
2.580860e+02,1.932848e+00
3.255410e+02,2.465039e+00
4.106250e+02,3.130275e+00
5.179470e+02,3.960685e+00
6.533200e+02,4.993181e+00
8.240740e+02,6.273141e+00
1.039460e+03,7.852155e+00
1.311130e+03,9.793045e+00
1.653820e+03,1.216516e+01
2.086060e+03,1.504889e+01
2.631290e+03,1.853169e+01
3.319010e+03,2.270798e+01
4.186480e+03,2.767651e+01
5.280670e+03,3.354032e+01
6.660850e+03,4.040319e+01
8.401750e+03,4.836156e+01
1.059770e+04,5.751656e+01
1.336750e+04,6.795969e+01
1.686130e+04,7.978397e+01
2.126820e+04,9.307758e+01
2.682700e+04,1.079355e+02
3.383860e+04,1.244524e+02
4.268270e+04,1.427388e+02
5.383840e+04,1.629194e+02
6.790990e+04,1.851354e+02
8.565900e+04,2.095537e+02
1.080470e+05,2.363692e+02
1.362870e+05,2.657966e+02
1.719070e+05,2.980909e+02
2.168380e+05,3.335340e+02
2.735110e+05,3.724412e+02
3.449970e+05,4.151774e+02
4.351670e+05,4.621360e+02
5.489030e+05,5.137364e+02
6.923670e+05,5.704468e+02
8.733260e+05,6.327874e+02
1.101580e+06,7.012982e+02
1.389500e+06,7.765670e+02
1.752660e+06,8.592408e+02
2.210740e+06,9.499876e+02
2.788550e+06,1.049541e+03
3.517370e+06,1.158679e+03
4.436690e+06,1.278249e+03
5.596280e+06,1.409114e+03
7.058940e+06,1.552461e+03
8.903890e+06,1.708854e+03
1.123100e+07,1.879574e+03
1.416640e+07,2.065968e+03
1.786900e+07,2.269159e+03
2.253930e+07,2.490458e+03
2.843030e+07,2.731294e+03
3.586100e+07,2.993251e+03
4.523370e+07,3.278275e+03
5.705620e+07,3.587346e+03
7.196860e+07,3.922505e+03
9.077850e+07,4.286081e+03
1.145050e+08,4.680041e+03
1.444320e+08,5.106522e+03
1.821810e+08,5.568012e+03
2.297970e+08,6.067190e+03
2.898580e+08,6.606371e+03
3.656160e+08,7.188670e+03
4.611750e+08,7.817189e+03
5.817090e+08,8.494982e+03
7.337470e+08,9.225804e+03
9.255220e+08,1.001307e+04
1.167420e+09,1.086090e+04
1.472540e+09,1.177346e+04
1.857410e+09,1.275494e+04
2.342870e+09,1.381042e+04
2.955210e+09,1.494464e+04
3.727590e+09,1.616271e+04
4.701850e+09,1.747081e+04
5.930740e+09,1.887418e+04
7.480830e+09,2.037969e+04
9.436040e+09,2.199426e+04
1.190230e+10,2.372386e+04
1.501310e+10,2.557724e+04
1.893700e+10,2.756152e+04
2.388640e+10,2.968522e+04
3.012950e+10,3.195773e+04
3.800420e+10,3.438832e+04
4.793720e+10,3.698681e+04
6.046620e+10,3.976355e+04
7.626990e+10,4.272998e+04
9.620400e+10,4.589654e+04
1.213480e+11,4.927664e+04
1.530640e+11,5.288862e+04
1.930700e+11,5.673728e+04
2.435310e+11,6.084431e+04
3.071810e+11,6.522180e+04
3.874680e+11,6.988349e+04
4.887370e+11,7.485283e+04
6.164760e+11,8.014550e+04
7.776000e+11,8.578036e+04
9.808370e+11,9.177778e+04
1.237190e+12,9.816405e+04
1.560550e+12,1.049537e+05
1.968420e+12,1.121740e+05
2.482890e+12,1.198468e+05
3.131830e+12,1.280069e+05
3.950380e+12,1.366789e+05
4.982860e+12,1.458929e+05
6.285200e+12,1.556724e+05
7.927930e+12,1.660662e+05
1.000000e+13,1.771006e+05
