energy[GeV],xs[pb]
1.000000e+01,5.844793e-03
1.261360e+01,1.069292e-02
1.591040e+01,1.805087e-02
2.006880e+01,2.878050e-02
2.531400e+01,4.393912e-02
3.193020e+01,6.483382e-02
4.027560e+01,9.311333e-02
5.080220e+01,1.307842e-01
6.408000e+01,1.804452e-01
8.082820e+01,2.453219e-01
1.019540e+02,3.293380e-01
1.286010e+02,4.375429e-01
1.622120e+02,5.764193e-01
2.046090e+02,7.537476e-01
2.580860e+02,9.794057e-01
3.255410e+02,1.265543e+00
4.106250e+02,1.627490e+00
5.179470e+02,2.083641e+00
6.533200e+02,2.656719e+00
8.240740e+02,3.374966e+00
1.039460e+03,4.270988e+00
1.311130e+03,5.385534e+00
1.653820e+03,6.765814e+00
2.086060e+03,8.466318e+00
2.631290e+03,1.055087e+01
3.319010e+03,1.309196e+01
4.186480e+03,1.616981e+01
5.280670e+03,1.987324e+01
6.660850e+03,2.429957e+01
8.401750e+03,2.954971e+01
1.059770e+04,3.573219e+01
1.336750e+04,4.296222e+01
1.686130e+04,5.136025e+01
2.126820e+04,6.105026e+01
2.682700e+04,7.216427e+01
3.383860e+04,8.484502e+01
4.268270e+04,9.923641e+01
5.383840e+04,1.155123e+02
6.790990e+04,1.338464e+02
8.565900e+04,1.544347e+02
1.080470e+05,1.775009e+02
1.362870e+05,2.032840e+02
1.719070e+05,2.320552e+02
2.168380e+05,2.641125e+02
2.735110e+05,2.997844e+02
3.449970e+05,3.394221e+02
4.351670e+05,3.834323e+02
5.489030e+05,4.322359e+02
6.923670e+05,4.862952e+02
8.733260e+05,5.460892e+02
1.101580e+06,6.122237e+02
1.389500e+06,6.852410e+02
1.752660e+06,7.657809e+02
2.210740e+06,8.545298e+02
2.788550e+06,9.521934e+02
3.517370e+06,1.059550e+03
4.436690e+06,1.177451e+03
5.596280e+06,1.306783e+03
7.058940e+06,1.448487e+03
8.903890e+06,1.603584e+03
1.123100e+07,1.773274e+03
1.416640e+07,1.958388e+03
1.786900e+07,2.160650e+03
2.253930e+07,2.380822e+03
2.843030e+07,2.620772e+03
3.586100e+07,2.881925e+03
4.523370e+07,3.165810e+03
5.705620e+07,3.474195e+03
7.196860e+07,3.808911e+03
9.077850e+07,4.171924e+03
1.145050e+08,4.565562e+03
1.444320e+08,4.991626e+03
1.821810e+08,5.452643e+03
2.297970e+08,5.951242e+03
2.898580e+08,6.490066e+03
3.656160e+08,7.072031e+03
4.611750e+08,7.700547e+03
5.817090e+08,8.378048e+03
7.337470e+08,9.108553e+03
9.255220e+08,9.895579e+03
1.167420e+09,1.074319e+04
1.472540e+09,1.165543e+04
1.857410e+09,1.263660e+04
2.342870e+09,1.369169e+04
2.955210e+09,1.482554e+04
3.727590e+09,1.604331e+04
4.701850e+09,1.735104e+04
5.930740e+09,1.875429e+04
7.480830e+09,2.025901e+04
9.436040e+09,2.187268e+04
1.190230e+10,2.360207e+04
1.501310e+10,2.545473e+04
1.893700e+10,2.743834e+04
2.388640e+10,2.956141e+04
3.012950e+10,3.183340e+04
3.800420e+10,3.426294e+04
4.793720e+10,3.685957e+04
6.046620e+10,3.963322e+04
7.626990e+10,4.259826e+04
9.620400e+10,4.576697e+04
1.213480e+11,4.914781e+04
1.530640e+11,5.275546e+04
1.930700e+11,5.660418e+04
2.435310e+11,6.070544e+04
3.071810e+11,6.508184e+04
3.874680e+11,6.974528e+04
4.887370e+11,7.471274e+04
6.164760e+11,8.000308e+04
7.776000e+11,8.563644e+04
9.808370e+11,9.163185e+04
1.237190e+12,9.801133e+04
1.560550e+12,1.048036e+05
1.968420e+12,1.120208e+05
2.482890e+12,1.196954e+05
3.131830e+12,1.278531e+05
3.950380e+12,1.365224e+05
4.982860e+12,1.457276e+05
6.285200e+12,1.555034e+05
7.927930e+12,1.658933e+05
1.000000e+13,1.769237e+05
