energy[GeV],xs[pb]
1.000000e+01,2.247090e-02
1.261360e+01,2.846788e-02
1.591040e+01,3.598207e-02
2.006880e+01,4.538652e-02
2.531400e+01,5.715905e-02
3.193020e+01,7.189747e-02
4.027560e+01,9.036493e-02
5.080220e+01,1.135094e-01
6.408000e+01,1.424928e-01
8.082820e+01,1.788330e-01
1.019540e+02,2.243566e-01
1.286010e+02,2.813611e-01
1.622120e+02,3.527734e-01
2.046090e+02,4.422060e-01
2.580860e+02,5.540362e-01
3.255410e+02,6.938853e-01
4.106250e+02,8.685116e-01
5.179470e+02,1.086486e+00
6.533200e+02,1.357847e+00
8.240740e+02,1.695274e+00
1.039460e+03,2.113694e+00
1.311130e+03,2.631223e+00
1.653820e+03,3.269073e+00
2.086060e+03,4.051916e+00
2.631290e+03,5.008248e+00
3.319010e+03,6.170451e+00
4.186480e+03,7.573899e+00
5.280670e+03,9.258183e+00
6.660850e+03,1.126505e+01
8.401750e+03,1.363905e+01
1.059770e+04,1.642644e+01
1.336750e+04,1.967487e+01
1.686130e+04,2.343364e+01
2.126820e+04,2.775370e+01
2.682700e+04,3.268931e+01
3.383860e+04,3.829691e+01
4.268270e+04,4.463822e+01
5.383840e+04,5.178109e+01
6.790990e+04,5.980015e+01
8.565900e+04,6.877919e+01
1.080470e+05,7.881163e+01
1.362870e+05,9.000085e+01
1.719070e+05,1.024633e+02
2.168380e+05,1.163279e+02
2.735110e+05,1.317354e+02
3.449970e+05,1.488414e+02
4.351670e+05,1.678157e+02
5.489030e+05,1.888428e+02
6.923670e+05,2.121211e+02
8.733260e+05,2.378683e+02
1.101580e+06,2.663170e+02
1.389500e+06,2.977147e+02
1.752660e+06,3.323615e+02
2.210740e+06,3.704947e+02
2.788550e+06,4.124539e+02
3.517370e+06,4.585636e+02
4.436690e+06,5.091521e+02
5.596280e+06,5.646520e+02
7.058940e+06,6.254643e+02
8.903890e+06,6.920111e+02
1.123100e+07,7.647590e+02
1.416640e+07,8.442256e+02
1.786900e+07,9.309938e+02
2.253930e+07,1.025506e+03
2.843030e+07,1.128448e+03
3.586100e+07,1.240445e+03
4.523370e+07,1.362219e+03
5.705620e+07,1.494507e+03
7.196860e+07,1.638027e+03
9.077850e+07,1.793759e+03
1.145050e+08,1.962570e+03
1.444320e+08,2.145340e+03
1.821810e+08,2.343111e+03
2.297970e+08,2.557018e+03
2.898580e+08,2.788193e+03
3.656160e+08,3.037941e+03
4.611750e+08,3.307378e+03
5.817090e+08,3.598131e+03
7.337470e+08,3.911557e+03
9.255220e+08,4.249255e+03
1.167420e+09,4.612911e+03
1.472540e+09,5.004321e+03
1.857410e+09,5.425302e+03
2.342870e+09,5.878004e+03
2.955210e+09,6.364451e+03
3.727590e+09,6.886993e+03
4.701850e+09,7.448155e+03
5.930740e+09,8.049989e+03
7.480830e+09,8.695697e+03
9.436040e+09,9.387952e+03
1.190230e+10,1.013008e+04
1.501310e+10,1.092474e+04
1.893700e+10,1.177560e+04
2.388640e+10,1.268639e+04
3.012950e+10,1.366072e+04
3.800420e+10,1.470307e+04
4.793720e+10,1.581686e+04
6.046620e+10,1.700718e+04
7.626990e+10,1.827884e+04
9.620400e+10,1.963673e+04
1.213480e+11,2.108688e+04
1.530640e+11,2.263376e+04
1.930700e+11,2.428393e+04
2.435310e+11,2.604365e+04
3.071810e+11,2.791982e+04
3.874680e+11,2.991918e+04
4.887370e+11,3.204937e+04
6.164760e+11,3.431764e+04
7.776000e+11,3.673264e+04
9.808370e+11,3.930316e+04
1.237190e+12,4.203924e+04
1.560550e+12,4.494945e+04
1.968420e+12,4.804294e+04
2.482890e+12,5.133340e+04
3.131830e+12,5.483047e+04
3.950380e+12,5.854847e+04
4.982860e+12,6.249956e+04
6.285200e+12,6.669318e+04
7.927930e+12,7.114942e+04
1.000000e+13,7.587762e+04
