energy[GeV],xs[pb]
1.000000e+01,1.997158e-02
1.261360e+01,2.534854e-02
1.591040e+01,3.208451e-02
2.006880e+01,4.052411e-02
2.531400e+01,5.109829e-02
3.193020e+01,6.436032e-02
4.027560e+01,8.098354e-02
5.080220e+01,1.018268e-01
6.408000e+01,1.279529e-01
8.082820e+01,1.607317e-01
1.019540e+02,2.018366e-01
1.286010e+02,2.533721e-01
1.622120e+02,3.179512e-01
2.046090e+02,3.988727e-01
2.580860e+02,5.002242e-01
3.255410e+02,6.270536e-01
4.106250e+02,7.856417e-01
5.179470e+02,9.837500e-01
6.533200e+02,1.230753e+00
8.240740e+02,1.538286e+00
1.039460e+03,1.920218e+00
1.311130e+03,2.393313e+00
1.653820e+03,2.977690e+00
2.086060e+03,3.696360e+00
2.631290e+03,4.576376e+00
3.319010e+03,5.648605e+00
4.186480e+03,6.947535e+00
5.280670e+03,8.511453e+00
6.660850e+03,1.038175e+01
8.401750e+03,1.260297e+01
1.059770e+04,1.522190e+01
1.336750e+04,1.828770e+01
1.686130e+04,2.185168e+01
2.126820e+04,2.596736e+01
2.682700e+04,3.069176e+01
3.383860e+04,3.608485e+01
4.268270e+04,4.221131e+01
5.383840e+04,4.914207e+01
6.790990e+04,5.695463e+01
8.565900e+04,6.573489e+01
1.080470e+05,7.557831e+01
1.362870e+05,8.658929e+01
1.719070e+05,9.888534e+01
2.168380e+05,1.125950e+02
2.735110e+05,1.278596e+02
3.449970e+05,1.448329e+02
4.351670e+05,1.636854e+02
5.489030e+05,1.845997e+02
6.923670e+05,2.077725e+02
8.733260e+05,2.334212e+02
1.101580e+06,2.617757e+02
1.389500e+06,2.930838e+02
1.752660e+06,3.276403e+02
2.210740e+06,3.656846e+02
2.788550e+06,4.075542e+02
3.517370e+06,4.535719e+02
4.436690e+06,5.040687e+02
5.596280e+06,5.594695e+02
7.058940e+06,6.201788e+02
8.903890e+06,6.866142e+02
1.123100e+07,7.592474e+02
1.416640e+07,8.386029e+02
1.786900e+07,9.252446e+02
2.253930e+07,1.019625e+03
2.843030e+07,1.122428e+03
3.586100e+07,1.234285e+03
4.523370e+07,1.355911e+03
5.705620e+07,1.488044e+03
7.196860e+07,1.631403e+03
9.077850e+07,1.786969e+03
1.145050e+08,1.955609e+03
1.444320e+08,2.138193e+03
1.821810e+08,2.335783e+03
2.297970e+08,2.549498e+03
2.898580e+08,2.780476e+03
3.656160e+08,3.030033e+03
4.611750e+08,3.299259e+03
5.817090e+08,3.589799e+03
7.337470e+08,3.903006e+03
9.255220e+08,4.240484e+03
1.167420e+09,4.603894e+03
1.472540e+09,4.995065e+03
1.857410e+09,5.415794e+03
2.342870e+09,5.868239e+03
2.955210e+09,6.354413e+03
3.727590e+09,6.876676e+03
4.701850e+09,7.437547e+03
5.930740e+09,8.039084e+03
7.480830e+09,8.684438e+03
9.436040e+09,9.376372e+03
1.190230e+10,1.011816e+04
1.501310e+10,1.091245e+04
1.893700e+10,1.176294e+04
2.388640e+10,1.267332e+04
3.012950e+10,1.364725e+04
3.800420e+10,1.468912e+04
4.793720e+10,1.580242e+04
6.046620e+10,1.699227e+04
7.626990e+10,1.826347e+04
9.620400e+10,1.962077e+04
1.213480e+11,2.107021e+04
1.530640e+11,2.261660e+04
1.930700e+11,2.426605e+04
2.435310e+11,2.602510e+04
3.071810e+11,2.790053e+04
3.874680e+11,2.989913e+04
4.887370e+11,3.202853e+04
6.164760e+11,3.429601e+04
7.776000e+11,3.671011e+04
9.808370e+11,3.927957e+04
1.237190e+12,4.201469e+04
1.560550e+12,4.492384e+04
1.968420e+12,4.801611e+04
2.482890e+12,5.130548e+04
3.131830e+12,5.480127e+04
3.950380e+12,5.851790e+04
4.982860e+12,6.246743e+04
6.285200e+12,6.665946e+04
7.927930e+12,7.111421e+04
1.000000e+13,7.584069e+04
