energy[GeV],xs[pb]
1.000000e+01,1.094794e-02
1.261360e+01,1.407816e-02
1.591040e+01,1.803474e-02
2.006880e+01,2.303261e-02
2.531400e+01,2.933276e-02
3.193020e+01,3.727468e-02
4.027560e+01,4.728261e-02
5.080220e+01,5.989390e-02
6.408000e+01,7.578811e-02
8.082820e+01,9.581718e-02
1.019540e+02,1.210574e-01
1.286010e+02,1.528620e-01
1.622120e+02,1.929357e-01
2.046090e+02,2.434332e-01
2.580860e+02,3.070380e-01
3.255410e+02,3.871198e-01
4.106250e+02,4.879109e-01
5.179470e+02,6.146928e-01
6.533200e+02,7.740063e-01
8.240740e+02,9.740325e-01
1.039460e+03,1.224791e+00
1.311130e+03,1.538713e+00
1.653820e+03,1.930791e+00
2.086060e+03,2.419383e+00
2.631290e+03,3.026396e+00
3.319010e+03,3.778067e+00
4.186480e+03,4.705087e+00
5.280670e+03,5.843323e+00
6.660850e+03,7.233939e+00
8.401750e+03,8.923555e+00
1.059770e+04,1.096437e+01
1.336750e+04,1.341438e+01
1.686130e+04,1.633651e+01
2.126820e+04,1.979898e+01
2.682700e+04,2.387483e+01
3.383860e+04,2.864193e+01
4.268270e+04,3.418257e+01
5.383840e+04,4.058358e+01
6.790990e+04,4.793724e+01
8.565900e+04,5.634114e+01
1.080470e+05,6.589897e+01
1.362870e+05,7.672052e+01
1.719070e+05,8.892496e+01
2.168380e+05,1.026391e+02
2.735110e+05,1.180005e+02
3.449970e+05,1.351581e+02
4.351670e+05,1.542726e+02
5.489030e+05,1.755182e+02
6.923670e+05,1.990833e+02
8.733260e+05,2.251742e+02
1.101580e+06,2.540104e+02
1.389500e+06,2.858319e+02
1.752660e+06,3.209249e+02
2.210740e+06,3.595207e+02
2.788550e+06,4.019496e+02
3.517370e+06,4.485278e+02
4.436690e+06,4.995727e+02
5.596280e+06,5.555292e+02
7.058940e+06,6.167740e+02
8.903890e+06,6.837321e+02
1.123100e+07,7.568697e+02
1.416640e+07,8.367053e+02
1.786900e+07,9.238122e+02
2.253930e+07,1.018636e+03
2.843030e+07,1.121861e+03
3.586100e+07,1.234119e+03
4.523370e+07,1.356125e+03
5.705620e+07,1.488621e+03
7.196860e+07,1.632315e+03
9.077850e+07,1.788209e+03
1.145050e+08,1.957154e+03
1.444320e+08,2.140027e+03
1.821810e+08,2.337892e+03
2.297970e+08,2.551868e+03
2.898580e+08,2.783095e+03
3.656160e+08,3.032882e+03
4.611750e+08,3.302339e+03
5.817090e+08,3.593095e+03
7.337470e+08,3.906506e+03
9.255220e+08,4.244179e+03
1.167420e+09,4.607792e+03
1.472540e+09,4.999158e+03
1.857410e+09,5.420073e+03
2.342870e+09,5.872701e+03
2.955210e+09,6.359062e+03
3.727590e+09,6.881509e+03
4.701850e+09,7.442566e+03
5.930740e+09,8.044286e+03
7.480830e+09,8.689842e+03
9.436040e+09,9.381967e+03
1.190230e+10,1.012396e+04
1.501310e+10,1.091845e+04
1.893700e+10,1.176914e+04
2.388640e+10,1.267974e+04
3.012950e+10,1.365389e+04
3.800420e+10,1.469601e+04
4.793720e+10,1.580954e+04
6.046620e+10,1.699972e+04
7.626990e+10,1.827111e+04
9.620400e+10,1.962875e+04
1.213480e+11,2.107850e+04
1.530640e+11,2.262518e+04
1.930700e+11,2.427494e+04
2.435310e+11,2.603437e+04
3.071810e+11,2.791017e+04
3.874680e+11,2.990915e+04
4.887370e+11,3.203895e+04
6.164760e+11,3.430682e+04
7.776000e+11,3.672138e+04
9.808370e+11,3.929137e+04
1.237190e+12,4.202696e+04
1.560550e+12,4.493664e+04
1.968420e+12,4.802952e+04
2.482890e+12,5.131939e+04
3.131830e+12,5.481582e+04
3.950380e+12,5.853318e+04
4.982860e+12,6.248349e+04
6.285200e+12,6.667632e+04
7.927930e+12,7.113182e+04
1.000000e+13,7.585916e+04
