energy[GeV],xs[pb]
1.000000e+01,1.096300e-02
1.261360e+01,1.410367e-02
1.591040e+01,1.807357e-02
2.006880e+01,2.308861e-02
2.531400e+01,2.940884e-02
3.193020e+01,3.737386e-02
4.027560e+01,4.741071e-02
5.080220e+01,6.005385e-02
6.408000e+01,7.598926e-02
8.082820e+01,9.606707e-02
1.019540e+02,1.213664e-01
1.286010e+02,1.532450e-01
1.622120e+02,1.934154e-01
2.046090e+02,2.440198e-01
2.580860e+02,3.077800e-01
3.255410e+02,3.880351e-01
4.106250e+02,4.890554e-01
5.179470e+02,6.161597e-01
6.533200e+02,7.758792e-01
8.240740e+02,9.764315e-01
1.039460e+03,1.227914e+00
1.311130e+03,1.542813e+00
1.653820e+03,1.936222e+00
2.086060e+03,2.426605e+00
2.631290e+03,3.036088e+00
3.319010e+03,3.791141e+00
4.186480e+03,4.722719e+00
5.280670e+03,5.867152e+00
6.660850e+03,7.265939e+00
8.401750e+03,8.966361e+00
1.059770e+04,1.102114e+01
1.336750e+04,1.348897e+01
1.686130e+04,1.643344e+01
2.126820e+04,1.992330e+01
2.682700e+04,2.403220e+01
3.383860e+04,2.883841e+01
4.268270e+04,3.442442e+01
5.383840e+04,4.087729e+01
6.790990e+04,4.828905e+01
8.565900e+04,5.675709e+01
1.080470e+05,6.638473e+01
1.362870e+05,7.728125e+01
1.719070e+05,8.956507e+01
2.168380e+05,1.033625e+02
2.735110e+05,1.188104e+02
3.449970e+05,1.360574e+02
4.351670e+05,1.552627e+02
5.489030e+05,1.766008e+02
6.923670e+05,2.002601e+02
8.733260e+05,2.264443e+02
1.101580e+06,2.553750e+02
1.389500e+06,2.872907e+02
1.752660e+06,3.224795e+02
2.210740e+06,3.611707e+02
2.788550e+06,4.036939e+02
3.517370e+06,4.503676e+02
4.436690e+06,5.015071e+02
5.596280e+06,5.575590e+02
7.058940e+06,6.189003e+02
8.903890e+06,6.859561e+02
1.123100e+07,7.591910e+02
1.416640e+07,8.391206e+02
1.786900e+07,9.263258e+02
2.253930e+07,1.021248e+03
2.843030e+07,1.124573e+03
3.586100e+07,1.236930e+03
4.523370e+07,1.359037e+03
5.705620e+07,1.491637e+03
7.196860e+07,1.635427e+03
9.077850e+07,1.791429e+03
1.145050e+08,1.960480e+03
1.444320e+08,2.143460e+03
1.821810e+08,2.341431e+03
2.297970e+08,2.555508e+03
2.898580e+08,2.786853e+03
3.656160e+08,3.036751e+03
4.611750e+08,3.306318e+03
5.817090e+08,3.597191e+03
7.337470e+08,3.910717e+03
9.255220e+08,4.248515e+03
1.167420e+09,4.612251e+03
1.472540e+09,5.003741e+03
1.857410e+09,5.424792e+03
2.342870e+09,5.877554e+03
2.955210e+09,6.364051e+03
3.727590e+09,6.886643e+03
4.701850e+09,7.447855e+03
5.930740e+09,8.049719e+03
7.480830e+09,8.695457e+03
9.436040e+09,9.387742e+03
1.190230e+10,1.012990e+04
1.501310e+10,1.092458e+04
1.893700e+10,1.177546e+04
2.388640e+10,1.268626e+04
3.012950e+10,1.366062e+04
3.800420e+10,1.470298e+04
4.793720e+10,1.581676e+04
6.046620e+10,1.700718e+04
7.626990e+10,1.827884e+04
9.620400e+10,1.963673e+04
1.213480e+11,2.108678e+04
1.530640e+11,2.263376e+04
1.930700e+11,2.428383e+04
2.435310e+11,2.604365e+04
3.071810e+11,2.791982e+04
3.874680e+11,2.991918e+04
4.887370e+11,3.204937e+04
6.164760e+11,3.431764e+04
7.776000e+11,3.673264e+04
9.808370e+11,3.930316e+04
1.237190e+12,4.203924e+04
1.560550e+12,4.494945e+04
1.968420e+12,4.804294e+04
2.482890e+12,5.133340e+04
3.131830e+12,5.483047e+04
3.950380e+12,5.854847e+04
4.982860e+12,6.249956e+04
6.285200e+12,6.669318e+04
7.927930e+12,7.114942e+04
1.000000e+13,7.587762e+04
