energy[GeV],xs[pb]
1.000000e+01,1.093288e-02
1.261360e+01,1.405264e-02
1.591040e+01,1.799591e-02
2.006880e+01,2.297661e-02
2.531400e+01,2.925668e-02
3.193020e+01,3.717551e-02
4.027560e+01,4.715451e-02
5.080220e+01,5.973394e-02
6.408000e+01,7.558695e-02
8.082820e+01,9.556729e-02
1.019540e+02,1.207484e-01
1.286010e+02,1.524790e-01
1.622120e+02,1.924561e-01
2.046090e+02,2.428465e-01
2.580860e+02,3.062960e-01
3.255410e+02,3.862044e-01
4.106250e+02,4.867665e-01
5.179470e+02,6.132258e-01
6.533200e+02,7.721335e-01
8.240740e+02,9.716335e-01
1.039460e+03,1.221668e+00
1.311130e+03,1.534613e+00
1.653820e+03,1.925360e+00
2.086060e+03,2.412160e+00
2.631290e+03,3.016705e+00
3.319010e+03,3.764994e+00
4.186480e+03,4.687456e+00
5.280670e+03,5.819493e+00
6.660850e+03,7.201938e+00
8.401750e+03,8.880749e+00
1.059770e+04,1.090760e+01
1.336750e+04,1.333980e+01
1.686130e+04,1.623958e+01
2.126820e+04,1.967466e+01
2.682700e+04,2.371746e+01
3.383860e+04,2.844545e+01
4.268270e+04,3.394071e+01
5.383840e+04,4.028987e+01
6.790990e+04,4.758543e+01
8.565900e+04,5.592519e+01
1.080470e+05,6.541321e+01
1.362870e+05,7.615979e+01
1.719070e+05,8.828484e+01
2.168380e+05,1.019156e+02
2.735110e+05,1.171906e+02
3.449970e+05,1.342589e+02
4.351670e+05,1.532824e+02
5.489030e+05,1.744357e+02
6.923670e+05,1.979065e+02
8.733260e+05,2.239042e+02
1.101580e+06,2.526457e+02
1.389500e+06,2.843731e+02
1.752660e+06,3.193703e+02
2.210740e+06,3.578706e+02
2.788550e+06,4.002052e+02
3.517370e+06,4.466879e+02
4.436690e+06,4.976383e+02
5.596280e+06,5.534995e+02
7.058940e+06,6.146478e+02
8.903890e+06,6.815082e+02
1.123100e+07,7.545484e+02
1.416640e+07,8.342899e+02
1.786900e+07,9.212986e+02
2.253930e+07,1.016024e+03
2.843030e+07,1.119150e+03
3.586100e+07,1.231308e+03
4.523370e+07,1.353213e+03
5.705620e+07,1.485604e+03
7.196860e+07,1.629203e+03
9.077850e+07,1.784989e+03
1.145050e+08,1.953829e+03
1.444320e+08,2.136593e+03
1.821810e+08,2.334353e+03
2.297970e+08,2.548228e+03
2.898580e+08,2.779336e+03
3.656160e+08,3.029013e+03
4.611750e+08,3.298359e+03
5.817090e+08,3.588999e+03
7.337470e+08,3.902296e+03
9.255220e+08,4.239844e+03
1.167420e+09,4.603334e+03
1.472540e+09,4.994575e+03
1.857410e+09,5.415353e+03
2.342870e+09,5.867849e+03
2.955210e+09,6.354073e+03
3.727590e+09,6.876376e+03
4.701850e+09,7.437277e+03
5.930740e+09,8.038854e+03
7.480830e+09,8.684228e+03
9.436040e+09,9.376192e+03
1.190230e+10,1.011801e+04
1.501310e+10,1.091232e+04
1.893700e+10,1.176282e+04
2.388640e+10,1.267321e+04
3.012950e+10,1.364716e+04
3.800420e+10,1.468904e+04
4.793720e+10,1.580232e+04
6.046620e+10,1.699227e+04
7.626990e+10,1.826337e+04
9.620400e+10,1.962077e+04
1.213480e+11,2.107021e+04
1.530640e+11,2.261660e+04
1.930700e+11,2.426605e+04
2.435310e+11,2.602510e+04
3.071810e+11,2.790053e+04
3.874680e+11,2.989913e+04
4.887370e+11,3.202853e+04
6.164760e+11,3.429601e+04
7.776000e+11,3.671011e+04
9.808370e+11,3.927957e+04
1.237190e+12,4.201469e+04
1.560550e+12,4.492384e+04
1.968420e+12,4.801611e+04
2.482890e+12,5.130538e+04
3.131830e+12,5.480117e+04
3.950380e+12,5.851790e+04
4.982860e+12,6.246743e+04
6.285200e+12,6.665946e+04
7.927930e+12,7.111421e+04
1.000000e+13,7.584069e+04
