energy[GeV],xs[pb]
1.000000e+01,2.122124e-02
1.261360e+01,2.690821e-02
1.591040e+01,3.403329e-02
2.006880e+01,4.295532e-02
2.531400e+01,5.412867e-02
3.193020e+01,6.812890e-02
4.027560e+01,8.567423e-02
5.080220e+01,1.076681e-01
6.408000e+01,1.352229e-01
8.082820e+01,1.697823e-01
1.019540e+02,2.130966e-01
1.286010e+02,2.673666e-01
1.622120e+02,3.353623e-01
2.046090e+02,4.205393e-01
2.580860e+02,5.271302e-01
3.255410e+02,6.604695e-01
4.106250e+02,8.270766e-01
5.179470e+02,1.035118e+00
6.533200e+02,1.294300e+00
8.240740e+02,1.616780e+00
1.039460e+03,2.016956e+00
1.311130e+03,2.512268e+00
1.653820e+03,3.123382e+00
2.086060e+03,3.874138e+00
2.631290e+03,4.792312e+00
3.319010e+03,5.909528e+00
4.186480e+03,7.260717e+00
5.280670e+03,8.884818e+00
6.660850e+03,1.082340e+01
8.401750e+03,1.312101e+01
1.059770e+04,1.582417e+01
1.336750e+04,1.898128e+01
1.686130e+04,2.264266e+01
2.126820e+04,2.686053e+01
2.682700e+04,3.169053e+01
3.383860e+04,3.719088e+01
4.268270e+04,4.342477e+01
5.383840e+04,5.046158e+01
6.790990e+04,5.837739e+01
8.565900e+04,6.725704e+01
1.080470e+05,7.719497e+01
1.362870e+05,8.829507e+01
1.719070e+05,1.006743e+02
2.168380e+05,1.144615e+02
2.735110e+05,1.297975e+02
3.449970e+05,1.468371e+02
4.351670e+05,1.657506e+02
5.489030e+05,1.867212e+02
6.923670e+05,2.099468e+02
8.733260e+05,2.356447e+02
1.101580e+06,2.640464e+02
1.389500e+06,2.953992e+02
1.752660e+06,3.300009e+02
2.210740e+06,3.680897e+02
2.788550e+06,4.100041e+02
3.517370e+06,4.560678e+02
4.436690e+06,5.066104e+02
5.596280e+06,5.620607e+02
7.058940e+06,6.228215e+02
8.903890e+06,6.893126e+02
1.123100e+07,7.620032e+02
1.416640e+07,8.414143e+02
1.786900e+07,9.281192e+02
2.253930e+07,1.022566e+03
2.843030e+07,1.125438e+03
3.586100e+07,1.237365e+03
4.523370e+07,1.359065e+03
5.705620e+07,1.491276e+03
7.196860e+07,1.634715e+03
9.077850e+07,1.790364e+03
1.145050e+08,1.959089e+03
1.444320e+08,2.141767e+03
1.821810e+08,2.339447e+03
2.297970e+08,2.553258e+03
2.898580e+08,2.784335e+03
3.656160e+08,3.033987e+03
4.611750e+08,3.303319e+03
5.817090e+08,3.593965e+03
7.337470e+08,3.907281e+03
9.255220e+08,4.244869e+03
1.167420e+09,4.608402e+03
1.472540e+09,4.999693e+03
1.857410e+09,5.420548e+03
2.342870e+09,5.873121e+03
2.955210e+09,6.359432e+03
3.727590e+09,6.881834e+03
4.701850e+09,7.442851e+03
5.930740e+09,8.044536e+03
7.480830e+09,8.690067e+03
9.436040e+09,9.382162e+03
1.190230e+10,1.012412e+04
1.501310e+10,1.091860e+04
1.893700e+10,1.176927e+04
2.388640e+10,1.267986e+04
3.012950e+10,1.365398e+04
3.800420e+10,1.469609e+04
4.793720e+10,1.580964e+04
6.046620e+10,1.699972e+04
7.626990e+10,1.827116e+04
9.620400e+10,1.962875e+04
1.213480e+11,2.107855e+04
1.530640e+11,2.262518e+04
1.930700e+11,2.427499e+04
2.435310e+11,2.603437e+04
3.071810e+11,2.791017e+04
3.874680e+11,2.990915e+04
4.887370e+11,3.203895e+04
6.164760e+11,3.430682e+04
7.776000e+11,3.672138e+04
9.808370e+11,3.929137e+04
1.237190e+12,4.202696e+04
1.560550e+12,4.493664e+04
1.968420e+12,4.802952e+04
2.482890e+12,5.131944e+04
3.131830e+12,5.481587e+04
3.950380e+12,5.853318e+04
4.982860e+12,6.248349e+04
6.285200e+12,6.667632e+04
7.927930e+12,7.113182e+04
1.000000e+13,7.585916e+04
