energy[GeV],xs[pb]
1.000000e+01,2.683103e-02
1.261360e+01,3.488079e-02
1.591040e+01,4.518234e-02
2.006880e+01,5.832725e-02
2.531400e+01,7.506481e-02
3.193020e+01,9.634899e-02
4.027560e+01,1.233667e-01
5.080220e+01,1.576237e-01
6.408000e+01,2.010168e-01
8.082820e+01,2.559351e-01
1.019540e+02,3.254317e-01
1.286010e+02,4.132669e-01
1.622120e+02,5.242552e-01
2.046090e+02,6.644279e-01
2.580860e+02,8.412772e-01
3.255410e+02,1.064230e+00
4.106250e+02,1.345043e+00
5.179470e+02,1.698330e+00
6.533200e+02,2.142165e+00
8.240740e+02,2.698977e+00
1.039460e+03,3.396285e+00
1.311130e+03,4.267469e+00
1.653820e+03,5.353204e+00
2.086060e+03,6.702197e+00
2.631290e+03,8.372611e+00
3.319010e+03,1.043226e+01
4.186480e+03,1.296048e+01
5.280670e+03,1.604771e+01
6.660850e+03,1.979550e+01
8.401750e+03,2.431766e+01
1.059770e+04,2.973757e+01
1.336750e+04,3.618827e+01
1.686130e+04,4.381007e+01
2.126820e+04,5.274930e+01
2.682700e+04,6.315607e+01
3.383860e+04,7.518538e+01
4.268270e+04,8.899320e+01
5.383840e+04,1.047371e+02
6.790990e+04,1.225804e+02
8.565900e+04,1.426904e+02
1.080470e+05,1.652415e+02
1.362870e+05,1.904171e+02
1.719070e+05,2.184159e+02
2.168380e+05,2.494526e+02
2.735110e+05,2.837642e+02
3.449970e+05,3.216085e+02
4.351670e+05,3.632781e+02
5.489030e+05,4.090751e+02
6.923670e+05,4.593544e+02
8.733260e+05,5.144766e+02
1.101580e+06,5.748805e+02
1.389500e+06,6.410008e+02
1.752660e+06,7.133253e+02
2.210740e+06,7.923803e+02
2.788550e+06,8.787255e+02
3.517370e+06,9.730070e+02
4.436690e+06,1.075826e+03
5.596280e+06,1.187899e+03
7.058940e+06,1.309991e+03
8.903890e+06,1.442921e+03
1.123100e+07,1.587549e+03
1.416640e+07,1.744797e+03
1.786900e+07,1.915674e+03
2.253930e+07,2.101130e+03
2.843030e+07,2.302573e+03
3.586100e+07,2.521140e+03
4.523370e+07,2.757834e+03
5.705620e+07,3.014201e+03
7.196860e+07,3.291710e+03
9.077850e+07,3.591912e+03
1.145050e+08,3.916498e+03
1.444320e+08,4.267177e+03
1.821810e+08,4.645838e+03
2.297970e+08,5.054513e+03
2.898580e+08,5.495268e+03
3.656160e+08,5.970376e+03
4.611750e+08,6.482245e+03
5.817090e+08,7.033424e+03
7.337470e+08,7.626665e+03
9.255220e+08,8.264647e+03
1.167420e+09,8.950622e+03
1.472540e+09,9.687748e+03
1.857410e+09,1.047956e+04
2.342870e+09,1.132935e+04
2.955210e+09,1.224147e+04
3.727590e+09,1.321947e+04
4.701850e+09,1.426805e+04
5.930740e+09,1.539201e+04
7.480830e+09,1.659538e+04
9.436040e+09,1.788410e+04
1.190230e+10,1.926339e+04
1.501310e+10,2.073910e+04
1.893700e+10,2.231713e+04
2.388640e+10,2.400405e+04
3.012950e+10,2.580700e+04
3.800420e+10,2.773315e+04
4.793720e+10,2.979022e+04
6.046620e+10,3.198646e+04
7.626990e+10,3.433041e+04
9.620400e+10,3.683174e+04
1.213480e+11,3.949983e+04
1.530640e+11,4.234599e+04
1.930700e+11,4.538065e+04
2.435310e+11,4.861595e+04
3.071810e+11,5.206451e+04
3.874680e+11,5.573989e+04
4.887370e+11,5.965606e+04
6.164760e+11,6.382905e+04
7.776000e+11,6.827467e+04
9.808370e+11,7.301051e+04
1.237190e+12,7.805493e+04
1.560550e+12,8.342808e+04
1.968420e+12,8.914747e+04
2.482890e+12,9.524193e+04
3.131830e+12,1.017326e+05
3.950380e+12,1.086447e+05
4.982860e+12,1.160055e+05
6.285200e+12,1.238439e+05
7.927930e+12,1.321947e+05
1.000000e+13,1.410793e+05
