energy[GeV],xs[pb]
1.000000e+01,6.353753e-02
1.261360e+01,8.117957e-02
1.591040e+01,1.034288e-01
2.006880e+01,1.314405e-01
2.531400e+01,1.667074e-01
3.193020e+01,2.110604e-01
4.027560e+01,2.668273e-01
5.080220e+01,3.368899e-01
6.408000e+01,4.248322e-01
8.082820e+01,5.351643e-01
1.019540e+02,6.736020e-01
1.286010e+02,8.471633e-01
1.622120e+02,1.064536e+00
2.046090e+02,1.336611e+00
2.580860e+02,1.676822e+00
3.255410e+02,2.101573e+00
4.106250e+02,2.631319e+00
5.179470e+02,3.291068e+00
6.533200e+02,4.110223e+00
8.240740e+02,5.124840e+00
1.039460e+03,6.378122e+00
1.311130e+03,7.920125e+00
1.653820e+03,9.809070e+00
2.086060e+03,1.211171e+01
2.631290e+03,1.490236e+01
3.319010e+03,1.826293e+01
4.186480e+03,2.228180e+01
5.280670e+03,2.705192e+01
6.660850e+03,3.266888e+01
8.401750e+03,3.922989e+01
1.059770e+04,4.683117e+01
1.336750e+04,5.556817e+01
1.686130e+04,6.553382e+01
2.126820e+04,7.681925e+01
2.682700e+04,8.951738e+01
3.383860e+04,1.037228e+02
4.268270e+04,1.195364e+02
5.383840e+04,1.370684e+02
6.790990e+04,1.564380e+02
8.565900e+04,1.777839e+02
1.080470e+05,2.012610e+02
1.362870e+05,2.270483e+02
1.719070e+05,2.553441e+02
2.168380e+05,2.863708e+02
2.735110e+05,3.203929e+02
3.449970e+05,3.576908e+02
4.351670e+05,3.985810e+02
5.489030e+05,4.434106e+02
6.923670e+05,4.925586e+02
8.733260e+05,5.464441e+02
1.101580e+06,6.054953e+02
1.389500e+06,6.701942e+02
1.752660e+06,7.410394e+02
2.210740e+06,8.186306e+02
2.788550e+06,9.035608e+02
3.517370e+06,9.962957e+02
4.436690e+06,1.097689e+03
5.596280e+06,1.208385e+03
7.058940e+06,1.329156e+03
8.903890e+06,1.460836e+03
1.123100e+07,1.604266e+03
1.416640e+07,1.760398e+03
1.786900e+07,1.930131e+03
2.253930e+07,2.114691e+03
2.843030e+07,2.315129e+03
3.586100e+07,2.532948e+03
4.523370e+07,2.768890e+03
5.705620e+07,3.024522e+03
7.196860e+07,3.301395e+03
9.077850e+07,3.601020e+03
1.145050e+08,3.925040e+03
1.444320e+08,4.275218e+03
1.821810e+08,4.653458e+03
2.297970e+08,5.061735e+03
2.898580e+08,5.502156e+03
3.656160e+08,5.976915e+03
4.611750e+08,6.488500e+03
5.817090e+08,7.039428e+03
7.337470e+08,7.632450e+03
9.255220e+08,8.270217e+03
1.167420e+09,8.956007e+03
1.472540e+09,9.692959e+03
1.857410e+09,1.048447e+04
2.342870e+09,1.133428e+04
2.955210e+09,1.224618e+04
3.727590e+09,1.322419e+04
4.701850e+09,1.427267e+04
5.930740e+09,1.539636e+04
7.480830e+09,1.659990e+04
9.436040e+09,1.788854e+04
1.190230e+10,1.926778e+04
1.501310e+10,2.074362e+04
1.893700e+10,2.232139e+04
2.388640e+10,2.400844e+04
3.012950e+10,2.581110e+04
3.800420e+10,2.773731e+04
4.793720e+10,2.979433e+04
6.046620e+10,3.199044e+04
7.626990e+10,3.433458e+04
9.620400e+10,3.683577e+04
1.213480e+11,3.950424e+04
1.530640e+11,4.235029e+04
1.930700e+11,4.538516e+04
2.435310e+11,4.862036e+04
3.071810e+11,5.206913e+04
3.874680e+11,5.574449e+04
4.887370e+11,5.966077e+04
6.164760e+11,6.383377e+04
7.776000e+11,6.827939e+04
9.808370e+11,7.301521e+04
1.237190e+12,7.805983e+04
1.560550e+12,8.343328e+04
1.968420e+12,8.915287e+04
2.482890e+12,9.524762e+04
3.131830e+12,1.017381e+05
3.950380e+12,1.086544e+05
4.982860e+12,1.160153e+05
6.285200e+12,1.238544e+05
7.927930e+12,1.322016e+05
1.000000e+13,1.410865e+05
