energy[GeV],xs[pb]
1.000000e+01,4.846185e-03
1.261360e+01,8.553961e-03
1.591040e+01,1.404855e-02
2.006880e+01,2.191092e-02
2.531400e+01,3.289610e-02
3.193020e+01,4.791616e-02
4.027560e+01,6.817300e-02
5.080220e+01,9.514058e-02
6.408000e+01,1.306940e-01
8.082820e+01,1.771930e-01
1.019540e+02,2.376377e-01
1.286010e+02,3.157311e-01
1.622120e+02,4.162782e-01
2.046090e+02,5.451999e-01
2.580860e+02,7.100150e-01
3.255410e+02,9.200947e-01
4.106250e+02,1.187144e+00
5.179470e+02,1.525786e+00
6.533200e+02,1.953857e+00
8.240740e+02,2.493998e+00
1.039460e+03,3.173386e+00
1.311130e+03,4.025513e+00
1.653820e+03,5.091025e+00
2.086060e+03,6.418338e+00
2.631290e+03,8.065747e+00
3.319010e+03,1.010152e+01
4.186480e+03,1.260398e+01
5.280670e+03,1.566309e+01
6.660850e+03,1.938185e+01
8.401750e+03,2.387326e+01
1.059770e+04,2.926087e+01
1.336750e+04,3.567580e+01
1.686130e+04,4.326181e+01
2.126820e+04,5.216089e+01
2.682700e+04,6.252785e+01
3.383860e+04,7.451225e+01
4.268270e+04,8.827534e+01
5.383840e+04,1.039697e+02
6.790990e+04,1.217696e+02
8.565900e+04,1.418282e+02
1.080470e+05,1.643204e+02
1.362870e+05,1.894384e+02
1.719070e+05,2.173587e+02
2.168380e+05,2.483248e+02
2.735110e+05,2.825609e+02
3.449970e+05,3.203376e+02
4.351670e+05,3.619121e+02
5.489030e+05,4.076164e+02
6.923670e+05,4.578164e+02
8.733260e+05,5.128367e+02
1.101580e+06,5.731370e+02
1.389500e+06,6.391421e+02
1.752660e+06,7.113548e+02
2.210740e+06,7.902853e+02
2.788550e+06,8.764968e+02
3.517370e+06,9.705972e+02
4.436690e+06,1.073256e+03
5.596280e+06,1.185184e+03
7.058940e+06,1.307094e+03
8.903890e+06,1.439857e+03
1.123100e+07,1.584283e+03
1.416640e+07,1.741334e+03
1.786900e+07,1.911980e+03
2.253930e+07,2.097297e+03
2.843030e+07,2.298411e+03
3.586100e+07,2.516693e+03
4.523370e+07,2.753132e+03
5.705620e+07,3.009177e+03
7.196860e+07,3.286398e+03
9.077850e+07,3.586290e+03
1.145050e+08,3.910484e+03
1.444320e+08,4.260838e+03
1.821810e+08,4.639330e+03
2.297970e+08,5.047599e+03
2.898580e+08,5.487976e+03
3.656160e+08,5.962713e+03
4.611750e+08,6.474172e+03
5.817090e+08,7.024879e+03
7.337470e+08,7.617588e+03
9.255220e+08,8.255151e+03
1.167420e+09,8.940596e+03
1.472540e+09,9.677164e+03
1.857410e+09,1.046816e+04
2.342870e+09,1.131758e+04
2.955210e+09,1.222892e+04
3.727590e+09,1.320619e+04
4.701850e+09,1.425403e+04
5.930740e+09,1.537697e+04
7.480830e+09,1.657972e+04
9.436040e+09,1.786755e+04
1.190230e+10,1.924591e+04
1.501310e+10,2.072082e+04
1.893700e+10,2.229762e+04
2.388640e+10,2.398353e+04
3.012950e+10,2.578591e+04
3.800420e+10,2.771037e+04
4.793720e+10,2.976625e+04
6.046620e+10,3.196101e+04
7.626990e+10,3.430360e+04
9.620400e+10,3.680260e+04
1.213480e+11,3.946921e+04
1.530640e+11,4.231134e+04
1.930700e+11,4.534625e+04
2.435310e+11,4.857977e+04
3.071810e+11,5.202435e+04
3.874680e+11,5.569971e+04
4.887370e+11,5.961371e+04
6.164760e+11,6.378410e+04
7.776000e+11,6.822705e+04
9.808370e+11,7.296029e+04
1.237190e+12,7.800221e+04
1.560550e+12,8.337615e+04
1.968420e+12,8.909604e+04
2.482890e+12,9.518410e+04
3.131830e+12,1.016717e+05
3.950380e+12,1.085808e+05
4.982860e+12,1.159384e+05
6.285200e+12,1.237672e+05
7.927930e+12,1.321102e+05
1.000000e+13,1.409932e+05
