energy[GeV],xs[pb]
1.000000e+01,1.129835e-02
1.261360e+01,1.990173e-02
1.591040e+01,3.256636e-02
2.006880e+01,5.055137e-02
2.531400e+01,7.537099e-02
3.193020e+01,1.089247e-01
4.027560e+01,1.535948e-01
5.080220e+01,2.122314e-01
6.408000e+01,2.884687e-01
8.082820e+01,3.868065e-01
1.019540e+02,5.128530e-01
1.286010e+02,6.735347e-01
1.622120e+02,8.777127e-01
2.046090e+02,1.136144e+00
2.580860e+02,1.462064e+00
3.255410e+02,1.871962e+00
4.106250e+02,2.386338e+00
5.179470e+02,3.029721e+00
6.533200e+02,3.832113e+00
8.240740e+02,4.829555e+00
1.039460e+03,6.064528e+00
1.311130e+03,7.587506e+00
1.653820e+03,9.456206e+00
2.086060e+03,1.173818e+01
2.631290e+03,1.450700e+01
3.319010e+03,1.784518e+01
4.186480e+03,2.183949e+01
5.280670e+03,2.658418e+01
6.660850e+03,3.217574e+01
8.401750e+03,3.870880e+01
1.059770e+04,4.627990e+01
1.336750e+04,5.498701e+01
1.686130e+04,6.491862e+01
2.126820e+04,7.617244e+01
2.682700e+04,8.883296e+01
3.383860e+04,1.029964e+02
4.268270e+04,1.187714e+02
5.383840e+04,1.362566e+02
6.790990e+04,1.555786e+02
8.565900e+04,1.768716e+02
1.080470e+05,2.002955e+02
1.362870e+05,2.260237e+02
1.719070e+05,2.542587e+02
2.168380e+05,2.852225e+02
2.735110e+05,3.191745e+02
3.449970e+05,3.563920e+02
4.351670e+05,3.972040e+02
5.489030e+05,4.419458e+02
6.923670e+05,4.910004e+02
8.733260e+05,5.447783e+02
1.101580e+06,6.037261e+02
1.389500e+06,6.683155e+02
1.752660e+06,7.390565e+02
2.210740e+06,8.165017e+02
2.788550e+06,9.012397e+02
3.517370e+06,9.939329e+02
4.436690e+06,1.095176e+03
5.596280e+06,1.205709e+03
7.058940e+06,1.326363e+03
8.903890e+06,1.457755e+03
1.123100e+07,1.601049e+03
1.416640e+07,1.756923e+03
1.786900e+07,1.926525e+03
2.253930e+07,2.110861e+03
2.843030e+07,2.311324e+03
3.586100e+07,2.528521e+03
4.523370e+07,2.764170e+03
5.705620e+07,3.019534e+03
7.196860e+07,3.296100e+03
9.077850e+07,3.595408e+03
1.145050e+08,3.919085e+03
1.444320e+08,4.268928e+03
1.821810e+08,4.646972e+03
2.297970e+08,5.054816e+03
2.898580e+08,5.494855e+03
3.656160e+08,5.969240e+03
4.611750e+08,6.480439e+03
5.817090e+08,7.030872e+03
7.337470e+08,7.623329e+03
9.255220e+08,8.260716e+03
1.167420e+09,8.945994e+03
1.472540e+09,9.682405e+03
1.857410e+09,1.047327e+04
2.342870e+09,1.132243e+04
2.955210e+09,1.223365e+04
3.727590e+09,1.321095e+04
4.701850e+09,1.425867e+04
5.930740e+09,1.538153e+04
7.480830e+09,1.658422e+04
9.436040e+09,1.787201e+04
1.190230e+10,1.925032e+04
1.501310e+10,2.072515e+04
1.893700e+10,2.230202e+04
2.388640e+10,2.398791e+04
3.012950e+10,2.578967e+04
3.800420e+10,2.771467e+04
4.793720e+10,2.977047e+04
6.046620e+10,3.196534e+04
7.626990e+10,3.430800e+04
9.620400e+10,3.680680e+04
1.213480e+11,3.947341e+04
1.530640e+11,4.231783e+04
1.930700e+11,4.535056e+04
2.435310e+11,4.858449e+04
3.071810e+11,5.202918e+04
3.874680e+11,5.570442e+04
4.887370e+11,5.961851e+04
6.164760e+11,6.379188e+04
7.776000e+11,6.823217e+04
9.808370e+11,7.296869e+04
1.237190e+12,7.800770e+04
1.560550e+12,8.337804e+04
1.968420e+12,8.910144e+04
2.482890e+12,9.518979e+04
3.131830e+12,1.016774e+05
3.950380e+12,1.085866e+05
4.982860e+12,1.159397e+05
6.285200e+12,1.237748e+05
7.927930e+12,1.321174e+05
1.000000e+13,1.410006e+05
