energy[GeV],xs[pb]
1.000000e+01,1.070431e-02
1.261360e+01,1.377319e-02
1.591040e+01,1.765167e-02
2.006880e+01,2.254944e-02
2.531400e+01,2.872045e-02
3.193020e+01,3.650148e-02
4.027560e+01,4.629942e-02
5.080220e+01,5.863748e-02
6.408000e+01,7.418579e-02
8.082820e+01,9.376917e-02
1.019540e+02,1.184389e-01
1.286010e+02,1.495235e-01
1.622120e+02,1.886835e-01
2.046090e+02,2.380007e-01
2.580860e+02,3.001261e-01
3.255410e+02,3.783286e-01
4.106250e+02,4.767198e-01
5.179470e+02,6.004660e-01
6.533200e+02,7.559753e-01
8.240740e+02,9.510815e-01
1.039460e+03,1.195730e+00
1.311130e+03,1.501870e+00
1.653820e+03,1.884235e+00
2.086060e+03,2.360652e+00
2.631290e+03,2.952399e+00
3.319010e+03,3.685070e+00
4.186480e+03,4.588413e+00
5.280670e+03,5.697259e+00
6.660850e+03,7.051279e+00
8.401750e+03,8.695702e+00
1.059770e+04,1.068041e+01
1.336750e+04,1.306089e+01
1.686130e+04,1.589661e+01
2.126820e+04,1.925180e+01
2.682700e+04,2.319391e+01
3.383860e+04,2.779411e+01
4.268270e+04,3.312623e+01
5.383840e+04,3.926703e+01
6.790990e+04,4.629585e+01
8.565900e+04,5.429502e+01
1.080470e+05,6.335068e+01
1.362870e+05,7.355179e+01
1.719070e+05,8.499219e+01
2.168380e+05,9.777329e+01
2.735110e+05,1.120015e+02
3.449970e+05,1.277930e+02
4.351670e+05,1.452687e+02
5.489030e+05,1.645663e+02
6.923670e+05,1.858406e+02
8.733260e+05,2.092159e+02
1.101580e+06,2.348959e+02
1.389500e+06,2.630763e+02
1.752660e+06,2.939296e+02
2.210740e+06,3.276865e+02
2.788550e+06,3.645832e+02
3.517370e+06,4.048902e+02
4.436690e+06,4.488686e+02
5.596280e+06,4.967858e+02
7.058940e+06,5.490386e+02
8.903890e+06,6.059312e+02
1.123100e+07,6.678547e+02
1.416640e+07,7.351840e+02
1.786900e+07,8.084077e+02
2.253930e+07,8.878745e+02
2.843030e+07,9.741053e+02
3.586100e+07,1.067639e+03
4.523370e+07,1.169034e+03
5.705620e+07,1.278823e+03
7.196860e+07,1.397693e+03
9.077850e+07,1.526327e+03
1.145050e+08,1.665403e+03
1.444320e+08,1.815634e+03
1.821810e+08,1.977871e+03
2.297970e+08,2.152962e+03
2.898580e+08,2.341826e+03
3.656160e+08,2.545455e+03
4.611750e+08,2.764779e+03
5.817090e+08,3.000980e+03
7.337470e+08,3.255147e+03
9.255220e+08,3.528570e+03
1.167420e+09,3.822462e+03
1.472540e+09,4.138299e+03
1.857410e+09,4.477538e+03
2.342870e+09,4.841706e+03
2.955210e+09,5.232470e+03
3.727590e+09,5.651566e+03
4.701850e+09,6.100878e+03
5.930740e+09,6.582432e+03
7.480830e+09,7.098186e+03
9.436040e+09,7.650309e+03
1.190230e+10,8.241230e+03
1.501310e+10,8.873324e+03
1.893700e+10,9.549181e+03
2.388640e+10,1.027212e+04
3.012950e+10,1.104439e+04
3.800420e+10,1.186943e+04
4.793720e+10,1.275058e+04
6.046620e+10,1.369141e+04
7.626990e+10,1.469568e+04
9.620400e+10,1.576708e+04
1.213480e+11,1.691051e+04
1.530640e+11,1.812998e+04
1.930700e+11,1.943059e+04
2.435310e+11,2.081735e+04
3.071810e+11,2.229595e+04
3.874680e+11,2.387193e+04
4.887370e+11,2.555158e+04
6.164760e+11,2.734243e+04
7.776000e+11,2.925059e+04
9.808370e+11,3.128315e+04
1.237190e+12,3.344992e+04
1.560550e+12,3.575852e+04
1.968420e+12,3.821893e+04
2.482890e+12,4.083968e+04
3.131830e+12,4.363427e+04
3.950380e+12,4.660818e+04
4.982860e+12,4.977829e+04
6.285200e+12,5.315564e+04
7.927930e+12,5.675403e+04
1.000000e+13,6.058448e+04
