energy[GeV],xs[pb]
1.000000e+01,2.096482e-02
1.261360e+01,2.660699e-02
1.591040e+01,3.366947e-02
2.006880e+01,4.250865e-02
2.531400e+01,5.357225e-02
3.193020e+01,6.743399e-02
4.027560e+01,8.478775e-02
5.080220e+01,1.065387e-01
6.408000e+01,1.337854e-01
8.082820e+01,1.679287e-01
1.019540e+02,2.107070e-01
1.286010e+02,2.643046e-01
1.622120e+02,3.314796e-01
2.046090e+02,4.155659e-01
2.580860e+02,5.207913e-01
3.255410e+02,6.524088e-01
4.106250e+02,8.167800e-01
5.179470e+02,1.022078e+00
6.533200e+02,1.277759e+00
8.240740e+02,1.595876e+00
1.039460e+03,1.990630e+00
1.311130e+03,2.479031e+00
1.653820e+03,3.081695e+00
2.086060e+03,3.821863e+00
2.631290e+03,4.727119e+00
3.319010e+03,5.828331e+00
4.186480e+03,7.160163e+00
5.280670e+03,8.760510e+00
6.660850e+03,1.067011e+01
8.401750e+03,1.293226e+01
1.059770e+04,1.559123e+01
1.336750e+04,1.869359e+01
1.686130e+04,2.228641e+01
2.126820e+04,2.641730e+01
2.682700e+04,3.113661e+01
3.383860e+04,3.649421e+01
4.268270e+04,4.254433e+01
5.383840e+04,4.934473e+01
6.790990e+04,5.695765e+01
8.565900e+04,6.545162e+01
1.080470e+05,7.490148e+01
1.362870e+05,8.539019e+01
1.719070e+05,9.700899e+01
2.168380e+05,1.098601e+02
2.735110e+05,1.240533e+02
3.449970e+05,1.397120e+02
4.351670e+05,1.569667e+02
5.489030e+05,1.759643e+02
6.923670e+05,1.968726e+02
8.733260e+05,2.198249e+02
1.101580e+06,2.450379e+02
1.389500e+06,2.727195e+02
1.752660e+06,3.030496e+02
2.210740e+06,3.362715e+02
2.788550e+06,3.726272e+02
3.517370e+06,4.123952e+02
4.436690e+06,4.558406e+02
5.596280e+06,5.032428e+02
7.058940e+06,5.549936e+02
8.903890e+06,6.114082e+02
1.123100e+07,6.728757e+02
1.416640e+07,7.397730e+02
1.786900e+07,8.125907e+02
2.253930e+07,8.916775e+02
2.843030e+07,9.775543e+02
3.586100e+07,1.070760e+03
4.523370e+07,1.171851e+03
5.705620e+07,1.281361e+03
7.196860e+07,1.399973e+03
9.077850e+07,1.528367e+03
1.145050e+08,1.667243e+03
1.444320e+08,1.817274e+03
1.821810e+08,1.979331e+03
2.297970e+08,2.154272e+03
2.898580e+08,2.342986e+03
3.656160e+08,2.546495e+03
4.611750e+08,2.765699e+03
5.817090e+08,3.001790e+03
7.337470e+08,3.255867e+03
9.255220e+08,3.529200e+03
1.167420e+09,3.823022e+03
1.472540e+09,4.138799e+03
1.857410e+09,4.477968e+03
2.342870e+09,4.842096e+03
2.955210e+09,5.232800e+03
3.727590e+09,5.651866e+03
4.701850e+09,6.101138e+03
5.930740e+09,6.582662e+03
7.480830e+09,7.098386e+03
9.436040e+09,7.650489e+03
1.190230e+10,8.241390e+03
1.501310e+10,8.873464e+03
1.893700e+10,9.549301e+03
2.388640e+10,1.027223e+04
3.012950e+10,1.104448e+04
3.800420e+10,1.186952e+04
4.793720e+10,1.275066e+04
6.046620e+10,1.369148e+04
7.626990e+10,1.469574e+04
9.620400e+10,1.576708e+04
1.213480e+11,1.691051e+04
1.530640e+11,1.812998e+04
1.930700e+11,1.943059e+04
2.435310e+11,2.081745e+04
3.071810e+11,2.229605e+04
3.874680e+11,2.387193e+04
4.887370e+11,2.555168e+04
6.164760e+11,2.734253e+04
7.776000e+11,2.925069e+04
9.808370e+11,3.128325e+04
1.237190e+12,3.344992e+04
1.560550e+12,3.575862e+04
1.968420e+12,3.821903e+04
2.482890e+12,4.083978e+04
3.131830e+12,4.363427e+04
3.950380e+12,4.660828e+04
4.982860e+12,4.977839e+04
6.285200e+12,5.315574e+04
7.927930e+12,5.675412e+04
1.000000e+13,6.058468e+04
