energy[GeV],xs[pb]
1.000000e+01,2.723636e-02
1.261360e+01,3.540087e-02
1.591040e+01,4.584233e-02
2.006880e+01,5.916597e-02
2.531400e+01,7.612683e-02
3.193020e+01,9.768167e-02
4.027560e+01,1.250641e-01
5.080220e+01,1.597515e-01
6.408000e+01,2.036893e-01
8.082820e+01,2.593078e-01
1.019540e+02,3.296777e-01
1.286010e+02,4.186421e-01
1.622120e+02,5.310082e-01
2.046090e+02,6.729345e-01
2.580860e+02,8.519583e-01
3.255410e+02,1.077664e+00
4.106250e+02,1.361818e+00
5.179470e+02,1.719456e+00
6.533200e+02,2.168605e+00
8.240740e+02,2.731972e+00
1.039460e+03,3.437446e+00
1.311130e+03,4.318709e+00
1.653820e+03,5.416715e+00
2.086060e+03,6.780917e+00
2.631290e+03,8.469830e+00
3.319010e+03,1.055181e+01
4.186480e+03,1.310725e+01
5.280670e+03,1.622702e+01
6.660850e+03,2.001396e+01
8.401750e+03,2.458263e+01
1.059770e+04,3.005756e+01
1.336750e+04,3.657290e+01
1.686130e+04,4.427022e+01
2.126820e+04,5.329767e+01
2.682700e+04,6.380714e+01
3.383860e+04,7.595494e+01
4.268270e+04,8.990095e+01
5.383840e+04,1.058021e+02
6.790990e+04,1.238273e+02
8.565900e+04,1.441474e+02
1.080470e+05,1.669391e+02
1.362870e+05,1.923907e+02
1.719070e+05,2.207057e+02
2.168380e+05,2.521051e+02
2.735110e+05,2.868329e+02
3.449970e+05,3.251463e+02
4.351670e+05,3.673414e+02
5.489030e+05,4.137408e+02
6.923670e+05,4.646941e+02
8.733260e+05,5.205762e+02
1.101580e+06,5.818298e+02
1.389500e+06,6.489023e+02
1.752660e+06,7.222894e+02
2.210740e+06,8.025261e+02
2.788550e+06,8.901864e+02
3.517370e+06,9.859260e+02
4.436690e+06,1.090358e+03
5.596280e+06,1.204221e+03
7.058940e+06,1.328288e+03
8.903890e+06,1.463400e+03
1.123100e+07,1.610428e+03
1.416640e+07,1.770325e+03
1.786900e+07,1.944094e+03
2.253930e+07,2.132763e+03
2.843030e+07,2.337718e+03
3.586100e+07,2.560122e+03
4.523370e+07,2.801028e+03
5.705620e+07,3.061997e+03
7.196860e+07,3.344538e+03
9.077850e+07,3.650254e+03
1.145050e+08,3.980831e+03
1.444320e+08,4.338088e+03
1.821810e+08,4.723887e+03
2.297970e+08,5.140351e+03
2.898580e+08,5.589568e+03
3.656160e+08,6.073950e+03
4.611750e+08,6.595814e+03
5.817090e+08,7.157886e+03
7.337470e+08,7.762965e+03
9.255220e+08,8.413793e+03
1.167420e+09,9.113804e+03
1.472540e+09,9.865923e+03
1.857410e+09,1.067400e+04
2.342870e+09,1.154166e+04
2.955210e+09,1.247301e+04
3.727590e+09,1.347179e+04
4.701850e+09,1.454286e+04
5.930740e+09,1.569114e+04
7.480830e+09,1.692085e+04
9.436040e+09,1.823800e+04
1.190230e+10,1.964801e+04
1.501310e+10,2.115690e+04
1.893700e+10,2.277061e+04
2.388640e+10,2.449629e+04
3.012950e+10,2.634090e+04
3.800420e+10,2.831226e+04
4.793720e+10,3.041721e+04
6.046620e+10,3.266531e+04
7.626990e+10,3.506526e+04
9.620400e+10,3.762681e+04
1.213480e+11,4.035958e+04
1.530640e+11,4.327499e+04
1.930700e+11,4.638441e+04
2.435310e+11,4.969992e+04
3.071810e+11,5.323489e+04
3.874680e+11,5.700287e+04
4.887370e+11,6.101846e+04
6.164760e+11,6.529819e+04
7.776000e+11,6.985828e+04
9.808370e+11,7.471722e+04
1.237190e+12,7.989353e+04
1.560550e+12,8.540837e+04
1.968420e+12,9.127955e+04
2.482890e+12,9.753711e+04
3.131830e+12,1.042028e+05
3.950380e+12,1.113025e+05
4.982860e+12,1.188648e+05
6.285200e+12,1.269186e+05
7.927930e+12,1.355018e+05
1.000000e+13,1.446346e+05
