energy[GeV],xs[pb]
1.000000e+01,6.284049e-02
1.261360e+01,8.029684e-02
1.591040e+01,1.023069e-01
2.006880e+01,1.300239e-01
2.531400e+01,1.649393e-01
3.193020e+01,2.088616e-01
4.027560e+01,2.640611e-01
5.080220e+01,3.334376e-01
6.408000e+01,4.205800e-01
8.082820e+01,5.298825e-01
1.019540e+02,6.670588e-01
1.286010e+02,8.390565e-01
1.622120e+02,1.054529e+00
2.046090e+02,1.324276e+00
2.580860e+02,1.661532e+00
3.255410e+02,2.082778e+00
4.106250e+02,2.608077e+00
5.179470e+02,3.262511e+00
6.533200e+02,4.075180e+00
8.240740e+02,5.081964e+00
1.039460e+03,6.325683e+00
1.311130e+03,7.855955e+00
1.653820e+03,9.731090e+00
2.086060e+03,1.201697e+01
2.631290e+03,1.478798e+01
3.319010e+03,1.812587e+01
4.186480e+03,2.211824e+01
5.280670e+03,2.685854e+01
6.660850e+03,3.244239e+01
8.401750e+03,3.896752e+01
1.059770e+04,4.653085e+01
1.336750e+04,5.522903e+01
1.686130e+04,6.515720e+01
2.126820e+04,7.640852e+01
2.682700e+04,8.907874e+01
3.383860e+04,1.032662e+02
4.268270e+04,1.190749e+02
5.383840e+04,1.366201e+02
6.790990e+04,1.560258e+02
8.565900e+04,1.774357e+02
1.080470e+05,2.010119e+02
1.362870e+05,2.269364e+02
1.719070e+05,2.554145e+02
2.168380e+05,2.866758e+02
2.735110e+05,3.209888e+02
3.449970e+05,3.586413e+02
4.351670e+05,3.999552e+02
5.489030e+05,4.452841e+02
6.923670e+05,4.950141e+02
8.733260e+05,5.495736e+02
1.101580e+06,6.093811e+02
1.389500e+06,6.749535e+02
1.752660e+06,7.468064e+02
2.210740e+06,8.255729e+02
2.788550e+06,9.117036e+02
3.517370e+06,1.005839e+03
4.436690e+06,1.108794e+03
5.596280e+06,1.221230e+03
7.058940e+06,1.343931e+03
8.903890e+06,1.477747e+03
1.123100e+07,1.623544e+03
1.416640e+07,1.782281e+03
1.786900e+07,1.954889e+03
2.253930e+07,2.142622e+03
2.843030e+07,2.346531e+03
3.586100e+07,2.568162e+03
4.523370e+07,2.808280e+03
5.705620e+07,3.068528e+03
7.196860e+07,3.350140e+03
9.077850e+07,3.655520e+03
1.145050e+08,3.985521e+03
1.444320e+08,4.342267e+03
1.821810e+08,4.727614e+03
2.297970e+08,5.143629e+03
2.898580e+08,5.592537e+03
3.656160e+08,6.076499e+03
4.611750e+08,6.598120e+03
5.817090e+08,7.159932e+03
7.337470e+08,7.764761e+03
9.255220e+08,8.415385e+03
1.167420e+09,9.115097e+03
1.472540e+09,9.867175e+03
1.857410e+09,1.067507e+04
2.342870e+09,1.154260e+04
2.955210e+09,1.247370e+04
3.727590e+09,1.347252e+04
4.701850e+09,1.454350e+04
5.930740e+09,1.569150e+04
7.480830e+09,1.692133e+04
9.436040e+09,1.823841e+04
1.190230e+10,1.964837e+04
1.501310e+10,2.115713e+04
1.893700e+10,2.277096e+04
2.388640e+10,2.449648e+04
3.012950e+10,2.634083e+04
3.800420e+10,2.831194e+04
4.793720e+10,3.041719e+04
6.046620e+10,3.266532e+04
7.626990e+10,3.506538e+04
9.620400e+10,3.762654e+04
1.213480e+11,4.035955e+04
1.530640e+11,4.327507e+04
1.930700e+11,4.638456e+04
2.435310e+11,4.970003e+04
3.071810e+11,5.323491e+04
3.874680e+11,5.700277e+04
4.887370e+11,6.101837e+04
6.164760e+11,6.529810e+04
7.776000e+11,6.985810e+04
9.808370e+11,7.471672e+04
1.237190e+12,7.989322e+04
1.560550e+12,8.540786e+04
1.968420e+12,9.127945e+04
2.482890e+12,9.753681e+04
3.131830e+12,1.042021e+05
3.950380e+12,1.113057e+05
4.982860e+12,1.188679e+05
6.285200e+12,1.269225e+05
7.927930e+12,1.355010e+05
1.000000e+13,1.446337e+05
