energy[GeV],xs[pb]
1.000000e+01,4.969150e-03
1.261360e+01,8.752957e-03
1.591040e+01,1.434534e-02
2.006880e+01,2.233878e-02
2.531400e+01,3.348227e-02
3.193020e+01,4.871330e-02
4.027560e+01,6.923500e-02
5.080220e+01,9.652884e-02
6.408000e+01,1.325096e-01
8.082820e+01,1.795652e-01
1.019540e+02,2.406684e-01
1.286010e+02,3.196721e-01
1.622120e+02,4.213541e-01
2.046090e+02,5.517463e-01
2.580860e+02,7.183859e-01
3.255410e+02,9.308168e-01
4.106250e+02,1.200880e+00
5.179470e+02,1.543215e+00
6.533200e+02,1.976224e+00
8.240740e+02,2.522351e+00
1.039460e+03,3.209316e+00
1.311130e+03,4.070969e+00
1.653820e+03,5.148092e+00
2.086060e+03,6.490118e+00
2.631290e+03,8.155036e+00
3.319010e+03,1.021153e+01
4.186480e+03,1.274009e+01
5.280670e+03,1.583131e+01
6.660850e+03,1.958816e+01
8.401750e+03,2.412495e+01
1.059770e+04,2.956519e+01
1.336750e+04,3.604557e+01
1.686130e+04,4.370638e+01
2.126820e+04,5.269126e+01
2.682700e+04,6.315822e+01
3.383860e+04,7.526110e+01
4.268270e+04,8.915769e+01
5.383840e+04,1.050138e+02
6.790990e+04,1.229826e+02
8.565900e+04,1.432460e+02
1.080470e+05,1.659794e+02
1.362870e+05,1.913659e+02
1.719070e+05,2.196155e+02
2.168380e+05,2.509594e+02
2.735110e+05,2.855867e+02
3.449970e+05,3.238176e+02
4.351670e+05,3.659414e+02
5.489030e+05,4.122320e+02
6.923670e+05,4.630832e+02
8.733260e+05,5.188784e+02
1.101580e+06,5.800246e+02
1.389500e+06,6.469837e+02
1.752660e+06,7.202503e+02
2.210740e+06,8.003625e+02
2.788550e+06,8.878822e+02
3.517370e+06,9.834353e+02
4.436690e+06,1.087708e+03
5.596280e+06,1.201463e+03
7.058940e+06,1.325410e+03
8.903890e+06,1.460237e+03
1.123100e+07,1.607061e+03
1.416640e+07,1.766746e+03
1.786900e+07,1.940281e+03
2.253930e+07,2.128786e+03
2.843030e+07,2.333406e+03
3.586100e+07,2.555546e+03
4.523370e+07,2.796173e+03
5.705620e+07,3.056820e+03
7.196860e+07,3.339080e+03
9.077850e+07,3.644441e+03
1.145050e+08,3.974653e+03
1.444320e+08,4.331498e+03
1.821810e+08,4.716976e+03
2.297970e+08,5.133179e+03
2.898580e+08,5.582070e+03
3.656160e+08,6.065991e+03
4.611750e+08,6.587495e+03
5.817090e+08,7.149094e+03
7.337470e+08,7.753580e+03
9.255220e+08,8.403972e+03
1.167420e+09,9.103278e+03
1.472540e+09,9.854966e+03
1.857410e+09,1.066237e+04
2.342870e+09,1.152952e+04
2.955210e+09,1.246007e+04
3.727590e+09,1.345806e+04
4.701850e+09,1.452848e+04
5.930740e+09,1.567564e+04
7.480830e+09,1.690464e+04
9.436040e+09,1.822089e+04
1.190230e+10,1.962995e+04
1.501310e+10,2.113800e+04
1.893700e+10,2.275055e+04
2.388640e+10,2.447507e+04
3.012950e+10,2.631881e+04
3.800420e+10,2.828830e+04
4.793720e+10,3.039237e+04
6.046620e+10,3.263903e+04
7.626990e+10,3.503644e+04
9.620400e+10,3.759637e+04
1.213480e+11,4.032782e+04
1.530640e+11,4.324150e+04
1.930700e+11,4.634880e+04
2.435310e+11,4.966248e+04
3.071810e+11,5.319496e+04
3.874680e+11,5.696112e+04
4.887370e+11,6.097464e+04
6.164760e+11,6.525172e+04
7.776000e+11,6.980922e+04
9.808370e+11,7.466520e+04
1.237190e+12,7.983870e+04
1.560550e+12,8.535464e+04
1.968420e+12,9.122612e+04
2.482890e+12,9.747708e+04
3.131830e+12,1.041396e+05
3.950380e+12,1.112359e+05
4.982860e+12,1.187948e+05
6.285200e+12,1.268390e+05
7.927930e+12,1.354133e+05
1.000000e+13,1.445455e+05
