energy[GeV],xs[pb]
1.000000e+01,1.119904e-02
1.261360e+01,1.970918e-02
1.591040e+01,3.222531e-02
2.006880e+01,4.999645e-02
2.531400e+01,7.453143e-02
3.193020e+01,1.077029e-01
4.027560e+01,1.518136e-01
5.080220e+01,2.097726e-01
6.408000e+01,2.850912e-01
8.082820e+01,3.824127e-01
1.019540e+02,5.070099e-01
1.286010e+02,6.659878e-01
1.622120e+02,8.680037e-01
2.046090e+02,1.123676e+00
2.580860e+02,1.446590e+00
3.255410e+02,1.852676e+00
4.106250e+02,2.362176e+00
5.179470e+02,2.999794e+00
6.533200e+02,3.795286e+00
8.240740e+02,4.784126e+00
1.039460e+03,6.008704e+00
1.311130e+03,7.519672e+00
1.653820e+03,9.374406e+00
2.086060e+03,1.163759e+01
2.631290e+03,1.438681e+01
3.319010e+03,1.770020e+01
4.186480e+03,2.166782e+01
5.280670e+03,2.638295e+01
6.660850e+03,3.193919e+01
8.401750e+03,3.843464e+01
1.059770e+04,4.596659e+01
1.336750e+04,5.463423e+01
1.686130e+04,6.452670e+01
2.126820e+04,7.574391e+01
2.682700e+04,8.837362e+01
3.383860e+04,1.025185e+02
4.268270e+04,1.182874e+02
5.383840e+04,1.357823e+02
6.790990e+04,1.551378e+02
8.565900e+04,1.764980e+02
1.080470e+05,2.000137e+02
1.362870e+05,2.258761e+02
1.719070e+05,2.542958e+02
2.168380e+05,2.854909e+02
2.735110e+05,3.197363e+02
3.449970e+05,3.573015e+02
4.351670e+05,3.985313e+02
5.489030e+05,4.437694e+02
6.923670e+05,4.934023e+02
8.733260e+05,5.478527e+02
1.101580e+06,6.075713e+02
1.389500e+06,6.730321e+02
1.752660e+06,7.447612e+02
2.210740e+06,8.233130e+02
2.788550e+06,9.093066e+02
3.517370e+06,1.003396e+03
4.436690e+06,1.106193e+03
5.596280e+06,1.218415e+03
7.058940e+06,1.341044e+03
8.903890e+06,1.474629e+03
1.123100e+07,1.620256e+03
1.416640e+07,1.778707e+03
1.786900e+07,1.951183e+03
2.253930e+07,2.138650e+03
2.843030e+07,2.342337e+03
3.586100e+07,2.563703e+03
4.523370e+07,2.803440e+03
5.705620e+07,3.063364e+03
7.196860e+07,3.345094e+03
9.077850e+07,3.649698e+03
1.145050e+08,3.979384e+03
1.444320e+08,4.335731e+03
1.821810e+08,4.720895e+03
2.297970e+08,5.136508e+03
2.898580e+08,5.584998e+03
3.656160e+08,6.068592e+03
4.611750e+08,6.589743e+03
5.817090e+08,7.151137e+03
7.337470e+08,7.755363e+03
9.255220e+08,8.405564e+03
1.167420e+09,9.104749e+03
1.472540e+09,9.856227e+03
1.857410e+09,1.066347e+04
2.342870e+09,1.153038e+04
2.955210e+09,1.246080e+04
3.727590e+09,1.345879e+04
4.701850e+09,1.452906e+04
5.930740e+09,1.567621e+04
7.480830e+09,1.690514e+04
9.436040e+09,1.822133e+04
1.190230e+10,1.963027e+04
1.501310e+10,2.113828e+04
1.893700e+10,2.275079e+04
2.388640e+10,2.447522e+04
3.012950e+10,2.631875e+04
3.800420e+10,2.828842e+04
4.793720e+10,3.039245e+04
6.046620e+10,3.263923e+04
7.626990e+10,3.503773e+04
9.620400e+10,3.759657e+04
1.213480e+11,4.032775e+04
1.530640e+11,4.324141e+04
1.930700e+11,4.634908e+04
2.435310e+11,4.966249e+04
3.071810e+11,5.319539e+04
3.874680e+11,5.696112e+04
4.887370e+11,6.097464e+04
6.164760e+11,6.525186e+04
7.776000e+11,6.980928e+04
9.808370e+11,7.466870e+04
1.237190e+12,7.983920e+04
1.560550e+12,8.535093e+04
1.968420e+12,9.122582e+04
2.482890e+12,9.747658e+04
3.131830e+12,1.041390e+05
3.950380e+12,1.112356e+05
4.982860e+12,1.187894e+05
6.285200e+12,1.268395e+05
7.927930e+12,1.354136e+05
1.000000e+13,1.445449e+05
