energy[GeV],xs[pb]
1.000000e+01,1.073849e-02
1.261360e+01,1.381775e-02
1.591040e+01,1.770921e-02
2.006880e+01,2.262275e-02
2.531400e+01,2.881642e-02
3.193020e+01,3.662277e-02
4.027560e+01,4.645001e-02
5.080220e+01,5.884097e-02
6.408000e+01,7.444598e-02
8.082820e+01,9.409843e-02
1.019540e+02,1.188742e-01
1.286010e+02,1.500708e-01
1.622120e+02,1.893829e-01
2.046090e+02,2.389057e-01
2.580860e+02,3.012574e-01
3.255410e+02,3.797575e-01
4.106250e+02,4.785255e-01
5.179470e+02,6.027399e-01
6.533200e+02,7.587827e-01
8.240740e+02,9.546742e-01
1.039460e+03,1.200166e+00
1.311130e+03,1.507455e+00
1.653820e+03,1.891147e+00
2.086060e+03,2.369134e+00
2.631290e+03,2.962914e+00
3.319010e+03,3.698002e+00
4.186480e+03,4.604265e+00
5.280670e+03,5.716634e+00
6.660850e+03,7.074967e+00
8.401750e+03,8.724357e+00
1.059770e+04,1.071518e+01
1.336750e+04,1.310299e+01
1.686130e+04,1.594762e+01
2.126820e+04,1.931344e+01
2.682700e+04,2.326873e+01
3.383860e+04,2.788506e+01
4.268270e+04,3.323714e+01
5.383840e+04,3.940248e+01
6.790990e+04,4.646178e+01
8.565900e+04,5.449850e+01
1.080470e+05,6.360113e+01
1.362870e+05,7.385958e+01
1.719070e+05,8.537064e+01
2.168380e+05,9.823783e+01
2.735110e+05,1.125704e+02
3.449970e+05,1.284868e+02
4.351670e+05,1.461120e+02
5.489030e+05,1.655857e+02
6.923670e+05,1.870679e+02
8.733260e+05,2.106852e+02
1.101580e+06,2.366503e+02
1.389500e+06,2.651538e+02
1.752660e+06,2.963798e+02
2.210740e+06,3.305632e+02
2.788550e+06,3.679427e+02
3.517370e+06,4.087975e+02
4.436690e+06,4.533893e+02
5.596280e+06,5.020025e+02
7.058940e+06,5.550286e+02
8.903890e+06,6.127851e+02
1.123100e+07,6.756656e+02
1.416640e+07,7.440688e+02
1.786900e+07,8.184748e+02
2.253930e+07,8.992475e+02
2.843030e+07,9.869221e+02
3.586100e+07,1.082043e+03
4.523370e+07,1.185186e+03
5.705620e+07,1.296891e+03
7.196860e+07,1.417872e+03
9.077850e+07,1.548809e+03
1.145050e+08,1.690403e+03
1.444320e+08,1.843405e+03
1.821810e+08,2.008649e+03
2.297970e+08,2.187040e+03
2.898580e+08,2.379482e+03
3.656160e+08,2.586992e+03
4.611750e+08,2.810601e+03
5.817090e+08,3.051429e+03
7.337470e+08,3.310642e+03
9.255220e+08,3.589520e+03
1.167420e+09,3.889410e+03
1.472540e+09,4.211639e+03
1.857410e+09,4.557862e+03
2.342870e+09,4.929608e+03
2.955210e+09,5.328681e+03
3.727590e+09,5.756543e+03
4.701850e+09,6.215461e+03
5.930740e+09,6.707304e+03
7.480830e+09,7.234397e+03
9.436040e+09,7.798663e+03
1.190230e+10,8.402710e+03
1.501310e+10,9.048959e+03
1.893700e+10,9.740356e+03
2.388640e+10,1.047966e+04
3.012950e+10,1.126953e+04
3.800420e+10,1.211370e+04
4.793720e+10,1.301543e+04
6.046620e+10,1.397845e+04
7.626990e+10,1.500651e+04
9.620400e+10,1.610370e+04
1.213480e+11,1.727453e+04
1.530640e+11,1.852369e+04
1.930700e+11,1.985612e+04
2.435310e+11,2.127715e+04
3.071810e+11,2.279249e+04
3.874680e+11,2.440792e+04
4.887370e+11,2.613002e+04
6.164760e+11,2.796633e+04
7.776000e+11,2.992345e+04
9.808370e+11,3.200845e+04
1.237190e+12,3.423146e+04
1.560550e+12,3.660064e+04
1.968420e+12,3.912610e+04
2.482890e+12,4.181643e+04
3.131830e+12,4.468556e+04
3.950380e+12,4.773991e+04
4.982860e+12,5.099601e+04
6.285200e+12,5.446547e+04
7.927930e+12,5.816303e+04
1.000000e+13,6.210002e+04
