energy[GeV],xs[pb]
1.000000e+01,2.095769e-02
1.261360e+01,2.659855e-02
1.591040e+01,3.366041e-02
2.006880e+01,4.249766e-02
2.531400e+01,5.356263e-02
3.193020e+01,6.741989e-02
4.027560e+01,8.478064e-02
5.080220e+01,1.065332e-01
6.408000e+01,1.337955e-01
8.082820e+01,1.679492e-01
1.019540e+02,2.107643e-01
1.286010e+02,2.643909e-01
1.622120e+02,3.315861e-01
2.046090e+02,4.157099e-01
2.580860e+02,5.209915e-01
3.255410e+02,6.526857e-01
4.106250e+02,8.171727e-01
5.179470e+02,1.022509e+00
6.533200e+02,1.278404e+00
8.240740e+02,1.596677e+00
1.039460e+03,1.991676e+00
1.311130e+03,2.480355e+00
1.653820e+03,3.083218e+00
2.086060e+03,3.823834e+00
2.631290e+03,4.729455e+00
3.319010e+03,5.831262e+00
4.186480e+03,7.163735e+00
5.280670e+03,8.765445e+00
6.660850e+03,1.067530e+01
8.401750e+03,1.293867e+01
1.059770e+04,1.559928e+01
1.336750e+04,1.870399e+01
1.686130e+04,2.230012e+01
2.126820e+04,2.643584e+01
2.682700e+04,3.116203e+01
3.383860e+04,3.652936e+01
4.268270e+04,4.259324e+01
5.383840e+04,4.941248e+01
6.790990e+04,5.705078e+01
8.565900e+04,6.557810e+01
1.080470e+05,7.507193e+01
1.362870e+05,8.561618e+01
1.719070e+05,9.730534e+01
2.168380e+05,1.102435e+02
2.735110e+05,1.245434e+02
3.449970e+05,1.403308e+02
4.351670e+05,1.577400e+02
5.489030e+05,1.769197e+02
6.923670e+05,1.980419e+02
8.733260e+05,2.212422e+02
1.101580e+06,2.467473e+02
1.389500e+06,2.747588e+02
1.752660e+06,3.054708e+02
2.210740e+06,3.391242e+02
2.788550e+06,3.759687e+02
3.517370e+06,4.162905e+02
4.436690e+06,4.603583e+02
5.596280e+06,5.084565e+02
7.058940e+06,5.609876e+02
8.903890e+06,6.182681e+02
1.123100e+07,6.806946e+02
1.416640e+07,7.486678e+02
1.786900e+07,8.226698e+02
2.253930e+07,9.030645e+02
2.843030e+07,9.903851e+02
3.586100e+07,1.085178e+03
4.523370e+07,1.188018e+03
5.705620e+07,1.299444e+03
7.196860e+07,1.420162e+03
9.077850e+07,1.550869e+03
1.145050e+08,1.692253e+03
1.444320e+08,1.845055e+03
1.821810e+08,2.010129e+03
2.297970e+08,2.188350e+03
2.898580e+08,2.380662e+03
3.656160e+08,2.588032e+03
4.611750e+08,2.811531e+03
5.817090e+08,3.052249e+03
7.337470e+08,3.311362e+03
9.255220e+08,3.590170e+03
1.167420e+09,3.889980e+03
1.472540e+09,4.212139e+03
1.857410e+09,4.558302e+03
2.342870e+09,4.929998e+03
2.955210e+09,5.329031e+03
3.727590e+09,5.756843e+03
4.701850e+09,6.215731e+03
5.930740e+09,6.707534e+03
7.480830e+09,7.234597e+03
9.436040e+09,7.798843e+03
1.190230e+10,8.402860e+03
1.501310e+10,9.049099e+03
1.893700e+10,9.740476e+03
2.388640e+10,1.047976e+04
3.012950e+10,1.126962e+04
3.800420e+10,1.211378e+04
4.793720e+10,1.301549e+04
6.046620e+10,1.397850e+04
7.626990e+10,1.500661e+04
9.620400e+10,1.610380e+04
1.213480e+11,1.727453e+04
1.530640e+11,1.852369e+04
1.930700e+11,1.985612e+04
2.435310e+11,2.127715e+04
3.071810e+11,2.279249e+04
3.874680e+11,2.440792e+04
4.887370e+11,2.613002e+04
6.164760e+11,2.796633e+04
7.776000e+11,2.992335e+04
9.808370e+11,3.200835e+04
1.237190e+12,3.423136e+04
1.560550e+12,3.660054e+04
1.968420e+12,3.912600e+04
2.482890e+12,4.181623e+04
3.131830e+12,4.468536e+04
3.950380e+12,4.773971e+04
4.982860e+12,5.099581e+04
6.285200e+12,5.446527e+04
7.927930e+12,5.816273e+04
1.000000e+13,6.209972e+04
