energy[GeV],xs[pb]
1.000000e+01,2.708853e-02
1.261360e+01,3.521569e-02
1.591040e+01,4.560735e-02
2.006880e+01,5.886382e-02
2.531400e+01,7.574010e-02
3.193020e+01,9.719561e-02
4.027560e+01,1.244221e-01
5.080220e+01,1.589253e-01
6.408000e+01,2.026444e-01
8.082820e+01,2.579580e-01
1.019540e+02,3.279184e-01
1.286010e+02,4.163246e-01
1.622120e+02,5.280129e-01
2.046090e+02,6.690589e-01
2.580860e+02,8.469493e-01
3.255410e+02,1.071239e+00
4.106250e+02,1.353574e+00
5.179470e+02,1.708891e+00
6.533200e+02,2.155059e+00
8.240740e+02,2.714865e+00
1.039460e+03,3.415729e+00
1.311130e+03,4.291220e+00
1.653820e+03,5.382334e+00
2.086060e+03,6.737708e+00
2.631290e+03,8.415762e+00
3.319010e+03,1.048456e+01
4.186480e+03,1.302360e+01
5.280670e+03,1.612346e+01
6.660850e+03,1.988564e+01
8.401750e+03,2.442440e+01
1.059770e+04,2.986244e+01
1.336750e+04,3.633268e+01
1.686130e+04,4.397493e+01
2.126820e+04,5.293512e+01
2.682700e+04,6.336210e+01
3.383860e+04,7.540912e+01
4.268270e+04,8.923054e+01
5.383840e+04,1.049822e+02
6.790990e+04,1.228243e+02
8.565900e+04,1.429210e+02
1.080470e+05,1.654448e+02
1.362870e+05,1.905741e+02
1.719070e+05,2.185053e+02
2.168380e+05,2.494475e+02
2.735110e+05,2.836357e+02
3.449970e+05,3.213229e+02
4.351670e+05,3.627978e+02
5.489030e+05,4.083569e+02
6.923670e+05,4.583506e+02
8.733260e+05,5.131375e+02
1.101580e+06,5.731471e+02
1.389500e+06,6.388141e+02
1.752660e+06,7.106188e+02
2.210740e+06,7.890804e+02
2.788550e+06,8.747562e+02
3.517370e+06,9.682814e+02
4.436690e+06,1.070249e+03
5.596280e+06,1.181375e+03
7.058940e+06,1.302412e+03
8.903890e+06,1.434172e+03
1.123100e+07,1.577497e+03
1.416640e+07,1.733315e+03
1.786900e+07,1.902596e+03
2.253930e+07,2.086299e+03
2.843030e+07,2.285830e+03
3.586100e+07,2.502279e+03
4.523370e+07,2.736667e+03
5.705620e+07,2.990504e+03
7.196860e+07,3.265215e+03
9.077850e+07,3.562110e+03
1.145050e+08,3.883662e+03
1.444320e+08,4.230736e+03
1.821810e+08,4.605464e+03
2.297970e+08,5.009840e+03
2.898580e+08,5.445947e+03
3.656160e+08,5.915977e+03
4.611750e+08,6.422268e+03
5.817090e+08,6.967420e+03
7.337470e+08,7.554130e+03
9.255220e+08,8.185002e+03
1.167420e+09,8.863273e+03
1.472540e+09,9.592032e+03
1.857410e+09,1.037479e+04
2.342870e+09,1.121476e+04
2.955210e+09,1.211632e+04
3.727590e+09,1.308280e+04
4.701850e+09,1.411894e+04
5.930740e+09,1.522946e+04
7.480830e+09,1.641832e+04
9.436040e+09,1.769137e+04
1.190230e+10,1.905399e+04
1.501310e+10,2.051118e+04
1.893700e+10,2.206936e+04
2.388640e+10,2.373533e+04
3.012950e+10,2.551520e+04
3.800420e+10,2.741671e+04
4.793720e+10,2.944706e+04
6.046620e+10,3.161480e+04
7.626990e+10,3.392795e+04
9.620400e+10,3.639635e+04
1.213480e+11,3.902913e+04
1.530640e+11,4.183742e+04
1.930700e+11,4.483143e+04
2.435310e+11,4.802323e+04
3.071810e+11,5.142532e+04
3.874680e+11,5.505091e+04
4.887370e+11,5.891402e+04
6.164760e+11,6.303003e+04
7.776000e+11,6.741488e+04
9.808370e+11,7.208574e+04
1.237190e+12,7.706052e+04
1.560550e+12,8.235971e+04
1.968420e+12,8.799995e+04
2.482890e+12,9.400975e+04
3.131830e+12,1.004100e+05
3.950380e+12,1.072257e+05
4.982860e+12,1.144834e+05
6.285200e+12,1.222118e+05
7.927930e+12,1.304453e+05
1.000000e+13,1.392081e+05
