energy[GeV],xs[pb]
1.000000e+01,6.266955e-02
1.261360e+01,8.008973e-02
1.591040e+01,1.020532e-01
2.006880e+01,1.297160e-01
2.531400e+01,1.645452e-01
3.193020e+01,2.083403e-01
4.027560e+01,2.634229e-01
5.080220e+01,3.326219e-01
6.408000e+01,4.194898e-01
8.082820e+01,5.285002e-01
1.019540e+02,6.652800e-01
1.286010e+02,8.367462e-01
1.622120e+02,1.051520e+00
2.046090e+02,1.320406e+00
2.580860e+02,1.656462e+00
3.255410e+02,2.076369e+00
4.106250e+02,2.600196e+00
5.179470e+02,3.251904e+00
6.533200e+02,4.062012e+00
8.240740e+02,5.065490e+00
1.039460e+03,6.304941e+00
1.311130e+03,7.830115e+00
1.653820e+03,9.699140e+00
2.086060e+03,1.197772e+01
2.631290e+03,1.473996e+01
3.319010e+03,1.806745e+01
4.186480e+03,2.204707e+01
5.280670e+03,2.677270e+01
6.660850e+03,3.233891e+01
8.401750e+03,3.884254e+01
1.059770e+04,4.638001e+01
1.336750e+04,5.504600e+01
1.686130e+04,6.493343e+01
2.126820e+04,7.613296e+01
2.682700e+04,8.873710e+01
3.383860e+04,1.028400e+02
4.268270e+04,1.185413e+02
5.383840e+04,1.359511e+02
6.790990e+04,1.551846e+02
8.565900e+04,1.763815e+02
1.080470e+05,1.996922e+02
1.362870e+05,2.252938e+02
1.719070e+05,2.533833e+02
2.168380e+05,2.841796e+02
2.735110e+05,3.179435e+02
3.449970e+05,3.549531e+02
4.351670e+05,3.955216e+02
5.489030e+05,4.399904e+02
6.923670e+05,4.887365e+02
8.733260e+05,5.421771e+02
1.101580e+06,6.007312e+02
1.389500e+06,6.648802e+02
1.752660e+06,7.351138e+02
2.210740e+06,8.120825e+02
2.788550e+06,8.962101e+02
3.517370e+06,9.881206e+02
4.436690e+06,1.088601e+03
5.596280e+06,1.198290e+03
7.058940e+06,1.317954e+03
8.903890e+06,1.448411e+03
1.123100e+07,1.590500e+03
1.416640e+07,1.745151e+03
1.786900e+07,1.913268e+03
2.253930e+07,2.096063e+03
2.843030e+07,2.294548e+03
3.586100e+07,2.510238e+03
4.523370e+07,2.743828e+03
5.705620e+07,2.996918e+03
7.196860e+07,3.271000e+03
9.077850e+07,3.567594e+03
1.145050e+08,3.888302e+03
1.444320e+08,4.234851e+03
1.821810e+08,4.609120e+03
2.297970e+08,5.013096e+03
2.898580e+08,5.448823e+03
3.656160e+08,5.918486e+03
4.611750e+08,6.424525e+03
5.817090e+08,6.969430e+03
7.337470e+08,7.555894e+03
9.255220e+08,8.186565e+03
1.167420e+09,8.864735e+03
1.472540e+09,9.593249e+03
1.857410e+09,1.037570e+04
2.342870e+09,1.121569e+04
2.955210e+09,1.211697e+04
3.727590e+09,1.308349e+04
4.701850e+09,1.411955e+04
5.930740e+09,1.522980e+04
7.480830e+09,1.641881e+04
9.436040e+09,1.769177e+04
1.190230e+10,1.905438e+04
1.501310e+10,2.051148e+04
1.893700e+10,2.206981e+04
2.388640e+10,2.373539e+04
3.012950e+10,2.551527e+04
3.800420e+10,2.741678e+04
4.793720e+10,2.944715e+04
6.046620e+10,3.161460e+04
7.626990e+10,3.392802e+04
9.620400e+10,3.639620e+04
1.213480e+11,3.902931e+04
1.530640e+11,4.183741e+04
1.930700e+11,4.483153e+04
2.435310e+11,4.802335e+04
3.071810e+11,5.142544e+04
3.874680e+11,5.505091e+04
4.887370e+11,5.891403e+04
6.164760e+11,6.302995e+04
7.776000e+11,6.741471e+04
9.808370e+11,7.208544e+04
1.237190e+12,7.706042e+04
1.560550e+12,8.235931e+04
1.968420e+12,8.799985e+04
2.482890e+12,9.400974e+04
3.131830e+12,1.004095e+05
3.950380e+12,1.072289e+05
4.982860e+12,1.144867e+05
6.285200e+12,1.222154e+05
7.927930e+12,1.304450e+05
1.000000e+13,1.392076e+05
