energy[GeV],xs[pb]
1.000000e+01,4.908595e-03
1.261360e+01,8.666022e-03
1.591040e+01,1.422518e-02
2.006880e+01,2.218772e-02
2.531400e+01,3.329455e-02
3.193020e+01,4.849413e-02
4.027560e+01,6.896530e-02
5.080220e+01,9.621955e-02
6.408000e+01,1.321456e-01
8.082820e+01,1.790811e-01
1.019540e+02,2.400801e-01
1.286010e+02,3.188349e-01
1.622120e+02,4.202295e-01
2.046090e+02,5.501563e-01
2.580860e+02,7.161506e-01
3.255410e+02,9.277447e-01
4.106250e+02,1.196586e+00
5.179470e+02,1.537278e+00
6.533200e+02,1.968260e+00
8.240740e+02,2.511610e+00
1.039460e+03,3.194880e+00
1.311130e+03,4.051916e+00
1.653820e+03,5.123091e+00
2.086060e+03,6.457409e+00
2.631290e+03,8.113378e+00
3.319010e+03,1.015839e+01
4.186480e+03,1.267151e+01
5.280670e+03,1.574496e+01
6.660850e+03,1.947809e+01
8.401750e+03,2.398655e+01
1.059770e+04,2.939306e+01
1.336750e+04,3.582891e+01
1.686130e+04,4.343595e+01
2.126820e+04,5.235661e+01
2.682700e+04,6.274508e+01
3.383860e+04,7.474888e+01
4.268270e+04,8.852497e+01
5.383840e+04,1.042279e+02
6.790990e+04,1.220311e+02
8.565900e+04,1.420667e+02
1.080470e+05,1.645362e+02
1.362870e+05,1.896150e+02
1.719070e+05,2.174708e+02
2.168380e+05,2.483456e+02
2.735110e+05,2.824582e+02
3.449970e+05,3.200711e+02
4.351670e+05,3.614507e+02
5.489030e+05,4.069262e+02
6.923670e+05,4.568236e+02
8.733260e+05,5.115317e+02
1.101580e+06,5.714382e+02
1.389500e+06,6.369961e+02
1.752660e+06,7.086900e+02
2.210740e+06,7.870257e+02
2.788550e+06,8.725656e+02
3.517370e+06,9.659144e+02
4.436690e+06,1.067735e+03
5.596280e+06,1.178705e+03
7.058940e+06,1.299576e+03
8.903890e+06,1.431162e+03
1.123100e+07,1.574301e+03
1.416640e+07,1.729904e+03
1.786900e+07,1.898968e+03
2.253930e+07,2.082550e+03
2.843030e+07,2.281898e+03
3.586100e+07,2.497931e+03
4.523370e+07,2.732043e+03
5.705620e+07,2.985577e+03
7.196860e+07,3.260011e+03
9.077850e+07,3.556877e+03
1.145050e+08,3.877798e+03
1.444320e+08,4.224488e+03
1.821810e+08,4.599075e+03
2.297970e+08,5.003042e+03
2.898580e+08,5.438788e+03
3.656160e+08,5.908404e+03
4.611750e+08,6.414349e+03
5.817090e+08,6.959015e+03
7.337470e+08,7.545182e+03
9.255220e+08,8.175687e+03
1.167420e+09,8.853323e+03
1.472540e+09,9.581624e+03
1.857410e+09,1.036362e+04
2.342870e+09,1.120321e+04
2.955210e+09,1.210385e+04
3.727590e+09,1.306978e+04
4.701850e+09,1.410526e+04
5.930740e+09,1.521473e+04
7.480830e+09,1.640290e+04
9.436040e+09,1.767512e+04
1.190230e+10,1.903660e+04
1.501310e+10,2.049319e+04
1.893700e+10,2.205033e+04
2.388640e+10,2.371515e+04
3.012950e+10,2.549464e+04
3.800420e+10,2.739282e+04
4.793720e+10,2.942361e+04
6.046620e+10,3.158968e+04
7.626990e+10,3.390168e+04
9.620400e+10,3.636766e+04
1.213480e+11,3.900052e+04
1.530640e+11,4.180330e+04
1.930700e+11,4.479756e+04
2.435310e+11,4.798740e+04
3.071810e+11,5.138772e+04
3.874680e+11,5.501148e+04
4.887370e+11,5.887233e+04
6.164760e+11,6.298878e+04
7.776000e+11,6.736814e+04
9.808370e+11,7.203632e+04
1.237190e+12,7.700889e+04
1.560550e+12,8.230858e+04
1.968420e+12,8.794932e+04
2.482890e+12,9.395291e+04
3.131830e+12,1.003503e+05
3.950380e+12,1.071629e+05
4.982860e+12,1.144176e+05
6.285200e+12,1.221364e+05
7.927930e+12,1.303622e+05
1.000000e+13,1.391204e+05
