energy[GeV],xs[pb]
1.000000e+01,1.105349e-02
1.261360e+01,1.950435e-02
1.591040e+01,3.196600e-02
2.006880e+01,4.965345e-02
2.531400e+01,7.411289e-02
3.193020e+01,1.071947e-01
4.027560e+01,1.512643e-01
5.080220e+01,2.091352e-01
6.408000e+01,2.844284e-01
8.082820e+01,3.815689e-01
1.019540e+02,5.060810e-01
1.286010e+02,6.648702e-01
1.622120e+02,8.666152e-01
2.046090e+02,1.121867e+00
2.580860e+02,1.444052e+00
3.255410e+02,1.849395e+00
4.106250e+02,2.357727e+00
5.179470e+02,2.993997e+00
6.533200e+02,3.787517e+00
8.240740e+02,4.773582e+00
1.039460e+03,5.994870e+00
1.311130e+03,7.501702e+00
1.653820e+03,9.351017e+00
2.086060e+03,1.160909e+01
2.631290e+03,1.434997e+01
3.319010e+03,1.765494e+01
4.186480e+03,2.161185e+01
5.280670e+03,2.631316e+01
6.660850e+03,3.185324e+01
8.401750e+03,3.832947e+01
1.059770e+04,4.583855e+01
1.336750e+04,5.447391e+01
1.686130e+04,6.433004e+01
2.126820e+04,7.549566e+01
2.682700e+04,8.806278e+01
3.383860e+04,1.021274e+02
4.268270e+04,1.177890e+02
5.383840e+04,1.351507e+02
6.790990e+04,1.543412e+02
8.565900e+04,1.754847e+02
1.080470e+05,1.987433e+02
1.362870e+05,2.242894e+02
1.719070e+05,2.523224e+02
2.168380e+05,2.830579e+02
2.735110e+05,3.167454e+02
3.449970e+05,3.536793e+02
4.351670e+05,3.941706e+02
5.489030e+05,4.385885e+02
6.923670e+05,4.872085e+02
8.733260e+05,5.405431e+02
1.101580e+06,5.989964e+02
1.389500e+06,6.630378e+02
1.752660e+06,7.331651e+02
2.210740e+06,8.099386e+02
2.788550e+06,8.939382e+02
3.517370e+06,9.857544e+02
4.436690e+06,1.086086e+03
5.596280e+06,1.195617e+03
7.058940e+06,1.315114e+03
8.903890e+06,1.445390e+03
1.123100e+07,1.587294e+03
1.416640e+07,1.741739e+03
1.786900e+07,1.909728e+03
2.253930e+07,2.092298e+03
2.843030e+07,2.290710e+03
3.586100e+07,2.505892e+03
4.523370e+07,2.739193e+03
5.705620e+07,2.992018e+03
7.196860e+07,3.265785e+03
9.077850e+07,3.562028e+03
1.145050e+08,3.882397e+03
1.444320e+08,4.228638e+03
1.821810e+08,4.602704e+03
2.297970e+08,5.006270e+03
2.898580e+08,5.441636e+03
3.656160e+08,5.910969e+03
4.611750e+08,6.416594e+03
5.817090e+08,6.961027e+03
7.337470e+08,7.546932e+03
9.255220e+08,8.177220e+03
1.167420e+09,8.854819e+03
1.472540e+09,9.582868e+03
1.857410e+09,1.036468e+04
2.342870e+09,1.120403e+04
2.955210e+09,1.210468e+04
3.727590e+09,1.307057e+04
4.701850e+09,1.410590e+04
5.930740e+09,1.521528e+04
7.480830e+09,1.640342e+04
9.436040e+09,1.767553e+04
1.190230e+10,1.903689e+04
1.501310e+10,2.049349e+04
1.893700e+10,2.205060e+04
2.388640e+10,2.371534e+04
3.012950e+10,2.549431e+04
3.800420e+10,2.739455e+04
4.793720e+10,2.942362e+04
6.046620e+10,3.159000e+04
7.626990e+10,3.390209e+04
9.620400e+10,3.636776e+04
1.213480e+11,3.899900e+04
1.530640e+11,4.180547e+04
1.930700e+11,4.479776e+04
2.435310e+11,4.798785e+04
3.071810e+11,5.138613e+04
3.874680e+11,5.501169e+04
4.887370e+11,5.887243e+04
6.164760e+11,6.298876e+04
7.776000e+11,6.736835e+04
9.808370e+11,7.203972e+04
1.237190e+12,7.700929e+04
1.560550e+12,8.230548e+04
1.968420e+12,8.794902e+04
2.482890e+12,9.395281e+04
3.131830e+12,1.003498e+05
3.950380e+12,1.071583e+05
4.982860e+12,1.144123e+05
6.285200e+12,1.221372e+05
7.927930e+12,1.303621e+05
1.000000e+13,1.391202e+05
