energy[GeV],xs[pb]
1.000000e+01,1.068452e-02
1.261360e+01,1.374761e-02
1.591040e+01,1.762010e-02
2.006880e+01,2.250669e-02
2.531400e+01,2.866632e-02
3.193020e+01,3.642728e-02
4.027560e+01,4.620449e-02
5.080220e+01,5.851370e-02
6.408000e+01,7.402700e-02
8.082820e+01,9.356979e-02
1.019540e+02,1.181824e-01
1.286010e+02,1.491880e-01
1.622120e+02,1.882538e-01
2.046090e+02,2.374743e-01
2.580860e+02,2.994424e-01
3.255410e+02,3.774530e-01
4.106250e+02,4.756243e-01
5.179470e+02,5.990846e-01
6.533200e+02,7.541977e-01
8.240740e+02,9.489099e-01
1.039460e+03,1.193001e+00
1.311130e+03,1.498497e+00
1.653820e+03,1.880060e+00
2.086060e+03,2.355402e+00
2.631290e+03,2.945925e+00
3.319010e+03,3.677049e+00
4.186480e+03,4.578493e+00
5.280670e+03,5.685046e+00
6.660850e+03,7.036243e+00
8.401750e+03,8.677233e+00
1.059770e+04,1.065774e+01
1.336750e+04,1.303313e+01
1.686130e+04,1.586254e+01
2.126820e+04,1.921007e+01
2.682700e+04,2.314292e+01
3.383860e+04,2.773169e+01
4.268270e+04,3.305000e+01
5.383840e+04,3.917370e+01
6.790990e+04,4.618175e+01
8.565900e+04,5.415553e+01
1.080470e+05,6.318046e+01
1.362870e+05,7.334416e+01
1.719070e+05,8.473947e+01
2.168380e+05,9.746725e+01
2.735110e+05,1.116315e+02
3.449970e+05,1.273465e+02
4.351670e+05,1.447335e+02
5.489030e+05,1.639259e+02
6.923670e+05,1.850761e+02
8.733260e+05,2.083113e+02
1.101580e+06,2.338303e+02
1.389500e+06,2.618221e+02
1.752660e+06,2.924603e+02
2.210740e+06,3.259748e+02
2.788550e+06,3.625980e+02
3.517370e+06,4.025937e+02
4.436690e+06,4.462229e+02
5.596280e+06,4.937536e+02
7.058940e+06,5.455664e+02
8.903890e+06,6.019789e+02
1.123100e+07,6.633557e+02
1.416640e+07,7.300979e+02
1.786900e+07,8.026617e+02
2.253930e+07,8.814001e+02
2.843030e+07,9.668400e+02
3.586100e+07,1.059493e+03
4.523370e+07,1.159902e+03
5.705620e+07,1.268643e+03
7.196860e+07,1.386349e+03
9.077850e+07,1.513708e+03
1.145050e+08,1.651364e+03
1.444320e+08,1.800071e+03
1.821810e+08,1.960632e+03
2.297970e+08,2.133901e+03
2.898580e+08,2.320774e+03
3.656160e+08,2.522246e+03
4.611750e+08,2.739206e+03
5.817090e+08,2.972847e+03
7.337470e+08,3.224233e+03
9.255220e+08,3.494620e+03
1.167420e+09,3.785222e+03
1.472540e+09,4.097500e+03
1.857410e+09,4.432865e+03
2.342870e+09,4.792846e+03
2.955210e+09,5.179054e+03
3.727590e+09,5.593254e+03
4.701850e+09,6.037230e+03
5.930740e+09,6.513043e+03
7.480830e+09,7.022572e+03
9.436040e+09,7.567988e+03
1.190230e+10,8.151562e+03
1.501310e+10,8.775986e+03
1.893700e+10,9.443624e+03
2.388640e+10,1.015715e+04
3.012950e+10,1.091956e+04
3.800420e+10,1.173402e+04
4.793720e+10,1.260376e+04
6.046620e+10,1.353216e+04
7.626990e+10,1.452339e+04
9.620400e+10,1.558070e+04
1.213480e+11,1.670890e+04
1.530640e+11,1.791208e+04
1.930700e+11,1.919527e+04
2.435310e+11,2.056348e+04
3.071810e+11,2.202202e+04
3.874680e+11,2.357656e+04
4.887370e+11,2.523375e+04
6.164760e+11,2.699986e+04
7.776000e+11,2.888094e+04
9.808370e+11,3.088635e+04
1.237190e+12,3.302316e+04
1.560550e+12,3.529980e+04
1.968420e+12,3.772598e+04
2.482890e+12,4.031024e+04
3.131830e+12,4.306422e+04
3.950380e+12,4.599789e+04
4.982860e+12,4.912367e+04
6.285200e+12,5.245320e+04
7.927930e+12,5.600081e+04
1.000000e+13,5.977915e+04
