energy[GeV],xs[pb]
1.000000e+01,2.089863e-02
1.261360e+01,2.652401e-02
1.591040e+01,3.356440e-02
2.006880e+01,4.238190e-02
2.531400e+01,5.341463e-02
3.193020e+01,6.722880e-02
4.027560e+01,8.453372e-02
5.080220e+01,1.062040e-01
6.408000e+01,1.333779e-01
8.082820e+01,1.674087e-01
1.019540e+02,2.100635e-01
1.286010e+02,2.635151e-01
1.622120e+02,3.304609e-01
2.046090e+02,4.142874e-01
2.580860e+02,5.191555e-01
3.255410e+02,6.503832e-01
4.106250e+02,8.143075e-01
5.179470e+02,1.018921e+00
6.533200e+02,1.273875e+00
8.240740e+02,1.591010e+00
1.039460e+03,1.984592e+00
1.311130e+03,2.471668e+00
1.653820e+03,3.072580e+00
2.086060e+03,3.810892e+00
2.631290e+03,4.713745e+00
3.319010e+03,5.812239e+00
4.186480e+03,7.140783e+00
5.280670e+03,8.737627e+00
6.660850e+03,1.064255e+01
8.401750e+03,1.289954e+01
1.059770e+04,1.555304e+01
1.336750e+04,1.864893e+01
1.686130e+04,2.223414e+01
2.126820e+04,2.635637e+01
2.682700e+04,3.106552e+01
3.383860e+04,3.641109e+01
4.268270e+04,4.244690e+01
5.383840e+04,4.923000e+01
6.790990e+04,5.682215e+01
8.565900e+04,6.529063e+01
1.080470e+05,7.470966e+01
1.362870e+05,8.516086e+01
1.719070e+05,9.673477e+01
2.168380e+05,1.095315e+02
2.735110e+05,1.236607e+02
3.449970e+05,1.392425e+02
4.351670e+05,1.564075e+02
5.489030e+05,1.752979e+02
6.923670e+05,1.960821e+02
8.733260e+05,2.188933e+02
1.101580e+06,2.439433e+02
1.389500e+06,2.714361e+02
1.752660e+06,3.015513e+02
2.210740e+06,3.345288e+02
2.788550e+06,3.706100e+02
3.517370e+06,4.100677e+02
4.436690e+06,4.531649e+02
5.596280e+06,5.001796e+02
7.058940e+06,5.514994e+02
8.903890e+06,6.074269e+02
1.123100e+07,6.683477e+02
1.416640e+07,7.346589e+02
1.786900e+07,8.068187e+02
2.253930e+07,8.851771e+02
2.843030e+07,9.702640e+02
3.586100e+07,1.062590e+03
4.523370e+07,1.162697e+03
5.705620e+07,1.271160e+03
7.196860e+07,1.388611e+03
9.077850e+07,1.515738e+03
1.145050e+08,1.653184e+03
1.444320e+08,1.801691e+03
1.821810e+08,1.962082e+03
2.297970e+08,2.135191e+03
2.898580e+08,2.321924e+03
3.656160e+08,2.523266e+03
4.611750e+08,2.740116e+03
5.817090e+08,2.973647e+03
7.337470e+08,3.224943e+03
9.255220e+08,3.495250e+03
1.167420e+09,3.785782e+03
1.472540e+09,4.097980e+03
1.857410e+09,4.433295e+03
2.342870e+09,4.793226e+03
2.955210e+09,5.179394e+03
3.727590e+09,5.593544e+03
4.701850e+09,6.037490e+03
5.930740e+09,6.513273e+03
7.480830e+09,7.022772e+03
9.436040e+09,7.568158e+03
1.190230e+10,8.151712e+03
1.501310e+10,8.776116e+03
1.893700e+10,9.443734e+03
2.388640e+10,1.015724e+04
3.012950e+10,1.091965e+04
3.800420e+10,1.173409e+04
4.793720e+10,1.260382e+04
6.046620e+10,1.353221e+04
7.626990e+10,1.452343e+04
9.620400e+10,1.558070e+04
1.213480e+11,1.670890e+04
1.530640e+11,1.791218e+04
1.930700e+11,1.919527e+04
2.435310e+11,2.056348e+04
3.071810e+11,2.202202e+04
3.874680e+11,2.357656e+04
4.887370e+11,2.523365e+04
6.164760e+11,2.699986e+04
7.776000e+11,2.888094e+04
9.808370e+11,3.088635e+04
1.237190e+12,3.302316e+04
1.560550e+12,3.529980e+04
1.968420e+12,3.772588e+04
2.482890e+12,4.031024e+04
3.131830e+12,4.306422e+04
3.950380e+12,4.599789e+04
4.982860e+12,4.912357e+04
6.285200e+12,5.245310e+04
7.927930e+12,5.600061e+04
1.000000e+13,5.977905e+04
