energy[GeV],xs[pb]
1.000000e+01,2.644045e-02
1.261360e+01,3.437854e-02
1.591040e+01,4.454628e-02
2.006880e+01,5.751615e-02
2.531400e+01,7.404624e-02
3.193020e+01,9.505839e-02
4.027560e+01,1.217339e-01
5.080220e+01,1.555541e-01
6.408000e+01,1.984087e-01
8.082820e+01,2.526382e-01
1.019540e+02,3.212557e-01
1.286010e+02,4.080096e-01
1.622120e+02,5.176137e-01
2.046090e+02,6.560509e-01
2.580860e+02,8.307182e-01
3.255410e+02,1.050972e+00
4.106250e+02,1.328338e+00
5.179470e+02,1.677385e+00
6.533200e+02,2.116018e+00
8.240740e+02,2.666339e+00
1.039460e+03,3.355506e+00
1.311130e+03,4.216683e+00
1.653820e+03,5.290184e+00
2.086060e+03,6.624048e+00
2.631290e+03,8.275932e+00
3.319010e+03,1.031320e+01
4.186480e+03,1.281421e+01
5.280670e+03,1.586856e+01
6.660850e+03,1.957719e+01
8.401750e+03,2.405278e+01
1.059770e+04,2.941725e+01
1.336750e+04,3.580249e+01
1.686130e+04,4.334715e+01
2.126820e+04,5.219603e+01
2.682700e+04,6.249741e+01
3.383860e+04,7.440363e+01
4.268270e+04,8.806845e+01
5.383840e+04,1.036468e+02
6.790990e+04,1.212983e+02
8.565900e+04,1.411862e+02
1.080470e+05,1.634806e+02
1.362870e+05,1.883603e+02
1.719070e+05,2.160193e+02
2.168380e+05,2.466672e+02
2.735110e+05,2.805334e+02
3.449970e+05,3.178724e+02
4.351670e+05,3.589681e+02
5.489030e+05,4.041173e+02
6.923670e+05,4.536639e+02
8.733260e+05,5.079650e+02
1.101580e+06,5.674462e+02
1.389500e+06,6.325382e+02
1.752660e+06,7.037159e+02
2.210740e+06,7.814926e+02
2.788550e+06,8.664214e+02
3.517370e+06,9.591277e+02
4.436690e+06,1.060203e+03
5.596280e+06,1.170352e+03
7.058940e+06,1.290318e+03
8.903890e+06,1.420907e+03
1.123100e+07,1.562953e+03
1.416640e+07,1.717363e+03
1.786900e+07,1.885116e+03
2.253930e+07,2.067146e+03
2.843030e+07,2.264824e+03
3.586100e+07,2.479268e+03
4.523370e+07,2.711465e+03
5.705620e+07,2.962894e+03
7.196860e+07,3.235021e+03
9.077850e+07,3.529065e+03
1.145050e+08,3.847474e+03
1.444320e+08,4.191158e+03
1.821810e+08,4.562183e+03
2.297970e+08,4.962547e+03
2.898580e+08,5.394252e+03
3.656160e+08,5.859529e+03
4.611750e+08,6.360646e+03
5.817090e+08,6.900202e+03
7.337470e+08,7.480791e+03
9.255220e+08,8.105055e+03
1.167420e+09,8.776134e+03
1.472540e+09,9.497118e+03
1.857410e+09,1.027145e+04
2.342870e+09,1.110229e+04
2.955210e+09,1.199393e+04
3.727590e+09,1.294971e+04
4.701850e+09,1.397425e+04
5.930740e+09,1.507228e+04
7.480830e+09,1.624765e+04
9.436040e+09,1.750612e+04
1.190230e+10,1.885305e+04
1.501310e+10,2.029331e+04
1.893700e+10,2.183323e+04
2.388640e+10,2.347955e+04
3.012950e+10,2.523832e+04
3.800420e+10,2.711702e+04
4.793720e+10,2.912364e+04
6.046620e+10,3.126446e+04
7.626990e+10,3.354999e+04
9.620400e+10,3.598733e+04
1.213480e+11,3.858744e+04
1.530640e+11,4.136049e+04
1.930700e+11,4.431675e+04
2.435310e+11,4.746788e+04
3.071810e+11,5.082617e+04
3.874680e+11,5.440470e+04
4.887370e+11,5.821716e+04
6.164760e+11,6.227867e+04
7.776000e+11,6.660495e+04
9.808370e+11,7.121253e+04
1.237190e+12,7.611956e+04
1.560550e+12,8.134541e+04
1.968420e+12,8.690700e+04
2.482890e+12,9.283214e+04
3.131830e+12,9.914135e+04
3.950380e+12,1.058590e+05
4.982860e+12,1.130113e+05
6.285200e+12,1.206263e+05
7.927930e+12,1.287380e+05
1.000000e+13,1.373693e+05
