energy[GeV],xs[pb]
1.000000e+01,6.415784e-02
1.261360e+01,8.197491e-02
1.591040e+01,1.044321e-01
2.006880e+01,1.327030e-01
2.531400e+01,1.682923e-01
3.193020e+01,2.130602e-01
4.027560e+01,2.693003e-01
5.080220e+01,3.399295e-01
6.408000e+01,4.286359e-01
8.082820e+01,5.398528e-01
1.019540e+02,6.794161e-01
1.286010e+02,8.543230e-01
1.622120e+02,1.073325e+00
2.046090e+02,1.347354e+00
2.580860e+02,1.690115e+00
3.255410e+02,2.118066e+00
4.106250e+02,2.651776e+00
5.179470e+02,3.315882e+00
6.533200e+02,4.140770e+00
8.240740e+02,5.162357e+00
1.039460e+03,6.424232e+00
1.311130e+03,7.976245e+00
1.653820e+03,9.877251e+00
2.086060e+03,1.219423e+01
2.631290e+03,1.500192e+01
3.319010e+03,1.838247e+01
4.186480e+03,2.242412e+01
5.280670e+03,2.722001e+01
6.660850e+03,3.286544e+01
8.401750e+03,3.945709e+01
1.059770e+04,4.709244e+01
1.336750e+04,5.585926e+01
1.686130e+04,6.585465e+01
2.126820e+04,7.716498e+01
2.682700e+04,8.988002e+01
3.383860e+04,1.040913e+02
4.268270e+04,1.198952e+02
5.383840e+04,1.373985e+02
6.790990e+04,1.567130e+02
8.565900e+04,1.779730e+02
1.080470e+05,2.013279e+02
1.362870e+05,2.269495e+02
1.719070e+05,2.550300e+02
2.168380e+05,2.857873e+02
2.735110e+05,3.194769e+02
3.449970e+05,3.563744e+02
4.351670e+05,3.967891e+02
5.489030e+05,4.410608e+02
6.923670e+05,4.895619e+02
8.733260e+05,5.427046e+02
1.101580e+06,6.009075e+02
1.389500e+06,6.646461e+02
1.752660e+06,7.344061e+02
2.210740e+06,8.108330e+02
2.788550e+06,8.943463e+02
3.517370e+06,9.856229e+02
4.436690e+06,1.085257e+03
5.596280e+06,1.194071e+03
7.058940e+06,1.312756e+03
8.903890e+06,1.442128e+03
1.123100e+07,1.583012e+03
1.416640e+07,1.736332e+03
1.786900e+07,1.902989e+03
2.253930e+07,2.084143e+03
2.843030e+07,2.280846e+03
3.586100e+07,2.494583e+03
4.523370e+07,2.726013e+03
5.705620e+07,2.976752e+03
7.196860e+07,3.248261e+03
9.077850e+07,3.541710e+03
1.145050e+08,3.859609e+03
1.444320e+08,4.202838e+03
1.821810e+08,4.573431e+03
2.297970e+08,4.973402e+03
2.898580e+08,5.404753e+03
3.656160e+08,5.869733e+03
4.611750e+08,6.370563e+03
5.817090e+08,6.909855e+03
7.337470e+08,7.490234e+03
9.255220e+08,8.114302e+03
1.167420e+09,8.785283e+03
1.472540e+09,9.506018e+03
1.857410e+09,1.028007e+04
2.342870e+09,1.111092e+04
2.955210e+09,1.200230e+04
3.727590e+09,1.295812e+04
4.701850e+09,1.398260e+04
5.930740e+09,1.508035e+04
7.480830e+09,1.625585e+04
9.436040e+09,1.751424e+04
1.190230e+10,1.886090e+04
1.501310e+10,2.030133e+04
1.893700e+10,2.184138e+04
2.388640e+10,2.348742e+04
3.012950e+10,2.524621e+04
3.800420e+10,2.712489e+04
4.793720e+10,2.913087e+04
6.046620e+10,3.127189e+04
7.626990e+10,3.355717e+04
9.620400e+10,3.599504e+04
1.213480e+11,3.859526e+04
1.530640e+11,4.136820e+04
1.930700e+11,4.432455e+04
2.435310e+11,4.747550e+04
3.071810e+11,5.083378e+04
3.874680e+11,5.441230e+04
4.887370e+11,5.822457e+04
6.164760e+11,6.228608e+04
7.776000e+11,6.661197e+04
9.808370e+11,7.121953e+04
1.237190e+12,7.612646e+04
1.560550e+12,8.135221e+04
1.968420e+12,8.691400e+04
2.482890e+12,9.283904e+04
3.131830e+12,9.914765e+04
3.950380e+12,1.058689e+05
4.982860e+12,1.130210e+05
6.285200e+12,1.206361e+05
7.927930e+12,1.287435e+05
1.000000e+13,1.373747e+05
