energy[GeV],xs[pb]
1.000000e+01,4.728811e-03
1.261360e+01,8.367807e-03
1.591040e+01,1.377055e-02
2.006880e+01,2.151567e-02
2.531400e+01,3.234107e-02
3.193020e+01,4.717137e-02
4.027560e+01,6.717907e-02
5.080220e+01,9.384217e-02
6.408000e+01,1.290011e-01
8.082820e+01,1.750119e-01
1.019540e+02,2.347758e-01
1.286010e+02,3.120484e-01
1.622120e+02,4.114629e-01
2.046090e+02,5.390302e-01
2.580860e+02,7.020237e-01
3.255410e+02,9.097506e-01
4.106250e+02,1.173838e+00
5.179470e+02,1.508661e+00
6.533200e+02,1.932107e+00
8.240740e+02,2.466257e+00
1.039460e+03,3.138317e+00
1.311130e+03,3.981184e+00
1.653820e+03,5.035284e+00
2.086060e+03,6.348519e+00
2.631290e+03,7.978228e+00
3.319010e+03,9.992054e+00
4.186480e+03,1.246850e+01
5.280670e+03,1.549629e+01
6.660850e+03,1.917780e+01
8.401750e+03,2.362408e+01
1.059770e+04,2.895715e+01
1.336750e+04,3.530745e+01
1.686130e+04,4.281672e+01
2.126820e+04,5.162902e+01
2.682700e+04,6.189219e+01
3.383860e+04,7.375550e+01
4.268270e+04,8.737619e+01
5.383840e+04,1.029078e+02
6.790990e+04,1.205105e+02
8.565900e+04,1.403468e+02
1.080470e+05,1.625910e+02
1.362870e+05,1.874156e+02
1.719070e+05,2.150040e+02
2.168380e+05,2.455868e+02
2.735110e+05,2.793794e+02
3.449970e+05,3.166433e+02
4.351670e+05,3.576500e+02
5.489030e+05,4.027125e+02
6.923670e+05,4.521686e+02
8.733260e+05,5.063877e+02
1.101580e+06,5.657711e+02
1.389500e+06,6.307550e+02
1.752660e+06,7.018179e+02
2.210740e+06,7.794745e+02
2.788550e+06,8.642741e+02
3.517370e+06,9.568092e+02
4.436690e+06,1.057734e+03
5.596280e+06,1.167731e+03
7.058940e+06,1.287534e+03
8.903890e+06,1.417951e+03
1.123100e+07,1.559807e+03
1.416640e+07,1.714020e+03
1.786900e+07,1.881548e+03
2.253930e+07,2.063456e+03
2.843030e+07,2.261068e+03
3.586100e+07,2.474994e+03
4.523370e+07,2.706910e+03
5.705620e+07,2.958070e+03
7.196860e+07,3.229790e+03
9.077850e+07,3.523883e+03
1.145050e+08,3.841705e+03
1.444320e+08,4.185010e+03
1.821810e+08,4.555886e+03
2.297970e+08,4.955862e+03
2.898580e+08,5.387236e+03
3.656160e+08,5.852091e+03
4.611750e+08,6.352861e+03
5.817090e+08,6.891920e+03
7.337470e+08,7.471990e+03
9.255220e+08,8.095896e+03
1.167420e+09,8.766395e+03
1.472540e+09,9.486917e+03
1.857410e+09,1.026046e+04
2.342870e+09,1.109093e+04
2.955210e+09,1.198163e+04
3.727590e+09,1.293697e+04
4.701850e+09,1.396082e+04
5.930740e+09,1.505776e+04
7.480830e+09,1.623260e+04
9.436040e+09,1.749021e+04
1.190230e+10,1.883594e+04
1.501310e+10,2.027561e+04
1.893700e+10,2.181448e+04
2.388640e+10,2.345976e+04
3.012950e+10,2.521770e+04
3.800420e+10,2.709509e+04
4.793720e+10,2.909996e+04
6.046620e+10,3.123999e+04
7.626990e+10,3.352246e+04
9.620400e+10,3.595912e+04
1.213480e+11,3.855734e+04
1.530640e+11,4.132891e+04
1.930700e+11,4.428350e+04
2.435310e+11,4.743279e+04
3.071810e+11,5.078930e+04
3.874680e+11,5.436591e+04
4.887370e+11,5.817640e+04
6.164760e+11,6.223837e+04
7.776000e+11,6.655896e+04
9.808370e+11,7.116421e+04
1.237190e+12,7.606873e+04
1.560550e+12,8.129548e+04
1.968420e+12,8.685737e+04
2.482890e+12,9.277640e+04
3.131830e+12,9.908271e+04
3.950380e+12,1.057971e+05
4.982860e+12,1.129467e+05
6.285200e+12,1.205523e+05
7.927930e+12,1.286560e+05
1.000000e+13,1.372830e+05
