energy[GeV],xs[pb]
1.000000e+01,1.137984e-02
1.261360e+01,2.006395e-02
1.591040e+01,3.285793e-02
2.006880e+01,5.103002e-02
2.531400e+01,7.610821e-02
3.193020e+01,1.100554e-01
4.027560e+01,1.551706e-01
5.080220e+01,2.144279e-01
6.408000e+01,2.914772e-01
8.082820e+01,3.908430e-01
1.019540e+02,5.180672e-01
1.286010e+02,6.804023e-01
1.622120e+02,8.864993e-01
2.046090e+02,1.147160e+00
2.580860e+02,1.475906e+00
3.255410e+02,1.889498e+00
4.106250e+02,2.408165e+00
5.179470e+02,3.056487e+00
6.533200e+02,3.865214e+00
8.240740e+02,4.870118e+00
1.039460e+03,6.114045e+00
1.311130e+03,7.647767e+00
1.653820e+03,9.529647e+00
2.086060e+03,1.182665e+01
2.631290e+03,1.461329e+01
3.319010e+03,1.797191e+01
4.186480e+03,2.199104e+01
5.280670e+03,2.676256e+01
6.660850e+03,3.238357e+01
8.401750e+03,3.894978e+01
1.059770e+04,4.655456e+01
1.336750e+04,5.529322e+01
1.686130e+04,6.525795e+01
2.126820e+04,7.653657e+01
2.682700e+04,8.921600e+01
3.383860e+04,1.033890e+02
4.268270e+04,1.191533e+02
5.383840e+04,1.366116e+02
6.790990e+04,1.558823e+02
8.565900e+04,1.770928e+02
1.080470e+05,2.003985e+02
1.362870e+05,2.259640e+02
1.719070e+05,2.539822e+02
2.168380e+05,2.846798e+02
2.735110e+05,3.182993e+02
3.449970e+05,3.551236e+02
4.351670e+05,3.954621e+02
5.489030e+05,4.396620e+02
6.923670e+05,4.880589e+02
8.733260e+05,5.411057e+02
1.101580e+06,5.992091e+02
1.389500e+06,6.628365e+02
1.752660e+06,7.324899e+02
2.210740e+06,8.087311e+02
2.788550e+06,8.921086e+02
3.517370e+06,9.832321e+02
4.436690e+06,1.082786e+03
5.596280e+06,1.191493e+03
7.058940e+06,1.309964e+03
8.903890e+06,1.439216e+03
1.123100e+07,1.579866e+03
1.416640e+07,1.732995e+03
1.786900e+07,1.899493e+03
2.253930e+07,2.080460e+03
2.843030e+07,2.277085e+03
3.586100e+07,2.490306e+03
4.523370e+07,2.721461e+03
5.705620e+07,2.971932e+03
7.196860e+07,3.243127e+03
9.077850e+07,3.536554e+03
1.145050e+08,3.853858e+03
1.444320e+08,4.196730e+03
1.821810e+08,4.567116e+03
2.297970e+08,4.966720e+03
2.898580e+08,5.397724e+03
3.656160e+08,5.862260e+03
4.611750e+08,6.362766e+03
5.817090e+08,6.901602e+03
7.337470e+08,7.481439e+03
9.255220e+08,8.105043e+03
1.167420e+09,8.775573e+03
1.472540e+09,9.495861e+03
1.857410e+09,1.026923e+04
2.342870e+09,1.109948e+04
2.955210e+09,1.199019e+04
3.727590e+09,1.294551e+04
4.701850e+09,1.396916e+04
5.930740e+09,1.506606e+04
7.480830e+09,1.624075e+04
9.436040e+09,1.749833e+04
1.190230e+10,1.884398e+04
1.501310e+10,2.028365e+04
1.893700e+10,2.182252e+04
2.388640e+10,2.346778e+04
3.012950e+10,2.522569e+04
3.800420e+10,2.710303e+04
4.793720e+10,2.910786e+04
6.046620e+10,3.124768e+04
7.626990e+10,3.353043e+04
9.620400e+10,3.596692e+04
1.213480e+11,3.856712e+04
1.530640e+11,4.133680e+04
1.930700e+11,4.429142e+04
2.435310e+11,4.744082e+04
3.071810e+11,5.079711e+04
3.874680e+11,5.437372e+04
4.887370e+11,5.818612e+04
6.164760e+11,6.224577e+04
7.776000e+11,6.656947e+04
9.808370e+11,7.117461e+04
1.237190e+12,7.607623e+04
1.560550e+12,8.130249e+04
1.968420e+12,8.686427e+04
2.482890e+12,9.278321e+04
3.131830e+12,9.908901e+04
3.950380e+12,1.057994e+05
4.982860e+12,1.129480e+05
6.285200e+12,1.205592e+05
7.927930e+12,1.286622e+05
1.000000e+13,1.372886e+05
