energy[GeV],xs[pb]
1.000000e+01,1.066714e-02
1.261360e+01,1.372193e-02
1.591040e+01,1.758883e-02
2.006880e+01,2.246884e-02
2.531400e+01,2.861839e-02
3.193020e+01,3.636779e-02
4.027560e+01,4.612417e-02
5.080220e+01,5.841498e-02
6.408000e+01,7.389159e-02
8.082820e+01,9.339606e-02
1.019540e+02,1.179609e-01
1.286010e+02,1.488995e-01
1.622120e+02,1.878888e-01
2.046090e+02,2.369977e-01
2.580860e+02,2.988362e-01
3.255410e+02,3.766919e-01
4.106250e+02,4.746625e-01
5.179470e+02,5.978785e-01
6.533200e+02,7.526627e-01
8.240740e+02,9.470220e-01
1.039460e+03,1.190648e+00
1.311130e+03,1.495546e+00
1.653820e+03,1.876422e+00
2.086060e+03,2.350961e+00
2.631290e+03,2.940462e+00
3.319010e+03,3.670361e+00
4.186480e+03,4.570349e+00
5.280670e+03,5.675173e+00
6.660850e+03,7.024325e+00
8.401750e+03,8.662916e+00
1.059770e+04,1.064060e+01
1.336750e+04,1.301259e+01
1.686130e+04,1.583804e+01
2.126820e+04,1.918075e+01
2.682700e+04,2.310764e+01
3.383860e+04,2.768906e+01
4.268270e+04,3.299810e+01
5.383840e+04,3.911036e+01
6.790990e+04,4.610400e+01
8.565900e+04,5.405975e+01
1.080470e+05,6.306194e+01
1.362870e+05,7.319736e+01
1.719070e+05,8.455773e+01
2.168380e+05,9.724240e+01
2.735110e+05,1.113547e+02
3.449970e+05,1.270055e+02
4.351670e+05,1.443170e+02
5.489030e+05,1.634195e+02
6.923670e+05,1.844638e+02
8.733260e+05,2.075726e+02
1.101580e+06,2.329440e+02
1.389500e+06,2.607681e+02
1.752660e+06,2.912165e+02
2.210740e+06,3.245112e+02
2.788550e+06,3.608830e+02
3.517370e+06,4.005978e+02
4.436690e+06,4.439084e+02
5.596280e+06,4.910792e+02
7.058940e+06,5.425017e+02
8.903890e+06,5.984620e+02
1.123100e+07,6.593519e+02
1.416640e+07,7.255325e+02
1.786900e+07,7.974896e+02
2.253930e+07,8.755567e+02
2.843030e+07,9.602546e+02
3.586100e+07,1.052074e+03
4.523370e+07,1.151597e+03
5.705620e+07,1.259353e+03
7.196860e+07,1.375956e+03
9.077850e+07,1.502150e+03
1.145050e+08,1.638508e+03
1.444320e+08,1.785791e+03
1.821810e+08,1.944799e+03
2.297970e+08,2.116383e+03
2.898580e+08,2.301417e+03
3.656160e+08,2.500875e+03
4.611750e+08,2.715661e+03
5.817090e+08,2.946914e+03
7.337470e+08,3.195698e+03
9.255220e+08,3.463287e+03
1.167420e+09,3.750842e+03
1.472540e+09,4.059801e+03
1.857410e+09,4.391580e+03
2.342870e+09,4.747661e+03
2.955210e+09,5.129660e+03
3.727590e+09,5.539297e+03
4.701850e+09,5.978336e+03
5.930740e+09,6.448807e+03
7.480830e+09,6.952561e+03
9.436040e+09,7.491761e+03
1.190230e+10,8.068648e+03
1.501310e+10,8.685824e+03
1.893700e+10,9.345674e+03
2.388640e+10,1.005080e+04
3.012950e+10,1.080416e+04
3.800420e+10,1.160888e+04
4.793720e+10,1.246816e+04
6.046620e+10,1.338527e+04
7.626990e+10,1.436437e+04
9.620400e+10,1.540860e+04
1.213480e+11,1.652281e+04
1.530640e+11,1.771099e+04
1.930700e+11,1.897784e+04
2.435310e+11,2.032849e+04
3.071810e+11,2.176821e+04
3.874680e+11,2.330236e+04
4.887370e+11,2.493774e+04
6.164760e+11,2.668041e+04
7.776000e+11,2.853611e+04
9.808370e+11,3.051426e+04
1.237190e+12,3.262169e+04
1.560550e+12,3.486676e+04
1.968420e+12,3.725869e+04
2.482890e+12,3.980636e+04
3.131830e+12,4.252083e+04
3.950380e+12,4.541199e+04
4.982860e+12,4.849211e+04
6.285200e+12,5.177238e+04
7.927930e+12,5.526690e+04
1.000000e+13,5.898803e+04
