energy[GeV],xs[pb]
1.000000e+01,2.096264e-02
1.261360e+01,2.660563e-02
1.591040e+01,3.367093e-02
2.006880e+01,4.250514e-02
2.531400e+01,5.356910e-02
3.193020e+01,6.742062e-02
4.027560e+01,8.476809e-02
5.080220e+01,1.065013e-01
6.408000e+01,1.337375e-01
8.082820e+01,1.678425e-01
1.019540e+02,2.106030e-01
1.286010e+02,2.641546e-01
1.622120e+02,3.312379e-01
2.046090e+02,4.152499e-01
2.580860e+02,5.203664e-01
3.255410e+02,6.518961e-01
4.106250e+02,8.161427e-01
5.179470e+02,1.021173e+00
6.533200e+02,1.276680e+00
8.240740e+02,1.594434e+00
1.039460e+03,1.988808e+00
1.311130e+03,2.476896e+00
1.653820e+03,3.078832e+00
2.086060e+03,3.818472e+00
2.631290e+03,4.722992e+00
3.319010e+03,5.823321e+00
4.186480e+03,7.154069e+00
5.280670e+03,8.753164e+00
6.660850e+03,1.066120e+01
8.401750e+03,1.292120e+01
1.059770e+04,1.557789e+01
1.336750e+04,1.867699e+01
1.686130e+04,2.226494e+01
2.126820e+04,2.638945e+01
2.682700e+04,3.109964e+01
3.383860e+04,3.644476e+01
4.268270e+04,4.247791e+01
5.383840e+04,4.925567e+01
6.790990e+04,5.683860e+01
8.565900e+04,6.529325e+01
1.080470e+05,7.469284e+01
1.362870e+05,8.511776e+01
1.719070e+05,9.665723e+01
2.168380e+05,1.094102e+02
2.735110e+05,1.234851e+02
3.449970e+05,1.389995e+02
4.351670e+05,1.560850e+02
5.489030e+05,1.748815e+02
6.923670e+05,1.955528e+02
8.733260e+05,2.182326e+02
1.101580e+06,2.431301e+02
1.389500e+06,2.704471e+02
1.752660e+06,3.003655e+02
2.210740e+06,3.331172e+02
2.788550e+06,3.689430e+02
3.517370e+06,4.081118e+02
4.436690e+06,4.508864e+02
5.596280e+06,4.975372e+02
7.058940e+06,5.484547e+02
8.903890e+06,6.039320e+02
1.123100e+07,6.643619e+02
1.416640e+07,7.301085e+02
1.786900e+07,8.016586e+02
2.253930e+07,8.793427e+02
2.843030e+07,9.636866e+02
3.586100e+07,1.055177e+03
4.523370e+07,1.154396e+03
5.705620e+07,1.261873e+03
7.196860e+07,1.378221e+03
9.077850e+07,1.504180e+03
1.145050e+08,1.640328e+03
1.444320e+08,1.787421e+03
1.821810e+08,1.946249e+03
2.297970e+08,2.117683e+03
2.898580e+08,2.302567e+03
3.656160e+08,2.501895e+03
4.611750e+08,2.716561e+03
5.817090e+08,2.947714e+03
7.337470e+08,3.196408e+03
9.255220e+08,3.463917e+03
1.167420e+09,3.751392e+03
1.472540e+09,4.060291e+03
1.857410e+09,4.392010e+03
2.342870e+09,4.748041e+03
2.955210e+09,5.130000e+03
3.727590e+09,5.539587e+03
4.701850e+09,5.978586e+03
5.930740e+09,6.449037e+03
7.480830e+09,6.952761e+03
9.436040e+09,7.491931e+03
1.190230e+10,8.068798e+03
1.501310e+10,8.685954e+03
1.893700e+10,9.345784e+03
2.388640e+10,1.005089e+04
3.012950e+10,1.080425e+04
3.800420e+10,1.160895e+04
4.793720e+10,1.246822e+04
6.046620e+10,1.338532e+04
7.626990e+10,1.436442e+04
9.620400e+10,1.540870e+04
1.213480e+11,1.652281e+04
1.530640e+11,1.771099e+04
1.930700e+11,1.897784e+04
2.435310e+11,2.032849e+04
3.071810e+11,2.176831e+04
3.874680e+11,2.330236e+04
4.887370e+11,2.493774e+04
6.164760e+11,2.668041e+04
7.776000e+11,2.853611e+04
9.808370e+11,3.051426e+04
1.237190e+12,3.262169e+04
1.560550e+12,3.486676e+04
1.968420e+12,3.725869e+04
2.482890e+12,3.980636e+04
3.131830e+12,4.252083e+04
3.950380e+12,4.541199e+04
4.982860e+12,4.849201e+04
6.285200e+12,5.177238e+04
7.927930e+12,5.526680e+04
1.000000e+13,5.898803e+04
