energy[GeV],xs[pb]
1.000000e+01,2.720430e-02
1.261360e+01,3.536066e-02
1.591040e+01,4.579545e-02
2.006880e+01,5.910234e-02
2.531400e+01,7.604673e-02
3.193020e+01,9.758097e-02
4.027560e+01,1.249151e-01
5.080220e+01,1.595775e-01
6.408000e+01,2.034863e-01
8.082820e+01,2.590285e-01
1.019540e+02,3.293177e-01
1.286010e+02,4.181551e-01
1.622120e+02,5.303996e-01
2.046090e+02,6.721274e-01
2.580860e+02,8.509223e-01
3.255410e+02,1.076340e+00
4.106250e+02,1.360164e+00
5.179470e+02,1.717260e+00
6.533200e+02,2.165785e+00
8.240740e+02,2.728459e+00
1.039460e+03,3.432921e+00
1.311130e+03,4.313007e+00
1.653820e+03,5.409579e+00
2.086060e+03,6.771887e+00
2.631290e+03,8.458481e+00
3.319010e+03,1.053775e+01
4.186480e+03,1.308963e+01
5.280670e+03,1.620518e+01
6.660850e+03,1.998691e+01
8.401750e+03,2.454940e+01
1.059770e+04,3.001672e+01
1.336750e+04,3.652250e+01
1.686130e+04,4.420853e+01
2.126820e+04,5.322158e+01
2.682700e+04,6.371375e+01
3.383860e+04,7.584036e+01
4.268270e+04,8.976007e+01
5.383840e+04,1.056302e+02
6.790990e+04,1.236169e+02
8.565900e+04,1.438901e+02
1.080470e+05,1.666261e+02
1.362870e+05,1.920100e+02
1.719070e+05,2.202439e+02
2.168380e+05,2.515471e+02
2.735110e+05,2.861620e+02
3.449970e+05,3.243382e+02
4.351670e+05,3.663852e+02
5.489030e+05,4.126058e+02
6.923670e+05,4.633571e+02
8.733260e+05,5.190068e+02
1.101580e+06,5.799967e+02
1.389500e+06,6.467699e+02
1.752660e+06,7.198200e+02
2.210740e+06,7.996789e+02
2.788550e+06,8.869153e+02
3.517370e+06,9.821814e+02
4.436690e+06,1.086089e+03
5.596280e+06,1.199367e+03
7.058940e+06,1.322787e+03
8.903890e+06,1.457181e+03
1.123100e+07,1.603418e+03
1.416640e+07,1.762448e+03
1.786900e+07,1.935263e+03
2.253930e+07,2.122856e+03
2.843030e+07,2.326654e+03
3.586100e+07,2.547767e+03
4.523370e+07,2.787284e+03
5.705620e+07,3.046725e+03
7.196860e+07,3.327590e+03
9.077850e+07,3.631489e+03
1.145050e+08,3.960053e+03
1.444320e+08,4.315125e+03
1.821810e+08,4.698544e+03
2.297970e+08,5.112419e+03
2.898580e+08,5.558834e+03
3.656160e+08,6.040106e+03
4.611750e+08,6.558626e+03
5.817090e+08,7.117077e+03
7.337470e+08,7.718197e+03
9.255220e+08,8.364749e+03
1.167420e+09,9.059997e+03
1.472540e+09,9.807201e+03
1.857410e+09,1.060980e+04
2.342870e+09,1.147155e+04
2.955210e+09,1.239651e+04
3.727590e+09,1.338836e+04
4.701850e+09,1.445191e+04
5.930740e+09,1.559190e+04
7.480830e+09,1.681298e+04
9.436040e+09,1.812062e+04
1.190230e+10,1.952032e+04
1.501310e+10,2.101807e+04
1.893700e+10,2.261985e+04
2.388640e+10,2.433236e+04
3.012950e+10,2.616282e+04
3.800420e+10,2.811893e+04
4.793720e+10,3.020764e+04
6.046620e+10,3.243800e+04
7.626990e+10,3.481879e+04
9.620400e+10,3.736005e+04
1.213480e+11,4.007086e+04
1.530640e+11,4.296286e+04
1.930700e+11,4.604677e+04
2.435310e+11,4.933521e+04
3.071810e+11,5.284093e+04
3.874680e+11,5.657765e+04
4.887370e+11,6.055989e+04
6.164760e+11,6.480364e+04
7.776000e+11,6.932533e+04
9.808370e+11,7.414299e+04
1.237190e+12,7.927527e+04
1.560550e+12,8.474268e+04
1.968420e+12,9.056354e+04
2.482890e+12,9.676686e+04
3.131830e+12,1.033744e+05
3.950380e+12,1.104121e+05
4.982860e+12,1.179078e+05
6.285200e+12,1.258906e+05
7.927930e+12,1.343973e+05
1.000000e+13,1.434488e+05
