energy[GeV],xs[pb]
1.000000e+01,6.280242e-02
1.261360e+01,8.024937e-02
1.591040e+01,1.022514e-01
2.006880e+01,1.299634e-01
2.531400e+01,1.648522e-01
3.193020e+01,2.087429e-01
4.027560e+01,2.639270e-01
5.080220e+01,3.332575e-01
6.408000e+01,4.203216e-01
8.082820e+01,5.296055e-01
1.019540e+02,6.666748e-01
1.286010e+02,8.385193e-01
1.622120e+02,1.053859e+00
2.046090e+02,1.323406e+00
2.580860e+02,1.660562e+00
3.255410e+02,2.081563e+00
4.106250e+02,2.606643e+00
5.179470e+02,3.260371e+00
6.533200e+02,4.072395e+00
8.240740e+02,5.078416e+00
1.039460e+03,6.321264e+00
1.311130e+03,7.850395e+00
1.653820e+03,9.724150e+00
2.086060e+03,1.200849e+01
2.631290e+03,1.477759e+01
3.319010e+03,1.811292e+01
4.186480e+03,2.210276e+01
5.280670e+03,2.684010e+01
6.660850e+03,3.242036e+01
8.401750e+03,3.894112e+01
1.059770e+04,4.649918e+01
1.336750e+04,5.519060e+01
1.686130e+04,6.511031e+01
2.126820e+04,7.635073e+01
2.682700e+04,8.900695e+01
3.383860e+04,1.031764e+02
4.268270e+04,1.189629e+02
5.383840e+04,1.364798e+02
6.790990e+04,1.558493e+02
8.565900e+04,1.772158e+02
1.080470e+05,2.007355e+02
1.362870e+05,2.265926e+02
1.719070e+05,2.549889e+02
2.168380e+05,2.861515e+02
2.735110e+05,3.203485e+02
3.449970e+05,3.578654e+02
4.351670e+05,3.990221e+02
5.489030e+05,4.441691e+02
6.923670e+05,4.936901e+02
8.733260e+05,5.480125e+02
1.101580e+06,6.075646e+02
1.389500e+06,6.728366e+02
1.752660e+06,7.443325e+02
2.210740e+06,8.227151e+02
2.788550e+06,9.084209e+02
3.517370e+06,1.002080e+03
4.436690e+06,1.104508e+03
5.596280e+06,1.216358e+03
7.058940e+06,1.338409e+03
8.903890e+06,1.471503e+03
1.123100e+07,1.616508e+03
1.416640e+07,1.774370e+03
1.786900e+07,1.946022e+03
2.253930e+07,2.132696e+03
2.843030e+07,2.335448e+03
3.586100e+07,2.555814e+03
4.523370e+07,2.794511e+03
5.705620e+07,3.053231e+03
7.196860e+07,3.333185e+03
9.077850e+07,3.636706e+03
1.145050e+08,3.964734e+03
1.444320e+08,4.319252e+03
1.821810e+08,4.702251e+03
2.297970e+08,5.115717e+03
2.898580e+08,5.561768e+03
3.656160e+08,6.042716e+03
4.611750e+08,6.560924e+03
5.817090e+08,7.119112e+03
7.337470e+08,7.720006e+03
9.255220e+08,8.366329e+03
1.167420e+09,9.061404e+03
1.472540e+09,9.808439e+03
1.857410e+09,1.061087e+04
2.342870e+09,1.147249e+04
2.955210e+09,1.239721e+04
3.727590e+09,1.338908e+04
4.701850e+09,1.445255e+04
5.930740e+09,1.559243e+04
7.480830e+09,1.681348e+04
9.436040e+09,1.812103e+04
1.190230e+10,1.952068e+04
1.501310e+10,2.101830e+04
1.893700e+10,2.262000e+04
2.388640e+10,2.433257e+04
3.012950e+10,2.616292e+04
3.800420e+10,2.811863e+04
4.793720e+10,3.020764e+04
6.046620e+10,3.243801e+04
7.626990e+10,3.481904e+04
9.620400e+10,3.735983e+04
1.213480e+11,4.007091e+04
1.530640e+11,4.296280e+04
1.930700e+11,4.604701e+04
2.435310e+11,4.933542e+04
3.071810e+11,5.284114e+04
3.874680e+11,5.657775e+04
4.887370e+11,6.055990e+04
6.164760e+11,6.480366e+04
7.776000e+11,6.932536e+04
9.808370e+11,7.414279e+04
1.237190e+12,7.927517e+04
1.560550e+12,8.474268e+04
1.968420e+12,9.056364e+04
2.482890e+12,9.676686e+04
3.131830e+12,1.033741e+05
3.950380e+12,1.104158e+05
4.982860e+12,1.179115e+05
6.285200e+12,1.258950e+05
7.927930e+12,1.343974e+05
1.000000e+13,1.434486e+05
