energy[GeV],xs[pb]
1.000000e+01,4.957085e-03
1.261360e+01,8.732079e-03
1.591040e+01,1.431787e-02
2.006880e+01,2.230376e-02
2.531400e+01,3.344373e-02
3.193020e+01,4.866502e-02
4.027560e+01,6.917233e-02
5.080220e+01,9.646100e-02
6.408000e+01,1.324204e-01
8.082820e+01,1.794575e-01
1.019540e+02,2.405539e-01
1.286010e+02,3.194836e-01
1.622120e+02,4.211006e-01
2.046090e+02,5.514022e-01
2.580860e+02,7.179287e-01
3.255410e+02,9.302198e-01
4.106250e+02,1.199963e+00
5.179470e+02,1.541965e+00
6.533200e+02,1.974639e+00
8.240740e+02,2.520137e+00
1.039460e+03,3.206323e+00
1.311130e+03,4.066981e+00
1.653820e+03,5.142792e+00
2.086060e+03,6.483209e+00
2.631290e+03,8.146047e+00
3.319010e+03,1.020089e+01
4.186480e+03,1.272524e+01
5.280670e+03,1.581300e+01
6.660850e+03,1.956508e+01
8.401750e+03,2.409677e+01
1.059770e+04,2.952983e+01
1.336750e+04,3.599992e+01
1.686130e+04,4.364766e+01
2.126820e+04,5.262057e+01
2.682700e+04,6.307053e+01
3.383860e+04,7.515332e+01
4.268270e+04,8.902480e+01
5.383840e+04,1.048452e+02
6.790990e+04,1.227804e+02
8.565900e+04,1.429971e+02
1.080470e+05,1.656830e+02
1.362870e+05,1.910118e+02
1.719070e+05,2.191678e+02
2.168380e+05,2.503932e+02
2.735110e+05,2.849302e+02
3.449970e+05,3.230291e+02
4.351670e+05,3.649822e+02
5.489030e+05,4.111149e+02
6.923670e+05,4.617643e+02
8.733260e+05,5.173242e+02
1.101580e+06,5.782141e+02
1.389500e+06,6.448736e+02
1.752660e+06,7.178049e+02
2.210740e+06,7.975389e+02
2.788550e+06,8.846300e+02
3.517370e+06,9.797198e+02
4.436690e+06,1.083472e+03
5.596280e+06,1.196596e+03
7.058940e+06,1.319935e+03
8.903890e+06,1.454046e+03
1.123100e+07,1.600086e+03
1.416640e+07,1.758907e+03
1.786900e+07,1.931483e+03
2.253930e+07,2.118929e+03
2.843030e+07,2.322388e+03
3.586100e+07,2.543220e+03
4.523370e+07,2.782485e+03
5.705620e+07,3.041603e+03
7.196860e+07,3.322196e+03
9.077850e+07,3.625725e+03
1.145050e+08,3.953945e+03
1.444320e+08,4.308611e+03
1.821810e+08,4.691693e+03
2.297970e+08,5.105355e+03
2.898580e+08,5.551390e+03
3.656160e+08,6.032245e+03
4.611750e+08,6.550389e+03
5.817090e+08,7.108357e+03
7.337470e+08,7.708901e+03
9.255220e+08,8.355032e+03
1.167420e+09,9.049762e+03
1.472540e+09,9.796358e+03
1.857410e+09,1.059833e+04
2.342870e+09,1.145953e+04
2.955210e+09,1.238372e+04
3.727590e+09,1.337479e+04
4.701850e+09,1.443771e+04
5.930740e+09,1.557673e+04
7.480830e+09,1.679694e+04
9.436040e+09,1.810373e+04
1.190230e+10,1.950246e+04
1.501310e+10,2.099941e+04
1.893700e+10,2.259990e+04
2.388640e+10,2.431125e+04
3.012950e+10,2.614104e+04
3.800420e+10,2.809522e+04
4.793720e+10,3.018298e+04
6.046620e+10,3.241203e+04
7.626990e+10,3.479042e+04
9.620400e+10,3.732993e+04
1.213480e+11,4.003945e+04
1.530640e+11,4.292958e+04
1.930700e+11,4.601147e+04
2.435310e+11,4.929809e+04
3.071810e+11,5.280152e+04
3.874680e+11,5.653632e+04
4.887370e+11,6.051639e+04
6.164760e+11,6.475771e+04
7.776000e+11,6.927681e+04
9.808370e+11,7.409157e+04
1.237190e+12,7.922094e+04
1.560550e+12,8.468555e+04
1.968420e+12,9.051071e+04
2.482890e+12,9.670753e+04
3.131830e+12,1.033119e+05
3.950380e+12,1.103465e+05
4.982860e+12,1.178391e+05
6.285200e+12,1.258124e+05
7.927930e+12,1.343108e+05
1.000000e+13,1.433605e+05
