energy[GeV],xs[pb]
1.000000e+01,1.116410e-02
1.261360e+01,1.966056e-02
1.591040e+01,3.217055e-02
2.006880e+01,4.991342e-02
2.531400e+01,7.442991e-02
3.193020e+01,1.075635e-01
4.027560e+01,1.517007e-01
5.080220e+01,2.096637e-01
6.408000e+01,2.849324e-01
8.082820e+01,3.821189e-01
1.019540e+02,5.067590e-01
1.286010e+02,6.657408e-01
1.622120e+02,8.676963e-01
2.046090e+02,1.123410e+00
2.580860e+02,1.445863e+00
3.255410e+02,1.851778e+00
4.106250e+02,2.361372e+00
5.179470e+02,2.998452e+00
6.533200e+02,3.793664e+00
8.240740e+02,4.781808e+00
1.039460e+03,6.005957e+00
1.311130e+03,7.515854e+00
1.653820e+03,9.369736e+00
2.086060e+03,1.163089e+01
2.631290e+03,1.437831e+01
3.319010e+03,1.769052e+01
4.186480e+03,2.165523e+01
5.280670e+03,2.636723e+01
6.660850e+03,3.192047e+01
8.401750e+03,3.841243e+01
1.059770e+04,4.594122e+01
1.336750e+04,5.460048e+01
1.686130e+04,6.448681e+01
2.126820e+04,7.569112e+01
2.682700e+04,8.830823e+01
3.383860e+04,1.024375e+02
4.268270e+04,1.181811e+02
5.383840e+04,1.356493e+02
6.790990e+04,1.549730e+02
8.565900e+04,1.762854e+02
1.080470e+05,1.997504e+02
1.362870e+05,2.255461e+02
1.719070e+05,2.538793e+02
2.168380e+05,2.849791e+02
2.735110e+05,3.191015e+02
3.449970e+05,3.565366e+02
4.351670e+05,3.976121e+02
5.489030e+05,4.426724e+02
6.923670e+05,4.920971e+02
8.733260e+05,5.463126e+02
1.101580e+06,6.057511e+02
1.389500e+06,6.709181e+02
1.752660e+06,7.423018e+02
2.210740e+06,8.204788e+02
2.788550e+06,9.060448e+02
3.517370e+06,9.996096e+02
4.436690e+06,1.101888e+03
5.596280e+06,1.213569e+03
7.058940e+06,1.335548e+03
8.903890e+06,1.468430e+03
1.123100e+07,1.613176e+03
1.416640e+07,1.770822e+03
1.786900e+07,1.942340e+03
2.253930e+07,2.128769e+03
2.843030e+07,2.331307e+03
3.586100e+07,2.551269e+03
4.523370e+07,2.789726e+03
5.705620e+07,3.048117e+03
7.196860e+07,3.328019e+03
9.077850e+07,3.630985e+03
1.145050e+08,3.958625e+03
1.444320e+08,4.312824e+03
1.821810e+08,4.695605e+03
2.297970e+08,5.108632e+03
2.898580e+08,5.554318e+03
3.656160e+08,6.034804e+03
4.611750e+08,6.552660e+03
5.817090e+08,7.110411e+03
7.337470e+08,7.710691e+03
9.255220e+08,8.356621e+03
1.167420e+09,9.051202e+03
1.472540e+09,9.797625e+03
1.857410e+09,1.059940e+04
2.342870e+09,1.146040e+04
2.955210e+09,1.238441e+04
3.727590e+09,1.337552e+04
4.701850e+09,1.443833e+04
5.930740e+09,1.557730e+04
7.480830e+09,1.679742e+04
9.436040e+09,1.810412e+04
1.190230e+10,1.950277e+04
1.501310e+10,2.099962e+04
1.893700e+10,2.260007e+04
2.388640e+10,2.431161e+04
3.012950e+10,2.614099e+04
3.800420e+10,2.809543e+04
4.793720e+10,3.018311e+04
6.046620e+10,3.241215e+04
7.626990e+10,3.479050e+04
9.620400e+10,3.733013e+04
1.213480e+11,4.003948e+04
1.530640e+11,4.292979e+04
1.930700e+11,4.601377e+04
2.435310e+11,4.929841e+04
3.071810e+11,5.280205e+04
3.874680e+11,5.653653e+04
4.887370e+11,6.051669e+04
6.164760e+11,6.475785e+04
7.776000e+11,6.927707e+04
9.808370e+11,7.409517e+04
1.237190e+12,7.922184e+04
1.560550e+12,8.468634e+04
1.968420e+12,9.051061e+04
2.482890e+12,9.670773e+04
3.131830e+12,1.033117e+05
3.950380e+12,1.103464e+05
4.982860e+12,1.178340e+05
6.285200e+12,1.258129e+05
7.927930e+12,1.343112e+05
1.000000e+13,1.433607e+05
