energy[GeV],xs[pb]
1.000000e+01,1.072590e-02
1.261360e+01,1.380247e-02
1.591040e+01,1.768903e-02
2.006880e+01,2.259899e-02
2.531400e+01,2.878476e-02
3.193020e+01,3.658045e-02
4.027560e+01,4.639791e-02
5.080220e+01,5.877184e-02
6.408000e+01,7.435400e-02
8.082820e+01,9.398859e-02
1.019540e+02,1.187221e-01
1.286010e+02,1.498884e-01
1.622120e+02,1.891527e-01
2.046090e+02,2.385990e-01
2.580860e+02,3.008831e-01
3.255410e+02,3.792754e-01
4.106250e+02,4.779207e-01
5.179470e+02,6.019850e-01
6.533200e+02,7.578415e-01
8.240740e+02,9.534665e-01
1.039460e+03,1.198702e+00
1.311130e+03,1.505562e+00
1.653820e+03,1.888832e+00
2.086060e+03,2.366276e+00
2.631290e+03,2.959366e+00
3.319010e+03,3.693597e+00
4.186480e+03,4.598836e+00
5.280670e+03,5.709959e+00
6.660850e+03,7.066771e+00
8.401750e+03,8.714496e+00
1.059770e+04,1.070313e+01
1.336750e+04,1.308835e+01
1.686130e+04,1.592988e+01
2.126820e+04,1.929198e+01
2.682700e+04,2.324259e+01
3.383860e+04,2.785315e+01
4.268270e+04,3.319819e+01
5.383840e+04,3.935488e+01
6.790990e+04,4.640366e+01
8.565900e+04,5.442727e+01
1.080470e+05,6.351375e+01
1.362870e+05,7.375226e+01
1.719070e+05,8.523945e+01
2.168380e+05,9.807746e+01
2.735110e+05,1.123748e+02
3.449970e+05,1.282484e+02
4.351670e+05,1.458246e+02
5.489030e+05,1.652392e+02
6.923670e+05,1.866513e+02
8.733260e+05,2.101869e+02
1.101580e+06,2.360568e+02
1.389500e+06,2.644519e+02
1.752660e+06,2.955538e+02
2.210740e+06,3.295951e+02
2.788550e+06,3.668122e+02
3.517370e+06,4.074847e+02
4.436690e+06,4.518719e+02
5.596280e+06,5.002499e+02
7.058940e+06,5.530205e+02
8.903890e+06,6.104879e+02
1.123100e+07,6.730453e+02
1.416640e+07,7.410945e+02
1.786900e+07,8.151045e+02
2.253930e+07,8.954429e+02
2.843030e+07,9.826465e+02
3.586100e+07,1.077226e+03
4.523370e+07,1.179785e+03
5.705620e+07,1.290851e+03
7.196860e+07,1.411123e+03
9.077850e+07,1.541297e+03
1.145050e+08,1.682058e+03
1.444320e+08,1.834131e+03
1.821810e+08,1.998371e+03
2.297970e+08,2.175661e+03
2.898580e+08,2.366902e+03
3.656160e+08,2.573148e+03
4.611750e+08,2.795305e+03
5.817090e+08,3.034588e+03
7.337470e+08,3.292114e+03
9.255220e+08,3.569166e+03
1.167420e+09,3.867021e+03
1.472540e+09,4.187155e+03
1.857410e+09,4.531048e+03
2.342870e+09,4.900269e+03
2.955210e+09,5.296613e+03
3.727590e+09,5.721512e+03
4.701850e+09,6.177223e+03
5.930740e+09,6.665597e+03
7.480830e+09,7.188949e+03
9.436040e+09,7.749158e+03
1.190230e+10,8.348839e+03
1.501310e+10,8.990364e+03
1.893700e+10,9.676442e+03
2.388640e+10,1.041042e+04
3.012950e+10,1.119432e+04
3.800420e+10,1.203206e+04
4.793720e+10,1.292688e+04
6.046620e+10,1.388245e+04
7.626990e+10,1.490255e+04
9.620400e+10,1.599115e+04
1.213480e+11,1.715267e+04
1.530640e+11,1.839191e+04
1.930700e+11,1.971369e+04
2.435310e+11,2.112331e+04
3.071810e+11,2.262648e+04
3.874680e+11,2.422883e+04
4.887370e+11,2.593679e+04
6.164760e+11,2.775809e+04
7.776000e+11,2.969900e+04
9.808370e+11,3.176675e+04
1.237190e+12,3.397128e+04
1.560550e+12,3.632051e+04
1.968420e+12,3.882475e+04
2.482890e+12,4.149234e+04
3.131830e+12,4.433710e+04
3.950380e+12,4.736528e+04
4.982860e+12,5.059340e+04
6.285200e+12,5.403303e+04
7.927930e+12,5.769840e+04
1.000000e+13,6.160110e+04
