energy[GeV],xs[pb]
1.000000e+01,2.094390e-02
1.261360e+01,2.658137e-02
1.591040e+01,3.364013e-02
2.006880e+01,4.247029e-02
2.531400e+01,5.353127e-02
3.193020e+01,6.737796e-02
4.027560e+01,8.472593e-02
5.080220e+01,1.064583e-01
6.408000e+01,1.337048e-01
8.082820e+01,1.678367e-01
1.019540e+02,2.106121e-01
1.286010e+02,2.642015e-01
1.622120e+02,3.313338e-01
2.046090e+02,4.154032e-01
2.580860e+02,5.206262e-01
3.255410e+02,6.522046e-01
4.106250e+02,8.166009e-01
5.179470e+02,1.021759e+00
6.533200e+02,1.277443e+00
8.240740e+02,1.595468e+00
1.039460e+03,1.990062e+00
1.311130e+03,2.478472e+00
1.653820e+03,3.081032e+00
2.086060e+03,3.821047e+00
2.631290e+03,4.726056e+00
3.319010e+03,5.827138e+00
4.186480e+03,7.158736e+00
5.280670e+03,8.758900e+00
6.660850e+03,1.066840e+01
8.401750e+03,1.293047e+01
1.059770e+04,1.558963e+01
1.336750e+04,1.869255e+01
1.686130e+04,2.228638e+01
2.126820e+04,2.641928e+01
2.682700e+04,3.114199e+01
3.383860e+04,3.650485e+01
4.268270e+04,4.256279e+01
5.383840e+04,4.937458e+01
6.790990e+04,5.700346e+01
8.565900e+04,6.551867e+01
1.080470e+05,7.499685e+01
1.362870e+05,8.552166e+01
1.719070e+05,9.718695e+01
2.168380e+05,1.100956e+02
2.735110e+05,1.243598e+02
3.449970e+05,1.401034e+02
4.351670e+05,1.574616e+02
5.489030e+05,1.765812e+02
6.923670e+05,1.976313e+02
8.733260e+05,2.207489e+02
1.101580e+06,2.461578e+02
1.389500e+06,2.740589e+02
1.752660e+06,3.046438e+02
2.210740e+06,3.381541e+02
2.788550e+06,3.748352e+02
3.517370e+06,4.149737e+02
4.436690e+06,4.588349e+02
5.596280e+06,5.066989e+02
7.058940e+06,5.589715e+02
8.903890e+06,6.159629e+02
1.123100e+07,6.780672e+02
1.416640e+07,7.456855e+02
1.786900e+07,8.192915e+02
2.253930e+07,8.992509e+02
2.843030e+07,9.861015e+02
3.586100e+07,1.080353e+03
4.523370e+07,1.182609e+03
5.705620e+07,1.293396e+03
7.196860e+07,1.413413e+03
9.077850e+07,1.543347e+03
1.145050e+08,1.683898e+03
1.444320e+08,1.835771e+03
1.821810e+08,1.999841e+03
2.297970e+08,2.176971e+03
2.898580e+08,2.368072e+03
3.656160e+08,2.574188e+03
4.611750e+08,2.796225e+03
5.817090e+08,3.035408e+03
7.337470e+08,3.292834e+03
9.255220e+08,3.569806e+03
1.167420e+09,3.867591e+03
1.472540e+09,4.187655e+03
1.857410e+09,4.531488e+03
2.342870e+09,4.900649e+03
2.955210e+09,5.296953e+03
3.727590e+09,5.721812e+03
4.701850e+09,6.177493e+03
5.930740e+09,6.665827e+03
7.480830e+09,7.189159e+03
9.436040e+09,7.749338e+03
1.190230e+10,8.348989e+03
1.501310e+10,8.990494e+03
1.893700e+10,9.676562e+03
2.388640e+10,1.041052e+04
3.012950e+10,1.119441e+04
3.800420e+10,1.203214e+04
4.793720e+10,1.292695e+04
6.046620e+10,1.388251e+04
7.626990e+10,1.490260e+04
9.620400e+10,1.599115e+04
1.213480e+11,1.715277e+04
1.530640e+11,1.839191e+04
1.930700e+11,1.971369e+04
2.435310e+11,2.112331e+04
3.071810e+11,2.262648e+04
3.874680e+11,2.422883e+04
4.887370e+11,2.593689e+04
6.164760e+11,2.775809e+04
7.776000e+11,2.969900e+04
9.808370e+11,3.176675e+04
1.237190e+12,3.397128e+04
1.560550e+12,3.632051e+04
1.968420e+12,3.882475e+04
2.482890e+12,4.149224e+04
3.131830e+12,4.433710e+04
3.950380e+12,4.736518e+04
4.982860e+12,5.059340e+04
6.285200e+12,5.403303e+04
7.927930e+12,5.769830e+04
1.000000e+13,6.160110e+04
