energy[GeV],xs[pb]
1.000000e+01,6.684804e-02
1.261360e+01,8.539390e-02
1.591040e+01,1.087499e-01
2.006880e+01,1.381416e-01
2.531400e+01,1.751060e-01
3.193020e+01,2.215858e-01
4.027560e+01,2.799108e-01
5.080220e+01,3.531610e-01
6.408000e+01,4.450758e-01
8.082820e+01,5.602333e-01
1.019540e+02,7.046931e-01
1.286010e+02,8.856412e-01
1.622120e+02,1.112082e+00
2.046090e+02,1.395343e+00
2.580860e+02,1.749415e+00
3.255410e+02,2.191334e+00
4.106250e+02,2.742188e+00
5.179470e+02,3.427469e+00
6.533200e+02,4.277904e+00
8.240740e+02,5.331278e+00
1.039460e+03,6.631275e+00
1.311130e+03,8.229666e+00
1.653820e+03,1.018643e+01
2.086060e+03,1.256986e+01
2.631290e+03,1.545595e+01
3.319010e+03,1.892795e+01
4.186480e+03,2.307509e+01
5.280670e+03,2.799103e+01
6.660850e+03,3.377048e+01
8.401750e+03,4.050918e+01
1.059770e+04,4.830169e+01
1.336750e+04,5.723195e+01
1.686130e+04,6.739211e+01
2.126820e+04,7.886126e+01
2.682700e+04,9.172122e+01
3.383860e+04,1.060534e+02
4.268270e+04,1.219428e+02
5.383840e+04,1.394822e+02
6.790990e+04,1.587781e+02
8.565900e+04,1.799325e+02
1.080470e+05,2.030949e+02
1.362870e+05,2.284207e+02
1.719070e+05,2.560830e+02
2.168380e+05,2.862917e+02
2.735110e+05,3.192805e+02
3.449970e+05,3.553124e+02
4.351670e+05,3.946765e+02
5.489030e+05,4.377076e+02
6.923670e+05,4.847593e+02
8.733260e+05,5.362261e+02
1.101580e+06,5.925098e+02
1.389500e+06,6.540659e+02
1.752660e+06,7.213596e+02
2.210740e+06,7.950149e+02
2.788550e+06,8.754246e+02
3.517370e+06,9.632423e+02
4.436690e+06,1.059027e+03
5.596280e+06,1.163567e+03
7.058940e+06,1.277529e+03
8.903890e+06,1.401663e+03
1.123100e+07,1.536786e+03
1.416640e+07,1.683758e+03
1.786900e+07,1.843434e+03
2.253930e+07,2.016930e+03
2.843030e+07,2.205213e+03
3.586100e+07,2.409704e+03
4.523370e+07,2.631047e+03
5.705620e+07,2.870735e+03
7.196860e+07,3.130132e+03
9.077850e+07,3.410454e+03
1.145050e+08,3.713941e+03
1.444320e+08,4.041461e+03
1.821810e+08,4.394952e+03
2.297970e+08,4.776310e+03
2.898580e+08,5.187416e+03
3.656160e+08,5.630324e+03
4.611750e+08,6.107180e+03
5.817090e+08,6.620440e+03
7.337470e+08,7.172462e+03
9.255220e+08,7.765890e+03
1.167420e+09,8.403495e+03
1.472540e+09,9.088196e+03
1.857410e+09,9.823103e+03
2.342870e+09,1.061158e+04
2.955210e+09,1.145707e+04
3.727590e+09,1.236340e+04
4.701850e+09,1.333402e+04
5.930740e+09,1.437386e+04
7.480830e+09,1.548646e+04
9.436040e+09,1.667714e+04
1.190230e+10,1.795088e+04
1.501310e+10,1.931220e+04
1.893700e+10,2.076709e+04
2.388640e+10,2.232145e+04
3.012950e+10,2.398137e+04
3.800420e+10,2.575353e+04
4.793720e+10,2.764478e+04
6.046620e+10,2.966233e+04
7.626990e+10,3.181450e+04
9.620400e+10,3.410939e+04
1.213480e+11,3.655591e+04
1.530640e+11,3.916347e+04
1.930700e+11,4.194204e+04
2.435310e+11,4.490222e+04
3.071810e+11,4.805543e+04
3.874680e+11,5.141372e+04
4.887370e+11,5.498966e+04
6.164760e+11,5.879751e+04
7.776000e+11,6.285118e+04
9.808370e+11,6.716677e+04
1.237190e+12,7.176046e+04
1.560550e+12,7.664999e+04
1.968420e+12,8.185425e+04
2.482890e+12,8.739033e+04
3.131830e+12,9.328437e+04
3.950380e+12,9.955727e+04
4.982860e+12,1.062365e+05
6.285200e+12,1.133404e+05
7.927930e+12,1.209001e+05
1.000000e+13,1.289441e+05
