energy[GeV],xs[pb]
1.000000e+01,2.103039e-02
1.261360e+01,2.668852e-02
1.591040e+01,3.377328e-02
2.006880e+01,4.263357e-02
2.531400e+01,5.372135e-02
3.193020e+01,6.759574e-02
4.027560e+01,8.496672e-02
5.080220e+01,1.067257e-01
6.408000e+01,1.339678e-01
8.082820e+01,1.681045e-01
1.019540e+02,2.108718e-01
1.286010e+02,2.644461e-01
1.622120e+02,3.315686e-01
2.046090e+02,4.155905e-01
2.580860e+02,5.207090e-01
3.255410e+02,6.522100e-01
4.106250e+02,8.164702e-01
5.179470e+02,1.021500e+00
6.533200e+02,1.276930e+00
8.240740e+02,1.594720e+00
1.039460e+03,1.989082e+00
1.311130e+03,2.477119e+00
1.653820e+03,3.079098e+00
2.086060e+03,3.818675e+00
2.631290e+03,4.723060e+00
3.319010e+03,5.823344e+00
4.186480e+03,7.153820e+00
5.280670e+03,8.752533e+00
6.660850e+03,1.065955e+01
8.401750e+03,1.291778e+01
1.059770e+04,1.557154e+01
1.336750e+04,1.866577e+01
1.686130e+04,2.224571e+01
2.126820e+04,2.635788e+01
2.682700e+04,3.104946e+01
3.383860e+04,3.636794e+01
4.268270e+04,4.236362e+01
5.383840e+04,4.908933e+01
6.790990e+04,5.660182e+01
8.565900e+04,6.496398e+01
1.080470e+05,7.424376e+01
1.362870e+05,8.451672e+01
1.719070e+05,9.586659e+01
2.168380e+05,1.083862e+02
2.735110e+05,1.221785e+02
3.449970e+05,1.373535e+02
4.351670e+05,1.540350e+02
5.489030e+05,1.723675e+02
6.923670e+05,1.924757e+02
8.733260e+05,2.145155e+02
1.101580e+06,2.386929e+02
1.389500e+06,2.651557e+02
1.752660e+06,2.941179e+02
2.210740e+06,3.257879e+02
2.788550e+06,3.603957e+02
3.517370e+06,3.981931e+02
4.436690e+06,4.394283e+02
5.596280e+06,4.844045e+02
7.058940e+06,5.333852e+02
8.903890e+06,5.867465e+02
1.123100e+07,6.448229e+02
1.416640e+07,7.079735e+02
1.786900e+07,7.766521e+02
2.253930e+07,8.511852e+02
2.843030e+07,9.320446e+02
3.586100e+07,1.019706e+03
4.523370e+07,1.114726e+03
5.705620e+07,1.217600e+03
7.196860e+07,1.328903e+03
9.077850e+07,1.449334e+03
1.145050e+08,1.579430e+03
1.444320e+08,1.719910e+03
1.821810e+08,1.871581e+03
2.297970e+08,2.035113e+03
2.898580e+08,2.211439e+03
3.656160e+08,2.401427e+03
4.611750e+08,2.605954e+03
5.817090e+08,2.826040e+03
7.337470e+08,3.062735e+03
9.255220e+08,3.317138e+03
1.167420e+09,3.590493e+03
1.472540e+09,3.884023e+03
1.857410e+09,4.199077e+03
2.342870e+09,4.537025e+03
2.955210e+09,4.899421e+03
3.727590e+09,5.287818e+03
4.701850e+09,5.703895e+03
5.930740e+09,6.149533e+03
7.480830e+09,6.626444e+03
9.436040e+09,7.136619e+03
1.190230e+10,7.682274e+03
1.501310e+10,8.265604e+03
1.893700e+10,8.888962e+03
2.388640e+10,9.554821e+03
3.012950e+10,1.026583e+04
3.800420e+10,1.102496e+04
4.793720e+10,1.183511e+04
6.046620e+10,1.269954e+04
7.626990e+10,1.362143e+04
9.620400e+10,1.460502e+04
1.213480e+11,1.565278e+04
1.530640e+11,1.677017e+04
1.930700e+11,1.796095e+04
2.435310e+11,1.922987e+04
3.071810e+11,2.058153e+04
3.874680e+11,2.202167e+04
4.887370e+11,2.355553e+04
6.164760e+11,2.518874e+04
7.776000e+11,2.692840e+04
9.808370e+11,2.878114e+04
1.237190e+12,3.075402e+04
1.560550e+12,3.285480e+04
1.968420e+12,3.509158e+04
2.482890e+12,3.747364e+04
3.131830e+12,4.000948e+04
3.950380e+12,4.270925e+04
4.982860e+12,4.558413e+04
6.285200e+12,4.864439e+04
7.927930e+12,5.190269e+04
1.000000e+13,5.537096e+04
