energy[GeV],xs[pb]
1.000000e+01,2.503910e-02
1.261360e+01,3.258455e-02
1.591040e+01,4.224938e-02
2.006880e+01,5.460546e-02
2.531400e+01,7.035317e-02
3.193020e+01,9.038585e-02
4.027560e+01,1.158200e-01
5.080220e+01,1.481013e-01
6.408000e+01,1.890085e-01
8.082820e+01,2.408006e-01
1.019540e+02,3.063588e-01
1.286010e+02,3.892544e-01
1.622120e+02,4.940166e-01
2.046090e+02,6.264199e-01
2.580860e+02,7.935450e-01
3.255410e+02,1.004327e+00
4.106250e+02,1.270055e+00
5.179470e+02,1.604455e+00
6.533200e+02,2.024977e+00
8.240740e+02,2.552796e+00
1.039460e+03,3.214289e+00
1.311130e+03,4.041435e+00
1.653820e+03,5.072672e+00
2.086060e+03,6.355158e+00
2.631290e+03,7.944443e+00
3.319010e+03,9.905626e+00
4.186480e+03,1.231460e+01
5.280670e+03,1.525845e+01
6.660850e+03,1.883530e+01
8.401750e+03,2.315410e+01
1.059770e+04,2.833407e+01
1.336750e+04,3.450274e+01
1.686130e+04,4.179514e+01
2.126820e+04,5.035170e+01
2.682700e+04,6.031610e+01
3.383860e+04,7.183584e+01
4.268270e+04,8.505738e+01
5.383840e+04,1.001314e+02
6.790990e+04,1.172110e+02
8.565900e+04,1.364478e+02
1.080470e+05,1.580066e+02
1.362870e+05,1.820560e+02
1.719070e+05,2.087787e+02
2.168380e+05,2.383751e+02
2.735110e+05,2.710615e+02
3.449970e+05,3.070791e+02
4.351670e+05,3.466933e+02
5.489030e+05,3.902050e+02
6.923670e+05,4.379237e+02
8.733260e+05,4.901971e+02
1.101580e+06,5.474321e+02
1.389500e+06,6.100368e+02
1.752660e+06,6.784663e+02
2.210740e+06,7.532117e+02
2.788550e+06,8.347939e+02
3.517370e+06,9.238183e+02
4.436690e+06,1.020836e+03
5.596280e+06,1.126526e+03
7.058940e+06,1.241588e+03
8.903890e+06,1.366793e+03
1.123100e+07,1.502922e+03
1.416640e+07,1.650858e+03
1.786900e+07,1.811411e+03
2.253930e+07,1.985737e+03
2.843030e+07,2.174917e+03
3.586100e+07,2.380017e+03
4.523370e+07,2.602018e+03
5.705620e+07,2.842127e+03
7.196860e+07,3.102282e+03
9.077850e+07,3.383115e+03
1.145050e+08,3.687087e+03
1.444320e+08,4.014981e+03
1.821810e+08,4.368890e+03
2.297970e+08,4.750571e+03
2.898580e+08,5.161963e+03
3.656160e+08,5.605135e+03
4.611750e+08,6.082278e+03
5.817090e+08,6.595763e+03
7.337470e+08,7.147989e+03
9.255220e+08,7.741590e+03
1.167420e+09,8.379405e+03
1.472540e+09,9.064207e+03
1.857410e+09,9.799225e+03
2.342870e+09,1.058781e+04
2.955210e+09,1.143351e+04
3.727590e+09,1.233963e+04
4.701850e+09,1.331052e+04
5.930740e+09,1.435048e+04
7.480830e+09,1.546310e+04
9.436040e+09,1.665384e+04
1.190230e+10,1.792739e+04
1.501310e+10,1.928892e+04
1.893700e+10,2.074387e+04
2.388640e+10,2.229824e+04
3.012950e+10,2.395818e+04
3.800420e+10,2.573050e+04
4.793720e+10,2.762162e+04
6.046620e+10,2.963938e+04
7.626990e+10,3.179153e+04
9.620400e+10,3.408631e+04
1.213480e+11,3.653287e+04
1.530640e+11,3.914036e+04
1.930700e+11,4.191905e+04
2.435310e+11,4.487911e+04
3.071810e+11,4.803242e+04
3.874680e+11,5.139070e+04
4.887370e+11,5.496675e+04
6.164760e+11,5.877469e+04
7.776000e+11,6.282849e+04
9.808370e+11,6.714402e+04
1.237190e+12,7.173486e+04
1.560550e+12,7.662440e+04
1.968420e+12,8.182855e+04
2.482890e+12,8.736724e+04
3.131830e+12,9.326157e+04
3.950380e+12,9.953457e+04
4.982860e+12,1.062101e+05
6.285200e+12,1.133139e+05
7.927930e+12,1.208733e+05
1.000000e+13,1.289167e+05
