energy[GeV],xs[pb]
1.000000e+01,4.344217e-03
1.261360e+01,7.740689e-03
1.591040e+01,1.281110e-02
2.006880e+01,2.011766e-02
2.531400e+01,3.037358e-02
3.193020e+01,4.446682e-02
4.027560e+01,6.354473e-02
5.080220e+01,8.900862e-02
6.408000e+01,1.226619e-01
8.082820e+01,1.667143e-01
1.019540e+02,2.240057e-01
1.286010e+02,2.980895e-01
1.622120e+02,3.934559e-01
2.046090e+02,5.157658e-01
2.580860e+02,6.721880e-01
3.255410e+02,8.715512e-01
4.106250e+02,1.125080e+00
5.179470e+02,1.446583e+00
6.533200e+02,1.853312e+00
8.240740e+02,2.366536e+00
1.039460e+03,3.012360e+00
1.311130e+03,3.822950e+00
1.653820e+03,4.836762e+00
2.086060e+03,6.100938e+00
2.631290e+03,7.669918e+00
3.319010e+03,9.609766e+00
4.186480e+03,1.199693e+01
5.280670e+03,1.491657e+01
6.660850e+03,1.846834e+01
8.401750e+03,2.276001e+01
1.059770e+04,2.791289e+01
1.336750e+04,3.405144e+01
1.686130e+04,4.131149e+01
2.126820e+04,4.983359e+01
2.682700e+04,5.976338e+01
3.383860e+04,7.124571e+01
4.268270e+04,8.442792e+01
5.383840e+04,9.945947e+01
6.790990e+04,1.164933e+02
8.565900e+04,1.356852e+02
1.080470e+05,1.572012e+02
1.362870e+05,1.811904e+02
1.719070e+05,2.078556e+02
2.168380e+05,2.373905e+02
2.735110e+05,2.700140e+02
3.449970e+05,3.059620e+02
4.351670e+05,3.455012e+02
5.489030e+05,3.889298e+02
6.923670e+05,4.365644e+02
8.733260e+05,4.887640e+02
1.101580e+06,5.459055e+02
1.389500e+06,6.084164e+02
1.752660e+06,6.767374e+02
2.210740e+06,7.513691e+02
2.788550e+06,8.328314e+02
3.517370e+06,9.216996e+02
4.436690e+06,1.018582e+03
5.596280e+06,1.124125e+03
7.058940e+06,1.239054e+03
8.903890e+06,1.364096e+03
1.123100e+07,1.500058e+03
1.416640e+07,1.647780e+03
1.786900e+07,1.808234e+03
2.253930e+07,1.982379e+03
2.843030e+07,2.171272e+03
3.586100e+07,2.376092e+03
4.523370e+07,2.597836e+03
5.705620e+07,2.837922e+03
7.196860e+07,3.097597e+03
9.077850e+07,3.378396e+03
1.145050e+08,3.681764e+03
1.444320e+08,4.009557e+03
1.821810e+08,4.363112e+03
2.297970e+08,4.744458e+03
2.898580e+08,5.155547e+03
3.656160e+08,5.598401e+03
4.611750e+08,6.075147e+03
5.817090e+08,6.588195e+03
7.337470e+08,7.139978e+03
9.255220e+08,7.733147e+03
1.167420e+09,8.370453e+03
1.472540e+09,9.054743e+03
1.857410e+09,9.789330e+03
2.342870e+09,1.057731e+04
2.955210e+09,1.142226e+04
3.727590e+09,1.232806e+04
4.701850e+09,1.329820e+04
5.930740e+09,1.433715e+04
7.480830e+09,1.544933e+04
9.436040e+09,1.663926e+04
1.190230e+10,1.791194e+04
1.501310e+10,1.927261e+04
1.893700e+10,2.072675e+04
2.388640e+10,2.227908e+04
3.012950e+10,2.393928e+04
3.800420e+10,2.571038e+04
4.793720e+10,2.759940e+04
6.046620e+10,2.961608e+04
7.626990e+10,3.176534e+04
9.620400e+10,3.406009e+04
1.213480e+11,3.650550e+04
1.530640e+11,3.911161e+04
1.930700e+11,4.188855e+04
2.435310e+11,4.484751e+04
3.071810e+11,4.799883e+04
3.874680e+11,5.135512e+04
4.887370e+11,5.492920e+04
6.164760e+11,5.873493e+04
7.776000e+11,6.278662e+04
9.808370e+11,6.709976e+04
1.237190e+12,7.169444e+04
1.560550e+12,7.658157e+04
1.968420e+12,8.178352e+04
2.482890e+12,8.731630e+04
3.131830e+12,9.320843e+04
3.950380e+12,9.947383e+04
4.982860e+12,1.061462e+05
6.285200e+12,1.132467e+05
7.927930e+12,1.208023e+05
1.000000e+13,1.288436e+05
