energy[GeV],xs[pb]
1.000000e+01,1.186363e-02
1.261360e+01,2.094268e-02
1.591040e+01,3.431712e-02
2.006880e+01,5.330964e-02
2.531400e+01,7.955633e-02
3.193020e+01,1.150263e-01
4.027560e+01,1.621805e-01
5.080220e+01,2.240724e-01
6.408000e+01,3.044034e-01
8.082820e+01,4.079803e-01
1.019540e+02,5.405170e-01
1.286010e+02,7.093177e-01
1.622120e+02,9.234138e-01
2.046090e+02,1.194023e+00
2.580860e+02,1.534769e+00
3.255410e+02,1.963483e+00
4.106250e+02,2.500070e+00
5.179470e+02,3.170964e+00
6.533200e+02,4.006706e+00
8.240740e+02,5.044735e+00
1.039460e+03,6.328824e+00
1.311130e+03,7.910121e+00
1.653820e+03,9.850238e+00
2.086060e+03,1.221527e+01
2.631290e+03,1.508331e+01
3.319010e+03,1.853554e+01
4.186480e+03,2.266400e+01
5.280670e+03,2.755840e+01
6.660850e+03,3.331624e+01
8.401750e+03,4.003122e+01
1.059770e+04,4.779733e+01
1.336750e+04,5.670403e+01
1.686130e+04,6.683661e+01
2.126820e+04,7.827585e+01
2.682700e+04,9.110640e+01
3.383860e+04,1.054046e+02
4.268270e+04,1.212582e+02
5.383840e+04,1.387611e+02
6.790990e+04,1.580094e+02
8.565900e+04,1.791249e+02
1.080470e+05,2.022420e+02
1.362870e+05,2.275190e+02
1.719070e+05,2.551282e+02
2.168380e+05,2.852757e+02
2.735110e+05,3.182023e+02
3.449970e+05,3.541695e+02
4.351670e+05,3.934724e+02
5.489030e+05,4.364257e+02
6.923670e+05,4.833919e+02
8.733260e+05,5.347669e+02
1.101580e+06,5.909559e+02
1.389500e+06,6.524113e+02
1.752660e+06,7.196204e+02
2.210740e+06,7.930849e+02
2.788550e+06,8.734045e+02
3.517370e+06,9.610535e+02
4.436690e+06,1.056755e+03
5.596280e+06,1.161207e+03
7.058940e+06,1.275027e+03
8.903890e+06,1.398959e+03
1.123100e+07,1.533902e+03
1.416640e+07,1.680702e+03
1.786900e+07,1.840245e+03
2.253930e+07,2.013669e+03
2.843030e+07,2.201690e+03
3.586100e+07,2.405775e+03
4.523370e+07,2.626857e+03
5.705620e+07,2.866323e+03
7.196860e+07,3.125451e+03
9.077850e+07,3.405603e+03
1.145050e+08,3.708814e+03
1.444320e+08,4.035984e+03
1.821810e+08,4.389181e+03
2.297970e+08,4.770200e+03
2.898580e+08,5.180940e+03
3.656160e+08,5.623496e+03
4.611750e+08,6.100018e+03
5.817090e+08,6.612867e+03
7.337470e+08,7.164458e+03
9.255220e+08,7.757429e+03
1.167420e+09,8.394563e+03
1.472540e+09,9.078805e+03
1.857410e+09,9.813218e+03
2.342870e+09,1.060119e+04
2.955210e+09,1.144598e+04
3.727590e+09,1.235155e+04
4.701850e+09,1.332168e+04
5.930740e+09,1.436063e+04
7.480830e+09,1.547273e+04
9.436040e+09,1.666256e+04
1.190230e+10,1.793528e+04
1.501310e+10,1.929590e+04
1.893700e+10,2.074996e+04
2.388640e+10,2.230345e+04
3.012950e+10,2.396246e+04
3.800420e+10,2.573349e+04
4.793720e+10,2.762249e+04
6.046620e+10,2.963917e+04
7.626990e+10,3.179003e+04
9.620400e+10,3.408178e+04
1.213480e+11,3.652868e+04
1.530640e+11,3.913474e+04
1.930700e+11,4.191179e+04
2.435310e+11,4.487062e+04
3.071810e+11,4.802385e+04
3.874680e+11,5.138033e+04
4.887370e+11,5.495520e+04
6.164760e+11,5.876054e+04
7.776000e+11,6.281286e+04
9.808370e+11,6.712338e+04
1.237190e+12,7.171454e+04
1.560550e+12,7.660137e+04
1.968420e+12,8.180621e+04
2.482890e+12,8.734260e+04
3.131830e+12,9.323133e+04
3.950380e+12,9.949693e+04
4.982860e+12,1.061693e+05
6.285200e+12,1.132702e+05
7.927930e+12,1.208256e+05
1.000000e+13,1.288668e+05
