energy[GeV],xs[pb]
1.000000e+01,1.057509e-02
1.261360e+01,1.360672e-02
1.591040e+01,1.744038e-02
2.006880e+01,2.227467e-02
2.531400e+01,2.836834e-02
3.193020e+01,3.604073e-02
4.027560e+01,4.570051e-02
5.080220e+01,5.786265e-02
6.408000e+01,7.317584e-02
8.082820e+01,9.246593e-02
1.019540e+02,1.167617e-01
1.286010e+02,1.473650e-01
1.622120e+02,1.859215e-01
2.046090e+02,2.344824e-01
2.580860e+02,2.956339e-01
3.255410e+02,3.726418e-01
4.106250e+02,4.695430e-01
5.179470e+02,5.914116e-01
6.533200e+02,7.445746e-01
8.240740e+02,9.368548e-01
1.039460e+03,1.177962e+00
1.311130e+03,1.479788e+00
1.653820e+03,1.856808e+00
2.086060e+03,2.326694e+00
2.631290e+03,2.910539e+00
3.319010e+03,3.633574e+00
4.186480e+03,4.525400e+00
5.280670e+03,5.620052e+00
6.660850e+03,6.957128e+00
8.401750e+03,8.581203e+00
1.059770e+04,1.054152e+01
1.336750e+04,1.289247e+01
1.686130e+04,1.569261e+01
2.126820e+04,1.900458e+01
2.682700e+04,2.289396e+01
3.383860e+04,2.742944e+01
4.268270e+04,3.268242e+01
5.383840e+04,3.872553e+01
6.790990e+04,4.563382e+01
8.565900e+04,5.348478e+01
1.080470e+05,6.235836e+01
1.362870e+05,7.233682e+01
1.719070e+05,8.350639e+01
2.168380e+05,9.596054e+01
2.735110e+05,1.097960e+02
3.449970e+05,1.251185e+02
4.351670e+05,1.420390e+02
5.489030e+05,1.606825e+02
6.923670e+05,1.811907e+02
8.733260e+05,2.036795e+02
1.101580e+06,2.283369e+02
1.389500e+06,2.553406e+02
1.752660e+06,2.848519e+02
2.210740e+06,3.170839e+02
2.788550e+06,3.522567e+02
3.517370e+06,3.906161e+02
4.436690e+06,4.324022e+02
5.596280e+06,4.778778e+02
7.058940e+06,5.274122e+02
8.903890e+06,5.812663e+02
1.123100e+07,6.398120e+02
1.416640e+07,7.034035e+02
1.786900e+07,7.724961e+02
2.253930e+07,8.474152e+02
2.843030e+07,9.286336e+02
3.586100e+07,1.016627e+03
4.523370e+07,1.111953e+03
5.705620e+07,1.215107e+03
7.196860e+07,1.326666e+03
9.077850e+07,1.447324e+03
1.145050e+08,1.577640e+03
1.444320e+08,1.718310e+03
1.821810e+08,1.870151e+03
2.297970e+08,2.033853e+03
2.898580e+08,2.210319e+03
3.656160e+08,2.400427e+03
4.611750e+08,2.605064e+03
5.817090e+08,2.825260e+03
7.337470e+08,3.062045e+03
9.255220e+08,3.316528e+03
1.167420e+09,3.589953e+03
1.472540e+09,3.883543e+03
1.857410e+09,4.198657e+03
2.342870e+09,4.536655e+03
2.955210e+09,4.899091e+03
3.727590e+09,5.287538e+03
4.701850e+09,5.703655e+03
5.930740e+09,6.149323e+03
7.480830e+09,6.626254e+03
9.436040e+09,7.136459e+03
1.190230e+10,7.682134e+03
1.501310e+10,8.265474e+03
1.893700e+10,8.888852e+03
2.388640e+10,9.554731e+03
3.012950e+10,1.026575e+04
3.800420e+10,1.102489e+04
4.793720e+10,1.183505e+04
6.046620e+10,1.269949e+04
7.626990e+10,1.362138e+04
9.620400e+10,1.460499e+04
1.213480e+11,1.565278e+04
1.530640e+11,1.677017e+04
1.930700e+11,1.796095e+04
2.435310e+11,1.922987e+04
3.071810e+11,2.058153e+04
3.874680e+11,2.202167e+04
4.887370e+11,2.355563e+04
6.164760e+11,2.518874e+04
7.776000e+11,2.692840e+04
9.808370e+11,2.878114e+04
1.237190e+12,3.075412e+04
1.560550e+12,3.285490e+04
1.968420e+12,3.509168e+04
2.482890e+12,3.747374e+04
3.131830e+12,4.000968e+04
3.950380e+12,4.270935e+04
4.982860e+12,4.558433e+04
6.285200e+12,4.864459e+04
7.927930e+12,5.190289e+04
1.000000e+13,5.537116e+04
